# ROC Data for D004T01 classifier applied to D021T01 data
# AUC: 0.952312542168
Threshold,FalsePosRate,TruePosRate
0.89,0.0,0.00134770889488
0.82,0.0,0.00808625336927
0.79,0.0,0.010781671159
0.78,0.0,0.0121293800539
0.75,0.0,0.0175202156334
0.72,0.0,0.0229110512129
0.71,0.0,0.0269541778976
0.68,0.0,0.0350404312668
0.66,0.0,0.0390835579515
0.65,0.0,0.0471698113208
0.64,0.0,0.0498652291105
0.62,0.0,0.05525606469
0.61,0.00123304562269,0.0633423180593
0.6,0.00123304562269,0.0687331536388
0.59,0.00123304562269,0.0768194070081
0.58,0.00123304562269,0.0822102425876
0.57,0.00123304562269,0.0916442048518
0.56,0.00123304562269,0.103773584906
0.55,0.00123304562269,0.11320754717
0.54,0.00123304562269,0.130727762803
0.53,0.00123304562269,0.137466307278
0.52,0.00123304562269,0.150943396226
0.51,0.00246609124538,0.175202156334
0.5,0.00246609124538,0.188679245283
0.49,0.00246609124538,0.203504043127
0.48,0.00493218249075,0.231805929919
0.47,0.00616522811344,0.247978436658
0.46,0.00863131935882,0.261455525606
0.45,0.0098643649815,0.28167115903
0.44,0.0098643649815,0.308625336927
0.43,0.0098643649815,0.342318059299
0.42,0.0123304562269,0.374663072776
0.41,0.0172626387176,0.404312668464
0.4,0.0209617755857,0.448787061995
0.39,0.0246609124538,0.482479784367
0.38,0.0246609124538,0.522911051213
0.37,0.0295930949445,0.571428571429
0.36,0.0295930949445,0.61051212938
0.35,0.035758323058,0.660377358491
0.34,0.0468557336621,0.694070080863
0.33,0.055487053021,0.733153638814
0.32,0.0641183723798,0.756064690027
0.31,0.0739827373613,0.795148247978
0.3,0.0875462392109,0.830188679245
0.29,0.094944512947,0.867924528302
0.28,0.0998766954377,0.88679245283
0.27,0.115906288533,0.904312668464
0.26,0.125770653514,0.927223719677
0.25,0.143033292232,0.946091644205
0.24,0.162762022195,0.956873315364
0.23,0.182490752158,0.962264150943
0.22,0.207151664612,0.966307277628
0.21,0.226880394575,0.974393530997
0.2,0.260172626387,0.978436657682
0.19,0.300863131936,0.981132075472
0.18,0.340320591862,0.986522911051
0.17,0.403205918619,0.990566037736
0.16,0.456226880395,0.990566037736
0.15,0.503082614057,0.993261455526
0.14,0.552404438964,0.993261455526
0.13,0.616522811344,0.99460916442
0.12,0.673242909988,0.99730458221
0.11,0.741060419236,0.99730458221
0.1,0.795314426634,0.998652291105
0.09,0.829839704069,0.998652291105
0.08,0.877928483354,1.0
0.07,0.914919852035,1.0
0.06,0.939580764488,1.0
0.05,0.969173859433,1.0
0.04,0.987669543773,1.0
0.03,0.996300863132,1.0
0.02,0.998766954377,1.0
0.01,1.0,1.0
