# Accuracy of classifier for cell line (ROW) applied to validation data for cell line (COL)
CLASSIFIER_DATA,D004T01,D007T01,D010T01,D013T01,D015T01,D018T01,D019T01,D020T01,D021T01,D022T01,D027T01,D030T01
D004T01,0.995714285714,0.981979758084,0.964982373678,0.839222614841,0.879155435759,0.908629441624,0.958290244743,0.85618729097,0.604636188023,0.728706624606,0.674907292954,0.669449081803
D007T01,0.605714285714,0.996297210565,0.901762632197,0.875736160188,0.68149146451,0.644670050761,0.91451223716,0.538461538462,0.513200257566,0.522082018927,0.510506798517,0.518085698386
D010T01,0.558571428571,0.625524561837,0.995769682726,0.818610129564,0.588050314465,0.654822335025,0.55498104102,0.528428093645,0.522215067611,0.519978969506,0.512360939431,0.513077351141
D013T01,0.92,0.953098000494,0.911868390129,0.991166077739,0.883198562444,0.932994923858,0.937952430196,0.710144927536,0.508692852543,0.547844374343,0.665018541409,0.805787423484
D015T01,0.898571428571,0.946186126882,0.966392479436,0.863957597173,0.983827493261,0.903553299492,0.958979662185,0.696767001115,0.561493882807,0.757097791798,0.6891223733,0.575959933222
D018T01,0.678571428571,0.647247593187,0.794124559342,0.667255594817,0.596585804133,0.992893401015,0.65563598759,0.567447045708,0.594977462975,0.527865404837,0.521631644005,0.767390094602
D019T01,0.932857142857,0.960009874105,0.95205640423,0.828032979976,0.859838274933,0.835532994924,0.997587038952,0.759197324415,0.540888602704,0.781808622503,0.73238566131,0.558152476349
D020T01,0.937142857143,0.723525055542,0.774853113984,0.622497055359,0.649595687332,0.715736040609,0.93898655636,0.98773690078,0.94204764971,0.774447949527,0.742892459827,0.856983861992
D021T01,0.701428571429,0.495433226364,0.484841363102,0.499411071849,0.487870619946,0.597969543147,0.626335746294,0.79375696767,0.997424339987,0.630914826498,0.582200247219,0.687256538676
D022T01,0.762857142857,0.593433720069,0.5866039953,0.589517078916,0.532345013477,0.638578680203,0.604274388142,0.721293199554,0.850611719253,0.97476340694,0.616810877627,0.612687813022
D027T01,0.947142857143,0.764996297211,0.94759106933,0.853356890459,0.902964959569,0.920812182741,0.970699758704,0.952062430323,0.956213779781,0.761829652997,0.985784919654,0.887590428492
D030T01,0.962857142857,0.902493211553,0.933490011751,0.795053003534,0.844115004492,0.86192893401,0.969665632541,0.938684503902,0.834513844173,0.764984227129,0.828182941904,0.995548135782
