,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001W01P003L02_A_01,48,26,3,30
M001W01P003L02_A_02,5,0,12,40
M001W01P003L02_A_03,21,16,6,37
M001W01P003L02_A_04,57,21,4,22
M001W01P003L02_A_05,57,17,10,16
M001W01P003L02_A_06,34,11,8,20
M001W01P003L02_A_07,76,7,16,24
M001W01P003L02_A_08,54,23,4,26
M001W01P003L02_A_09,64,30,8,19
M001W01P003L02_A_10,66,19,10,38
M001W01P003L02_A_11,99,3,15,17
M001W01P003L02_A_12,78,20,4,13
M001W01P003L02_A_13,46,23,6,24
M001W01P003L02_A_14,16,12,10,12
M001W01P003L02_A_15,39,19,8,21
M001W01P003L02_A_16,40,15,10,18
M001W01P003L02_A_17,42,13,5,30
M001W01P003L02_A_18,56,20,20,66
M001W01P003L02_A_19,52,21,22,79
M001W01P003L02_A_20,78,23,7,44
M001W01P003L02_A_21,46,28,6,17
M001W01P003L02_A_22,65,36,7,21
M001W01P003L02_A_23,46,29,4,20
M001W01P003L02_A_24,61,39,4,21
M001W01P003L02_B_01,45,25,5,21
M001W01P003L02_B_02,59,25,10,46
M001W01P003L02_B_03,30,28,17,42
M001W01P003L02_B_04,54,19,5,23
M001W01P003L02_B_05,24,22,5,18
M001W01P003L02_B_06,33,9,6,20
M001W01P003L02_B_07,27,11,3,13
M001W01P003L02_B_08,25,19,2,23
M001W01P003L02_B_09,40,17,13,53
M001W01P003L02_B_10,56,12,11,47
M001W01P003L02_B_11,64,16,20,74
M001W01P003L02_B_12,54,21,5,11
M001W01P003L02_B_13,45,16,12,26
M001W01P003L02_B_14,64,16,4,17
M001W01P003L02_B_15,25,11,14,39
M001W01P003L02_B_16,50,20,4,19
M001W01P003L02_B_17,44,29,11,16
M001W01P003L02_B_18,46,23,4,20
M001W01P003L02_B_19,68,9,10,37
M001W01P003L02_B_20,60,19,6,28
M001W01P003L02_B_21,45,20,8,37
M001W01P003L02_B_22,48,24,4,31
M001W01P003L02_B_23,33,25,4,21
M001W01P003L02_B_24,36,33,8,18
M001W01P003L02_C_01,14,17,3,18
M001W01P003L02_C_02,9,0,7,30
M001W01P003L02_C_03,29,18,8,28
M001W01P003L02_C_04,63,8,8,40
M001W01P003L02_C_05,48,22,11,56
M001W01P003L02_C_06,42,32,12,20
M001W01P003L02_C_07,43,17,14,10
M001W01P003L02_C_08,68,13,7,30
M001W01P003L02_C_09,37,19,6,32
M001W01P003L02_C_10,59,18,9,14
M001W01P003L02_C_11,67,25,7,18
M001W01P003L02_C_12,59,18,9,26
M001W01P003L02_C_13,53,18,2,19
M001W01P003L02_C_14,55,22,8,11
M001W01P003L02_C_15,49,19,3,18
M001W01P003L02_C_16,36,20,1,31
M001W01P003L02_C_17,43,30,8,39
M001W01P003L02_C_18,55,14,4,22
M001W01P003L02_C_19,57,19,5,21
M001W01P003L02_C_20,54,31,0,22
M001W01P003L02_C_21,38,33,3,22
M001W01P003L02_C_22,60,20,10,19
M001W01P003L02_C_23,38,33,4,15
M001W01P003L02_C_24,42,29,11,28
M001W01P003L02_D_01,63,3,12,54
M001W01P003L02_D_02,40,14,4,11
M001W01P003L02_D_03,69,11,16,46
M001W01P003L02_D_04,49,14,4,24
M001W01P003L02_D_05,50,17,15,18
M001W01P003L02_D_06,47,19,6,28
M001W01P003L02_D_07,32,20,6,34
M001W01P003L02_D_08,50,25,9,26
M001W01P003L02_D_09,20,17,6,36
M001W01P003L02_D_10,54,11,10,19
M001W01P003L02_D_11,58,17,8,44
M001W01P003L02_D_12,35,32,4,11
M001W01P003L02_D_13,51,17,3,21
M001W01P003L02_D_14,71,24,18,84
M001W01P003L02_D_15,59,19,4,23
M001W01P003L02_D_16,60,32,24,96
M001W01P003L02_D_17,69,24,6,52
M001W01P003L02_D_18,78,17,7,22
M001W01P003L02_D_19,28,11,9,9
M001W01P003L02_D_20,46,27,3,18
M001W01P003L02_D_21,45,26,1,20
M001W01P003L02_D_22,44,35,5,30
M001W01P003L02_D_23,46,24,2,23
M001W01P003L02_D_24,55,29,6,17
M001W01P003L02_E_01,13,12,14,65
M001W01P003L02_E_02,61,15,9,27
M001W01P003L02_E_03,38,4,12,19
M001W01P003L02_E_04,53,7,10,20
M001W01P003L02_E_05,39,13,31,82
M001W01P003L02_E_06,54,2,7,21
M001W01P003L02_E_07,66,13,5,24
M001W01P003L02_E_08,59,11,8,22
M001W01P003L02_E_09,48,25,10,28
M001W01P003L02_E_10,49,7,10,18
M001W01P003L02_E_11,33,4,21,29
M001W01P003L02_E_12,54,21,9,18
M001W01P003L02_E_13,68,18,7,17
M001W01P003L02_E_14,55,28,3,13
M001W01P003L02_E_15,58,17,10,18
M001W01P003L02_E_16,50,16,5,19
M001W01P003L02_E_17,49,28,6,22
M001W01P003L02_E_18,50,20,5,21
M001W01P003L02_E_19,63,29,3,21
M001W01P003L02_E_20,86,6,34,107
M001W01P003L02_E_21,33,14,3,16
M001W01P003L02_E_22,64,28,12,37
M001W01P003L02_E_23,32,30,4,21
M001W01P003L02_E_24,52,29,4,20
M001W01P003L02_F_01,32,16,3,20
M001W01P003L02_F_02,37,13,9,35
M001W01P003L02_F_03,36,24,7,19
M001W01P003L02_F_04,50,17,7,31
M001W01P003L02_F_05,44,18,4,18
M001W01P003L02_F_06,46,18,7,14
M001W01P003L02_F_07,14,20,3,23
M001W01P003L02_F_08,53,17,8,33
M001W01P003L02_F_09,39,26,4,17
M001W01P003L02_F_10,31,15,7,21
M001W01P003L02_F_11,30,17,3,24
M001W01P003L02_F_12,40,23,8,22
M001W01P003L02_F_13,49,16,8,18
M001W01P003L02_F_14,44,5,9,3
M001W01P003L02_F_15,29,19,4,17
M001W01P003L02_F_16,48,26,5,17
M001W01P003L02_F_17,29,21,9,18
M001W01P003L02_F_18,59,26,13,35
M001W01P003L02_F_19,47,29,3,21
M001W01P003L02_F_20,43,15,4,24
M001W01P003L02_F_21,53,29,0,17
M001W01P003L02_F_22,39,30,9,18
M001W01P003L02_F_23,50,24,7,25
M001W01P003L02_F_24,57,33,4,19
M001W01P003L02_G_01,35,24,0,17
M001W01P003L02_G_02,57,19,3,26
M001W01P003L02_G_03,45,10,36,173
M001W01P003L02_G_04,60,18,17,29
M001W01P003L02_G_05,45,10,7,21
M001W01P003L02_G_06,80,12,11,46
M001W01P003L02_G_07,75,12,8,32
M001W01P003L02_G_08,93,6,11,43
M001W01P003L02_G_09,20,15,10,17
M001W01P003L02_G_10,26,8,53,146
M001W01P003L02_G_11,28,6,11,39
M001W01P003L02_G_12,77,8,7,18
M001W01P003L02_G_13,56,11,8,29
M001W01P003L02_G_14,41,11,8,16
M001W01P003L02_G_15,35,25,6,20
M001W01P003L02_G_16,39,31,8,11
M001W01P003L02_G_17,20,18,22,88
M001W01P003L02_G_18,54,20,5,19
M001W01P003L02_G_19,39,19,1,19
M001W01P003L02_G_20,35,29,3,22
M001W01P003L02_G_21,43,21,1,16
