,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D010T01P015L08_A_01,318,6,182,164
D010T01P015L08_A_02,191,12,30,126
D010T01P015L08_A_03,147,8,95,174
D010T01P015L08_A_04,139,6,66,108
D010T01P015L08_A_05,142,5,173,168
D010T01P015L08_A_06,161,8,52,114
D010T01P015L08_A_07,183,7,65,151
D010T01P015L08_A_08,304,80,69,352
D010T01P015L08_A_09,174,0,110,91
D010T01P015L08_A_10,160,4,43,81
D010T01P015L08_A_11,166,14,36,109
D010T01P015L08_A_12,254,33,151,279
D010T01P015L08_A_13,155,8,54,117
D010T01P015L08_A_14,197,3,792,284
D010T01P015L08_A_15,295,3,401,132
D010T01P015L08_A_16,355,7,63,76
D010T01P015L08_A_17,183,10,46,114
D010T01P015L08_A_18,171,4,39,110
D010T01P015L08_A_19,298,6,29,62
D010T01P015L08_A_20,162,9,47,117
D010T01P015L08_A_21,227,1,34,56
D010T01P015L08_A_22,186,2,47,116
D010T01P015L08_A_23,191,9,33,130
D010T01P015L08_A_24,228,2,28,66
D010T01P015L08_B_01,219,5,57,142
D010T01P015L08_B_02,217,15,169,175
D010T01P015L08_B_03,179,10,56,129
D010T01P015L08_B_04,180,9,56,127
D010T01P015L08_B_05,188,2,890,180
D010T01P015L08_B_06,187,6,49,144
D010T01P015L08_B_07,181,12,44,150
D010T01P015L08_B_08,173,2,60,122
D010T01P015L08_B_09,199,10,54,156
D010T01P015L08_B_10,177,3,66,114
D010T01P015L08_B_11,170,8,55,101
D010T01P015L08_B_12,170,4,44,117
D010T01P015L08_B_13,198,9,44,125
D010T01P015L08_B_14,180,4,49,104
D010T01P015L08_B_15,158,5,42,129
D010T01P015L08_B_16,158,6,52,167
D010T01P015L08_B_17,205,5,53,103
D010T01P015L08_B_18,189,6,111,149
D010T01P015L08_B_19,187,3,723,190
D010T01P015L08_B_20,296,1,286,204
D010T01P015L08_B_21,333,3,53,76
D010T01P015L08_B_22,148,4,68,148
D010T01P015L08_B_23,157,6,42,86
D010T01P015L08_B_24,236,7,32,73
D010T01P015L08_C_01,244,7,56,158
D010T01P015L08_C_02,136,3,162,179
D010T01P015L08_C_03,231,7,53,129
D010T01P015L08_C_04,210,7,52,111
D010T01P015L08_C_05,161,5,52,131
D010T01P015L08_C_06,193,7,51,110
D010T01P015L08_C_07,224,2,50,78
D010T01P015L08_C_08,194,12,61,175
D010T01P015L08_C_09,184,5,70,133
D010T01P015L08_C_10,186,8,60,153
D010T01P015L08_C_11,187,8,51,165
D010T01P015L08_C_12,186,19,99,203
D010T01P015L08_C_13,194,4,59,130
D010T01P015L08_C_14,227,6,39,107
D010T01P015L08_C_15,214,3,955,478
D010T01P015L08_C_16,187,9,41,97
D010T01P015L08_C_17,175,6,57,124
D010T01P015L08_C_18,190,3,55,132
D010T01P015L08_C_19,184,7,55,127
D010T01P015L08_C_20,156,7,55,158
D010T01P015L08_C_21,217,13,59,158
D010T01P015L08_C_22,173,10,51,115
D010T01P015L08_C_23,192,5,53,125
D010T01P015L08_C_24,162,6,41,113
