,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D013T01P905L02_A_01,212,22,9,200
D013T01P905L02_A_02,188,20,10,188
D013T01P905L02_A_03,188,13,8,141
D013T01P905L02_A_04,204,32,11,136
D013T01P905L02_A_05,164,8,8,126
D013T01P905L02_A_06,203,21,9,145
D013T01P905L02_A_07,225,22,9,145
D013T01P905L02_A_08,183,17,9,224
D013T01P905L02_A_09,194,40,11,184
D013T01P905L02_A_10,198,18,16,130
D013T01P905L02_A_11,197,23,16,170
D013T01P905L02_A_12,189,7,28,357
D013T01P905L02_A_13,189,17,14,113
D013T01P905L02_A_14,181,10,8,155
D013T01P905L02_A_15,188,39,20,413
D013T01P905L02_A_16,179,17,3,144
D013T01P905L02_A_17,167,19,87,516
D013T01P905L02_A_18,204,12,12,128
D013T01P905L02_A_19,171,13,7,149
D013T01P905L02_A_20,186,28,7,139
D013T01P905L02_A_21,170,23,5,143
D013T01P905L02_A_22,175,26,12,171
D013T01P905L02_A_23,172,33,4,160
D013T01P905L02_A_24,202,19,5,151
D013T01P905L02_B_01,184,29,12,196
D013T01P905L02_B_02,154,30,3,172
D013T01P905L02_B_03,172,40,29,416
D013T01P905L02_B_04,182,13,9,145
D013T01P905L02_B_05,205,17,12,196
D013T01P905L02_B_06,168,17,11,105
D013T01P905L02_B_07,193,19,14,168
D013T01P905L02_B_08,180,22,7,153
D013T01P905L02_B_09,147,16,10,203
D013T01P905L02_B_10,153,21,7,115
D013T01P905L02_B_11,177,21,5,133
D013T01P905L02_B_12,164,21,9,144
D013T01P905L02_B_13,195,23,7,149
D013T01P905L02_B_14,162,26,6,149
D013T01P905L02_B_15,198,20,22,134
D013T01P905L02_B_16,181,18,9,151
D013T01P905L02_B_17,119,40,35,415
D013T01P905L02_B_18,155,12,4,145
D013T01P905L02_B_19,226,2,33,196
D013T01P905L02_B_20,195,15,6,129
D013T01P905L02_B_21,221,20,9,165
D013T01P905L02_B_22,216,28,13,179
D013T01P905L02_B_23,179,14,6,148
D013T01P905L02_B_24,183,34,9,165
D013T01P905L02_C_01,200,27,13,162
D013T01P905L02_C_02,216,26,14,247
D013T01P905L02_C_03,226,25,12,187
D013T01P905L02_C_04,214,31,6,149
D013T01P905L02_C_05,167,19,7,172
D013T01P905L02_C_06,257,27,11,201
D013T01P905L02_C_07,210,38,14,185
D013T01P905L02_C_08,229,13,13,190
D013T01P905L02_C_09,210,12,36,278
D013T01P905L02_C_10,199,22,14,138
D013T01P905L02_C_11,165,21,13,157
D013T01P905L02_C_12,203,16,6,173
D013T01P905L02_C_13,197,10,7,135
D013T01P905L02_C_14,195,11,11,155
D013T01P905L02_C_15,165,74,13,310
D013T01P905L02_C_16,165,17,14,173
D013T01P905L02_C_17,191,15,11,155
D013T01P905L02_C_18,203,12,42,283
D013T01P905L02_C_19,156,21,9,143
