,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D004T01P004L03_A_01,168,12,28,108
D004T01P004L03_A_02,178,17,26,110
D004T01P004L03_A_03,191,13,34,142
D004T01P004L03_A_04,198,13,41,109
D004T01P004L03_A_05,105,13,145,175
D004T01P004L03_A_06,52,19,105,132
D004T01P004L03_A_07,95,13,142,177
D004T01P004L03_A_08,208,9,32,89
D004T01P004L03_A_09,222,11,108,198
D004T01P004L03_A_10,211,6,53,125
D004T01P004L03_A_11,49,13,130,132
D004T01P004L03_A_12,192,10,37,92
D004T01P004L03_A_13,165,11,77,185
D004T01P004L03_A_14,224,4,52,98
D004T01P004L03_A_15,193,10,42,111
D004T01P004L03_A_16,167,19,36,84
D004T01P004L03_A_17,179,19,18,102
D004T01P004L03_A_18,203,10,48,114
D004T01P004L03_A_19,145,20,86,105
D004T01P004L03_A_20,184,9,21,84
D004T01P004L03_A_21,143,7,66,150
D004T01P004L03_A_22,186,4,22,107
D004T01P004L03_A_23,194,9,38,113
D004T01P004L03_A_24,200,11,27,98
D004T01P004L03_B_01,204,5,39,130
D004T01P004L03_B_02,179,9,32,113
D004T01P004L03_B_03,208,7,40,61
D004T01P004L03_B_04,165,10,36,94
D004T01P004L03_B_05,49,13,272,189
D004T01P004L03_B_06,211,7,43,93
D004T01P004L03_B_07,201,11,50,121
D004T01P004L03_B_08,163,17,112,220
D004T01P004L03_B_09,185,5,50,107
D004T01P004L03_B_10,203,4,45,104
D004T01P004L03_B_11,73,11,211,134
D004T01P004L03_B_12,162,12,211,353
D004T01P004L03_B_13,227,5,40,110
D004T01P004L03_B_14,187,16,33,119
D004T01P004L03_B_15,187,2,141,234
D004T01P004L03_B_16,190,10,48,104
D004T01P004L03_B_17,166,10,23,89
D004T01P004L03_B_18,193,18,48,109
D004T01P004L03_B_19,184,8,32,105
D004T01P004L03_B_20,202,12,42,100
D004T01P004L03_B_21,180,12,28,78
D004T01P004L03_B_22,196,16,45,85
D004T01P004L03_B_23,201,5,36,104
D004T01P004L03_B_24,189,12,32,104
D004T01P004L03_C_01,225,14,45,148
D004T01P004L03_C_02,200,5,38,106
D004T01P004L03_C_03,195,13,20,112
D004T01P004L03_C_04,229,7,39,140
D004T01P004L03_C_05,88,18,308,291
D004T01P004L03_C_06,217,5,71,136
D004T01P004L03_C_07,205,6,41,82
D004T01P004L03_C_08,205,13,30,107
D004T01P004L03_C_09,186,13,122,202
D004T01P004L03_C_10,214,5,53,124
D004T01P004L03_C_11,134,12,140,162
D004T01P004L03_C_12,210,4,32,105
D004T01P004L03_C_13,213,9,42,105
D004T01P004L03_C_14,193,10,43,86
D004T01P004L03_C_15,158,9,60,62
D004T01P004L03_C_16,196,9,30,80
D004T01P004L03_C_17,189,5,63,99
D004T01P004L03_C_18,224,5,43,105
D004T01P004L03_C_19,212,7,33,98
D004T01P004L03_C_20,196,6,24,89
D004T01P004L03_C_21,123,6,189,225
