,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D022T01P002L03_A_01,321,10,66,176
D022T01P002L03_A_02,244,103,78,217
D022T01P002L03_A_03,166,13,193,281
D022T01P002L03_A_04,344,10,106,165
D022T01P002L03_A_05,92,17,175,138
D022T01P002L03_A_06,83,6,167,152
D022T01P002L03_A_07,44,10,235,178
D022T01P002L03_A_08,312,12,57,159
D022T01P002L03_A_09,128,9,223,400
D022T01P002L03_A_10,346,3,61,184
D022T01P002L03_A_11,59,13,286,205
D022T01P002L03_A_12,309,11,92,160
D022T01P002L03_A_13,94,11,310,307
D022T01P002L03_A_14,300,12,32,153
D022T01P002L03_A_15,282,10,69,159
D022T01P002L03_A_16,294,6,81,139
D022T01P002L03_A_17,294,16,65,240
D022T01P002L03_A_18,310,8,63,142
D022T01P002L03_A_19,252,11,141,230
D022T01P002L03_A_20,286,12,56,160
D022T01P002L03_A_21,65,12,313,191
D022T01P002L03_A_22,281,8,71,143
D022T01P002L03_A_23,324,8,86,139
D022T01P002L03_A_24,317,8,78,167
D022T01P002L03_B_01,189,10,269,290
D022T01P002L03_B_02,317,5,65,149
D022T01P002L03_B_03,365,14,54,160
D022T01P002L03_B_04,314,8,87,152
D022T01P002L03_B_05,63,3,275,188
D022T01P002L03_B_06,330,7,66,139
D022T01P002L03_B_07,285,8,119,182
D022T01P002L03_B_08,336,8,59,172
D022T01P002L03_B_09,329,13,66,192
D022T01P002L03_B_10,319,7,81,141
D022T01P002L03_B_11,99,3,335,196
D022T01P002L03_B_12,214,12,305,304
D022T01P002L03_B_13,336,2,78,143
D022T01P002L03_B_14,320,9,73,138
D022T01P002L03_B_15,247,12,115,262
D022T01P002L03_B_16,294,11,68,162
D022T01P002L03_B_17,207,15,331,237
D022T01P002L03_B_18,319,9,74,138
D022T01P002L03_B_19,317,5,95,181
D022T01P002L03_B_20,338,9,71,170
D022T01P002L03_B_21,352,4,80,141
D022T01P002L03_B_22,318,7,91,181
D022T01P002L03_B_23,327,12,70,172
D022T01P002L03_B_24,317,7,84,172
D022T01P002L03_C_01,328,3,89,208
D022T01P002L03_C_02,330,12,69,194
D022T01P002L03_C_03,270,14,96,232
D022T01P002L03_C_04,318,15,49,148
D022T01P002L03_C_05,267,15,155,233
D022T01P002L03_C_06,250,10,196,309
D022T01P002L03_C_07,293,16,98,255
D022T01P002L03_C_08,359,12,56,152
D022T01P002L03_C_09,175,7,469,314
D022T01P002L03_C_10,299,10,92,156
D022T01P002L03_C_11,78,11,330,168
D022T01P002L03_C_12,356,10,71,156
D022T01P002L03_C_13,325,3,86,139
D022T01P002L03_C_14,309,7,111,204
D022T01P002L03_C_15,215,20,133,193
D022T01P002L03_C_16,331,7,80,170
D022T01P002L03_C_17,316,13,97,205
D022T01P002L03_C_18,344,6,72,161
D022T01P002L03_C_19,402,10,53,174
D022T01P002L03_C_20,318,15,79,158
D022T01P002L03_C_21,148,4,215,199
D022T01P002L03_C_22,339,1,65,184
D022T01P002L03_C_23,348,3,71,148
D022T01P002L03_C_24,317,5,68,182
D022T01P002L03_D_01,261,13,138,174
D022T01P002L03_D_02,232,66,54,249
D022T01P002L03_D_03,328,10,69,162
D022T01P002L03_D_04,311,7,89,172
D022T01P002L03_D_05,331,12,74,149
D022T01P002L03_D_06,334,7,101,168
D022T01P002L03_D_07,322,18,62,163
D022T01P002L03_D_08,324,6,109,171
D022T01P002L03_D_09,148,13,203,137
D022T01P002L03_D_10,318,11,72,166
D022T01P002L03_D_11,331,8,83,162
D022T01P002L03_D_12,320,7,77,132
D022T01P002L03_D_13,361,7,80,156
D022T01P002L03_D_14,302,9,86,146
D022T01P002L03_D_15,311,1,93,156
D022T01P002L03_D_16,319,2,92,118
D022T01P002L03_D_17,329,4,79,135
D022T01P002L03_D_18,194,3,224,161
D022T01P002L03_D_19,224,15,156,117
D022T01P002L03_D_20,322,8,88,154
D022T01P002L03_D_21,358,2,92,178
D022T01P002L03_D_22,311,5,94,126
D022T01P002L03_D_23,337,6,60,193
D022T01P002L03_D_24,312,3,89,158
D022T01P002L03_E_01,341,9,68,197
D022T01P002L03_E_02,335,10,99,222
D022T01P002L03_E_03,326,9,90,175
D022T01P002L03_E_04,342,21,69,191
D022T01P002L03_E_05,50,12,234,188
D022T01P002L03_E_06,304,22,73,111
D022T01P002L03_E_07,92,7,385,216
D022T01P002L03_E_08,327,3,80,153
D022T01P002L03_E_09,302,12,73,165
D022T01P002L03_E_10,300,2,118,175
D022T01P002L03_E_11,162,10,84,115
D022T01P002L03_E_12,309,14,69,134
D022T01P002L03_E_13,23,3,155,124
D022T01P002L03_E_14,211,5,191,136
D022T01P002L03_E_15,307,9,66,128
D022T01P002L03_E_16,323,4,47,184
D022T01P002L03_E_17,195,10,171,155
D022T01P002L03_E_18,327,16,60,152
D022T01P002L03_E_19,325,4,74,167
D022T01P002L03_E_20,351,12,66,170
D022T01P002L03_E_21,321,5,62,162
D022T01P002L03_E_22,296,4,75,129
D022T01P002L03_E_23,338,4,73,154
D022T01P002L03_E_24,327,16,69,174
D022T01P002L03_F_01,331,6,73,178
D022T01P002L03_F_02,349,10,76,165
D022T01P002L03_F_03,307,8,75,154
D022T01P002L03_F_04,295,7,73,143
D022T01P002L03_F_05,265,7,127,136
D022T01P002L03_F_06,290,3,83,150
D022T01P002L03_F_07,87,11,209,154
D022T01P002L03_F_08,311,9,69,140
D022T01P002L03_F_09,266,6,86,160
D022T01P002L03_F_10,329,5,105,164
D022T01P002L03_F_11,336,8,80,151
D022T01P002L03_F_12,315,7,60,178
D022T01P002L03_F_13,324,12,58,193
D022T01P002L03_F_14,332,5,86,160
D022T01P002L03_F_15,325,4,80,146
D022T01P002L03_F_16,335,10,76,149
D022T01P002L03_F_17,309,16,66,149
D022T01P002L03_F_18,248,12,93,215
D022T01P002L03_F_19,330,7,81,150
D022T01P002L03_F_20,339,8,93,140
D022T01P002L03_F_21,329,8,71,169
D022T01P002L03_F_22,312,3,68,152
D022T01P002L03_F_23,308,10,76,178
D022T01P002L03_F_24,345,7,84,181
D022T01P002L03_G_01,259,5,203,192
D022T01P002L03_G_02,227,6,179,242
D022T01P002L03_G_03,329,5,83,139
D022T01P002L03_G_04,332,8,62,161
D022T01P002L03_G_05,302,10,65,162
D022T01P002L03_G_06,304,11,110,206
D022T01P002L03_G_07,199,6,170,163
D022T01P002L03_G_08,312,7,84,134
D022T01P002L03_G_09,365,13,64,162
D022T01P002L03_G_10,316,5,95,157
D022T01P002L03_G_11,192,17,234,339
D022T01P002L03_G_12,339,11,88,129
D022T01P002L03_G_13,298,9,73,155
D022T01P002L03_G_14,181,7,230,236
D022T01P002L03_G_15,311,10,64,180
D022T01P002L03_G_16,335,5,83,177
D022T01P002L03_G_17,304,3,102,133
D022T01P002L03_G_18,336,7,65,176
D022T01P002L03_G_19,317,7,82,163
D022T01P002L03_G_20,314,6,80,128
D022T01P002L03_G_21,313,3,86,180
D022T01P002L03_G_22,342,11,91,167
D022T01P002L03_G_23,331,4,84,176
D022T01P002L03_G_24,318,8,75,164
D022T01P002L03_H_01,282,10,74,142
D022T01P002L03_H_02,313,9,93,182
D022T01P002L03_H_03,250,8,163,195
D022T01P002L03_H_04,273,7,69,129
D022T01P002L03_H_05,323,8,92,229
D022T01P002L03_H_06,341,8,51,158
D022T01P002L03_H_07,316,7,73,147
D022T01P002L03_H_08,321,3,59,164
D022T01P002L03_H_09,319,4,81,134
D022T01P002L03_H_10,69,7,324,139
D022T01P002L03_H_11,333,9,64,168
D022T01P002L03_H_12,310,11,59,177
D022T01P002L03_H_13,200,8,517,292
D022T01P002L03_H_14,295,6,123,194
D022T01P002L03_H_15,313,6,81,151
D022T01P002L03_H_16,289,6,60,152
D022T01P002L03_H_17,242,3,163,254
D022T01P002L03_H_18,300,2,63,159
D022T01P002L03_H_19,298,7,65,175
D022T01P002L03_H_20,279,5,62,150
D022T01P002L03_H_21,207,8,260,262
D022T01P002L03_H_22,32,6,254,159
D022T01P002L03_H_23,326,8,70,161
D022T01P002L03_H_24,326,10,85,159
D022T01P002L03_I_01,84,4,347,250
D022T01P002L03_I_02,311,5,77,156
D022T01P002L03_I_03,134,9,176,109
D022T01P002L03_I_04,340,9,82,158
D022T01P002L03_I_05,350,12,55,167
D022T01P002L03_I_06,311,6,71,111
D022T01P002L03_I_07,347,6,83,163
D022T01P002L03_I_08,309,7,43,143
D022T01P002L03_I_09,184,3,243,193
D022T01P002L03_I_10,290,10,72,156
D022T01P002L03_I_11,307,5,92,110
D022T01P002L03_I_12,316,9,80,163
D022T01P002L03_I_13,323,11,68,192
D022T01P002L03_I_14,314,7,82,167
D022T01P002L03_I_15,327,4,76,142
D022T01P002L03_I_16,321,5,51,142
D022T01P002L03_I_17,321,5,71,181
D022T01P002L03_I_18,285,6,65,133
D022T01P002L03_I_19,162,10,411,248
D022T01P002L03_I_20,342,8,59,185
D022T01P002L03_I_21,310,3,78,144
D022T01P002L03_I_22,295,4,77,146
D022T01P002L03_I_23,316,6,75,202
D022T01P002L03_I_24,266,5,65,144
D022T01P002L03_J_01,243,14,108,246
D022T01P002L03_J_02,286,7,70,155
D022T01P002L03_J_03,290,10,71,162
D022T01P002L03_J_04,295,12,80,166
D022T01P002L03_J_05,159,12,140,123
D022T01P002L03_J_06,322,9,73,161
D022T01P002L03_J_07,316,15,78,192
D022T01P002L03_J_08,322,9,56,183
D022T01P002L03_J_09,332,9,75,184
D022T01P002L03_J_10,307,4,69,143
D022T01P002L03_J_11,335,6,58,135
D022T01P002L03_J_12,321,13,64,197
D022T01P002L03_J_13,200,6,105,112
D022T01P002L03_J_14,248,8,113,200
D022T01P002L03_J_15,111,10,277,225
D022T01P002L03_J_16,314,2,82,159
D022T01P002L03_J_17,100,19,160,156
D022T01P002L03_J_18,163,8,405,382
D022T01P002L03_J_19,126,7,393,194
D022T01P002L03_J_20,282,4,82,162
D022T01P002L03_J_21,275,8,106,154
D022T01P002L03_J_22,81,6,389,242
D022T01P002L03_J_23,335,6,76,186
D022T01P002L03_J_24,334,6,90,165
D022T01P002L03_K_01,120,11,165,109
D022T01P002L03_K_02,153,3,332,231
D022T01P002L03_K_03,214,10,104,127
D022T01P002L03_K_04,349,13,73,205
D022T01P002L03_K_05,308,15,64,133
D022T01P002L03_K_06,110,12,264,275
D022T01P002L03_K_07,246,18,84,129
D022T01P002L03_K_08,288,8,68,162
D022T01P002L03_K_09,266,22,84,136
D022T01P002L03_K_10,321,6,80,147
D022T01P002L03_K_11,302,6,62,152
D022T01P002L03_K_12,305,8,64,156
D022T01P002L03_K_13,55,3,298,132
D022T01P002L03_K_14,268,8,68,120
D022T01P002L03_K_15,310,7,70,155
D022T01P002L03_K_16,308,12,78,160
D022T01P002L03_K_17,181,15,131,179
D022T01P002L03_K_18,301,5,93,154
D022T01P002L03_K_19,307,9,72,146
D022T01P002L03_K_20,314,10,72,146
D022T01P002L03_K_21,295,14,94,179
D022T01P002L03_K_22,277,2,59,145
D022T01P002L03_K_23,320,7,71,173
D022T01P002L03_K_24,338,7,75,183
D022T01P002L03_L_01,308,17,77,222
D022T01P002L03_L_02,38,7,360,209
D022T01P002L03_L_03,301,15,58,178
D022T01P002L03_L_04,319,9,58,172
D022T01P002L03_L_05,296,4,71,155
D022T01P002L03_L_06,151,15,334,267
D022T01P002L03_L_07,235,7,134,299
D022T01P002L03_L_08,291,8,61,141
D022T01P002L03_L_09,40,5,314,114
D022T01P002L03_L_10,289,8,84,155
D022T01P002L03_L_11,284,10,82,241
D022T01P002L03_L_12,301,7,66,192
D022T01P002L03_L_13,290,9,61,165
D022T01P002L03_L_14,282,14,41,185
D022T01P002L03_L_15,137,7,271,402
D022T01P002L03_L_16,185,13,140,278
D022T01P002L03_L_17,324,8,67,159
D022T01P002L03_L_18,232,15,110,208
D022T01P002L03_L_19,294,4,82,142
D022T01P002L03_L_20,283,11,104,175
D022T01P002L03_L_21,276,8,61,173
D022T01P002L03_L_22,323,2,56,166
D022T01P002L03_L_23,282,6,57,169
D022T01P002L03_L_24,320,10,67,180
D022T01P002L03_M_01,267,8,138,188
D022T01P002L03_M_02,292,5,67,168
D022T01P002L03_M_03,40,6,223,156
D022T01P002L03_M_04,337,9,62,178
D022T01P002L03_M_05,46,9,155,92
D022T01P002L03_M_06,230,12,65,131
D022T01P002L03_M_07,86,18,322,162
D022T01P002L03_M_08,290,7,60,158
D022T01P002L03_M_09,284,17,45,172
D022T01P002L03_M_10,265,7,68,142
