,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001B04P007L06_A_01,134,43,102,116
M001B04P007L06_A_02,120,64,126,182
M001B04P007L06_A_03,112,40,113,132
M001B04P007L06_A_04,133,43,105,150
M001B04P007L06_A_05,86,2,127,3
M001B04P007L06_A_06,143,29,89,120
M001B04P007L06_A_07,119,40,109,120
M001B04P007L06_A_08,122,39,117,127
M001B04P007L06_A_09,135,49,134,152
M001B04P007L06_A_10,125,47,116,134
M001B04P007L06_A_11,126,60,104,186
M001B04P007L06_A_12,144,45,143,165
M001B04P007L06_A_13,132,37,125,132
M001B04P007L06_A_14,142,37,165,168
M001B04P007L06_A_15,126,50,113,144
M001B04P007L06_A_16,158,37,101,144
M001B04P007L06_A_17,133,33,71,121
M001B04P007L06_A_18,151,34,97,128
M001B04P007L06_A_19,118,54,86,150
M001B04P007L06_A_20,141,54,102,156
M001B04P007L06_A_21,128,32,100,110
M001B04P007L06_A_22,132,42,99,113
M001B04P007L06_A_23,98,49,48,125
M001B04P007L06_A_24,92,52,59,121
M001B04P007L06_B_01,142,56,139,157
M001B04P007L06_B_02,152,50,149,162
M001B04P007L06_B_03,126,42,101,159
M001B04P007L06_B_04,141,41,95,114
M001B04P007L06_B_05,82,26,137,66
M001B04P007L06_B_06,145,44,86,200
M001B04P007L06_B_07,85,33,133,111
M001B04P007L06_B_08,149,49,113,196
M001B04P007L06_B_09,114,60,142,163
M001B04P007L06_B_10,169,37,159,178
M001B04P007L06_B_11,156,40,120,153
M001B04P007L06_B_12,136,34,138,142
M001B04P007L06_B_13,143,46,130,142
M001B04P007L06_B_14,141,40,86,139
M001B04P007L06_B_15,162,48,131,167
M001B04P007L06_B_16,158,45,100,156
M001B04P007L06_B_17,138,24,104,124
M001B04P007L06_B_18,145,41,122,153
M001B04P007L06_B_19,172,49,121,176
M001B04P007L06_B_20,134,55,99,131
M001B04P007L06_B_21,157,50,93,151
M001B04P007L06_B_22,144,52,93,148
M001B04P007L06_B_23,114,40,105,149
M001B04P007L06_B_24,133,46,52,117
M001B04P007L06_C_01,134,65,95,172
M001B04P007L06_C_02,145,42,109,166
M001B04P007L06_C_03,123,43,77,115
M001B04P007L06_C_04,141,52,123,209
M001B04P007L06_C_05,122,44,115,164
M001B04P007L06_C_06,153,32,118,173
M001B04P007L06_C_07,145,41,116,150
M001B04P007L06_C_08,148,39,174,203
M001B04P007L06_C_09,152,46,103,155
M001B04P007L06_C_10,148,55,163,204
M001B04P007L06_C_11,164,42,148,225
M001B04P007L06_C_12,173,42,134,146
M001B04P007L06_C_13,151,36,91,145
M001B04P007L06_C_14,172,41,159,152
M001B04P007L06_C_15,175,46,144,185
M001B04P007L06_C_16,150,35,142,194
M001B04P007L06_C_17,141,39,142,152
M001B04P007L06_C_18,116,46,103,147
M001B04P007L06_C_19,23,17,41,3
M001B04P007L06_C_20,45,6,65,3
M001B04P007L06_C_21,35,4,76,4
M001B04P007L06_C_22,34,12,81,5
M001B04P007L06_C_23,141,80,70,186
M001B04P007L06_C_24,124,59,88,171
M001B04P007L06_D_01,129,47,106,123
M001B04P007L06_D_02,131,55,112,182
M001B04P007L06_D_03,137,53,97,153
M001B04P007L06_D_04,119,62,129,211
M001B04P007L06_D_05,47,1,247,32
M001B04P007L06_D_06,122,53,104,185
M001B04P007L06_D_07,146,40,105,121
M001B04P007L06_D_08,135,52,131,215
M001B04P007L06_D_09,166,52,166,223
M001B04P007L06_D_10,149,53,118,219
M001B04P007L06_D_11,146,39,131,155
M001B04P007L06_D_12,161,36,134,181
M001B04P007L06_D_13,158,39,99,140
M001B04P007L06_D_14,130,72,113,259
M001B04P007L06_D_15,162,30,128,128
M001B04P007L06_D_16,129,51,127,133
M001B04P007L06_D_17,134,47,85,135
M001B04P007L06_D_18,15,10,41,6
M001B04P007L06_D_19,32,8,68,4
M001B04P007L06_D_20,45,0,36,2
M001B04P007L06_D_21,34,9,62,6
M001B04P007L06_D_22,31,9,86,2
M001B04P007L06_D_23,84,63,76,110
M001B04P007L06_D_24,80,36,77,47
M001B04P007L06_E_01,126,63,130,238
M001B04P007L06_E_02,152,66,125,250
M001B04P007L06_E_03,106,38,110,75
M001B04P007L06_E_04,155,36,160,169
M001B04P007L06_E_05,121,26,109,142
M001B04P007L06_E_06,168,37,109,176
M001B04P007L06_E_07,140,44,90,146
M001B04P007L06_E_08,150,39,99,165
M001B04P007L06_E_09,170,39,90,119
M001B04P007L06_E_10,175,52,132,164
M001B04P007L06_E_11,152,51,162,280
M001B04P007L06_E_12,178,27,141,188
M001B04P007L06_E_13,120,34,117,123
M001B04P007L06_E_14,130,39,91,113
M001B04P007L06_E_15,154,70,101,201
M001B04P007L06_E_16,141,41,121,154
M001B04P007L06_E_17,130,47,98,120
M001B04P007L06_E_18,142,68,114,179
M001B04P007L06_E_19,123,36,121,155
M001B04P007L06_E_20,146,39,97,176
M001B04P007L06_E_21,36,11,48,2
M001B04P007L06_E_22,33,7,56,6
M001B04P007L06_E_23,147,51,75,149
M001B04P007L06_E_24,128,47,135,134
M001B04P007L06_F_01,129,47,108,165
M001B04P007L06_F_02,133,57,137,167
M001B04P007L06_F_03,142,39,123,178
M001B04P007L06_F_04,146,50,135,157
M001B04P007L06_F_05,133,44,100,165
M001B04P007L06_F_06,139,54,143,182
M001B04P007L06_F_07,136,80,84,146
M001B04P007L06_F_08,147,36,126,162
M001B04P007L06_F_09,84,60,52,146
M001B04P007L06_F_10,130,76,101,269
M001B04P007L06_F_11,62,2,161,23
M001B04P007L06_F_12,149,42,111,146
M001B04P007L06_F_13,143,30,131,149
M001B04P007L06_F_14,136,40,100,149
M001B04P007L06_F_15,154,39,112,137
M001B04P007L06_F_16,126,36,92,129
M001B04P007L06_F_17,131,50,102,170
M001B04P007L06_F_18,146,39,108,151
M001B04P007L06_F_19,151,64,98,187
M001B04P007L06_F_20,145,59,142,208
M001B04P007L06_F_21,128,45,124,205
M001B04P007L06_F_22,32,4,36,0
M001B04P007L06_F_23,112,55,60,134
M001B04P007L06_F_24,134,53,74,141
M001B04P007L06_G_01,123,55,72,158
M001B04P007L06_G_02,145,31,151,142
M001B04P007L06_G_03,117,65,121,198
M001B04P007L06_G_04,130,49,113,156
M001B04P007L06_G_05,149,44,103,197
M001B04P007L06_G_06,131,46,134,191
M001B04P007L06_G_07,153,47,112,195
M001B04P007L06_G_08,134,41,80,126
M001B04P007L06_G_09,145,34,80,169
M001B04P007L06_G_10,157,63,153,207
M001B04P007L06_G_11,143,46,133,203
M001B04P007L06_G_12,136,42,105,136
M001B04P007L06_G_13,134,53,108,138
