,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001A03P011L04_A_01,59,5,280,45
M001A03P011L04_A_02,156,36,94,156
M001A03P011L04_A_03,66,18,111,57
M001A03P011L04_A_04,142,36,105,131
M001A03P011L04_A_05,153,37,90,103
M001A03P011L04_A_06,144,26,84,81
M001A03P011L04_A_07,136,29,93,145
M001A03P011L04_A_08,135,30,96,90
M001A03P011L04_A_09,80,24,61,55
M001A03P011L04_A_10,132,56,141,170
M001A03P011L04_A_11,34,3,82,15
M001A03P011L04_A_12,146,47,91,138
M001A03P011L04_A_13,129,33,80,121
M001A03P011L04_A_14,163,27,75,103
M001A03P011L04_A_15,135,36,122,150
M001A03P011L04_A_16,153,45,128,249
M001A03P011L04_A_17,127,28,116,133
M001A03P011L04_A_18,106,27,96,79
M001A03P011L04_A_19,163,34,121,186
M001A03P011L04_A_20,170,32,100,152
M001A03P011L04_A_21,139,35,86,166
M001A03P011L04_A_22,139,48,122,176
M001A03P011L04_A_23,121,48,76,169
M001A03P011L04_A_24,177,63,145,269
M001A03P011L04_B_01,138,27,107,129
M001A03P011L04_B_02,153,34,82,115
M001A03P011L04_B_03,116,29,136,94
M001A03P011L04_B_04,140,28,93,120
M001A03P011L04_B_05,163,44,109,139
M001A03P011L04_B_06,158,33,131,155
M001A03P011L04_B_07,152,23,182,107
M001A03P011L04_B_08,139,36,106,123
M001A03P011L04_B_09,100,38,85,103
M001A03P011L04_B_10,138,34,67,108
M001A03P011L04_B_11,154,18,97,116
M001A03P011L04_B_12,146,24,135,118
M001A03P011L04_B_13,110,31,94,98
M001A03P011L04_B_14,147,30,116,119
M001A03P011L04_B_15,160,27,101,113
M001A03P011L04_B_16,117,31,102,96
M001A03P011L04_B_17,138,30,108,120
M001A03P011L04_B_18,143,44,112,153
M001A03P011L04_B_19,91,22,130,128
M001A03P011L04_B_20,132,36,69,111
M001A03P011L04_B_21,142,50,148,186
M001A03P011L04_B_22,125,42,81,115
M001A03P011L04_B_23,128,29,73,91
M001A03P011L04_B_24,145,36,87,165
M001A03P011L04_C_01,158,20,91,80
M001A03P011L04_C_02,141,38,110,134
M001A03P011L04_C_03,60,1,171,19
M001A03P011L04_C_04,126,29,79,113
M001A03P011L04_C_05,140,28,87,140
M001A03P011L04_C_06,169,19,136,150
M001A03P011L04_C_07,112,27,89,126
M001A03P011L04_C_08,158,62,121,183
M001A03P011L04_C_09,151,40,155,184
M001A03P011L04_C_10,151,26,101,106
M001A03P011L04_C_11,142,43,110,153
M001A03P011L04_C_12,161,29,106,110
M001A03P011L04_C_13,116,28,121,130
M001A03P011L04_C_14,134,41,90,114
M001A03P011L04_C_15,167,33,112,127
M001A03P011L04_C_16,152,41,92,119
M001A03P011L04_C_17,152,35,83,139
M001A03P011L04_C_18,133,27,81,111
M001A03P011L04_C_19,141,29,66,108
M001A03P011L04_C_20,141,53,102,140
M001A03P011L04_C_21,130,38,98,111
M001A03P011L04_C_22,138,32,82,127
M001A03P011L04_C_23,150,35,119,123
M001A03P011L04_C_24,117,19,95,63
M001A03P011L04_D_01,106,29,56,96
M001A03P011L04_D_02,150,34,116,136
M001A03P011L04_D_03,132,41,63,121
M001A03P011L04_D_04,158,29,98,155
M001A03P011L04_D_05,198,45,208,210
M001A03P011L04_D_06,163,37,192,262
M001A03P011L04_D_07,142,30,105,122
M001A03P011L04_D_08,156,37,104,168
M001A03P011L04_D_09,125,48,108,170
M001A03P011L04_D_10,140,39,103,134
M001A03P011L04_D_11,136,34,115,131
M001A03P011L04_D_12,150,26,125,148
M001A03P011L04_D_13,157,34,154,162
M001A03P011L04_D_14,172,30,102,120
M001A03P011L04_D_15,140,33,126,113
M001A03P011L04_D_16,170,34,112,134
M001A03P011L04_D_17,134,51,106,145
M001A03P011L04_D_18,164,38,188,205
M001A03P011L04_D_19,101,25,151,156
M001A03P011L04_D_20,137,35,93,102
M001A03P011L04_D_21,137,27,87,102
M001A03P011L04_D_22,132,43,105,99
M001A03P011L04_D_23,120,36,115,153
M001A03P011L04_D_24,128,33,68,85
M001A03P011L04_E_01,155,34,132,159
M001A03P011L04_E_02,115,16,151,101
M001A03P011L04_E_03,119,15,168,106
M001A03P011L04_E_04,136,28,92,89
M001A03P011L04_E_05,162,16,100,153
M001A03P011L04_E_06,170,52,108,210
M001A03P011L04_E_07,113,3,215,56
M001A03P011L04_E_08,165,24,90,158
M001A03P011L04_E_09,125,25,115,86
M001A03P011L04_E_10,137,47,86,131
M001A03P011L04_E_11,166,44,114,145
M001A03P011L04_E_12,105,12,240,114
M001A03P011L04_E_13,152,30,101,95
M001A03P011L04_E_14,140,32,118,138
M001A03P011L04_E_15,88,4,237,27
M001A03P011L04_E_16,129,28,96,118
M001A03P011L04_E_17,160,35,118,159
M001A03P011L04_E_18,144,24,101,109
M001A03P011L04_E_19,155,33,102,138
M001A03P011L04_E_20,142,52,88,140
M001A03P011L04_E_21,167,38,104,169
M001A03P011L04_E_22,149,29,131,133
M001A03P011L04_E_23,157,28,97,111
M001A03P011L04_E_24,143,46,100,155
M001A03P011L04_F_01,154,33,165,154
M001A03P011L04_F_02,167,22,113,127
M001A03P011L04_F_03,85,4,286,34
M001A03P011L04_F_04,124,21,97,148
M001A03P011L04_F_05,177,28,132,140
M001A03P011L04_F_06,154,33,134,138
M001A03P011L04_F_07,138,31,92,106
M001A03P011L04_F_08,136,51,84,220
M001A03P011L04_F_09,131,30,96,138
M001A03P011L04_F_10,128,34,87,117
M001A03P011L04_F_11,142,27,99,125
M001A03P011L04_F_12,149,31,121,113
M001A03P011L04_F_13,150,45,136,158
M001A03P011L04_F_14,136,33,133,104
M001A03P011L04_F_15,174,50,136,180
M001A03P011L04_F_16,150,33,119,152
M001A03P011L04_F_17,106,27,124,83
M001A03P011L04_F_18,165,42,146,158
M001A03P011L04_F_19,110,20,141,100
M001A03P011L04_F_20,142,38,116,127
M001A03P011L04_F_21,118,29,95,149
M001A03P011L04_F_22,171,35,129,165
M001A03P011L04_F_23,145,36,92,126
M001A03P011L04_F_24,157,30,123,165
M001A03P011L04_G_01,94,19,81,102
M001A03P011L04_G_02,134,43,96,149
M001A03P011L04_G_03,81,33,70,69
M001A03P011L04_G_04,143,26,96,119
M001A03P011L04_G_05,13,1,39,7
