,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D021T01P003L08_A_01,167,3,195,342
D021T01P003L08_A_02,315,23,103,396
D021T01P003L08_A_03,323,8,173,304
D021T01P003L08_A_04,367,10,141,306
D021T01P003L08_A_05,223,14,182,455
D021T01P003L08_A_06,292,6,175,314
D021T01P003L08_A_07,284,49,66,359
D021T01P003L08_A_08,173,4,201,283
D021T01P003L08_A_09,72,0,262,87
D021T01P003L08_A_10,317,25,84,330
D021T01P003L08_A_11,246,17,150,482
D021T01P003L08_A_12,260,5,128,650
D021T01P003L08_A_13,333,15,117,325
D021T01P003L08_A_14,97,6,344,313
D021T01P003L08_A_15,41,0,169,46
D021T01P003L08_A_16,179,0,274,369
D021T01P003L08_A_17,372,18,76,297
D021T01P003L08_A_18,330,8,161,254
D021T01P003L08_A_19,329,26,90,315
D021T01P003L08_A_20,313,10,138,338
D021T01P003L08_A_21,311,40,83,355
D021T01P003L08_A_22,334,6,117,313
D021T01P003L08_A_23,319,13,120,350
D021T01P003L08_A_24,290,43,92,443
D021T01P003L08_B_01,320,4,178,350
D021T01P003L08_B_02,56,0,262,71
D021T01P003L08_B_03,326,29,83,391
D021T01P003L08_B_04,309,25,100,376
D021T01P003L08_B_05,322,3,159,209
D021T01P003L08_B_06,290,24,122,442
D021T01P003L08_B_07,331,17,104,310
D021T01P003L08_B_08,380,10,127,300
D021T01P003L08_B_09,295,9,205,349
D021T01P003L08_B_10,320,14,134,276
D021T01P003L08_B_11,358,14,108,348
D021T01P003L08_B_12,350,18,106,358
D021T01P003L08_B_13,335,9,167,334
D021T01P003L08_B_14,337,21,115,377
D021T01P003L08_B_15,269,37,90,369
D021T01P003L08_B_16,275,5,182,441
D021T01P003L08_B_17,303,37,70,351
D021T01P003L08_B_18,353,10,127,363
D021T01P003L08_B_19,73,3,183,212
D021T01P003L08_B_20,254,1,318,242
D021T01P003L08_B_21,278,1,246,320
D021T01P003L08_B_22,228,6,200,453
D021T01P003L08_B_23,369,18,95,306
D021T01P003L08_B_24,341,10,170,339
D021T01P003L08_C_01,265,2,273,163
D021T01P003L08_C_02,325,7,192,274
D021T01P003L08_C_03,313,15,162,343
D021T01P003L08_C_04,327,23,92,415
D021T01P003L08_C_05,309,11,220,362
D021T01P003L08_C_06,329,39,83,396
D021T01P003L08_C_07,351,30,107,382
D021T01P003L08_C_08,339,10,103,357
D021T01P003L08_C_09,302,54,133,426
D021T01P003L08_C_10,346,19,141,367
D021T01P003L08_C_11,341,22,91,392
D021T01P003L08_C_12,272,9,235,457
D021T01P003L08_C_13,314,26,100,358
D021T01P003L08_C_14,346,24,125,326
D021T01P003L08_C_15,138,1,494,170
D021T01P003L08_C_16,341,18,141,338
D021T01P003L08_C_17,360,17,82,198
D021T01P003L08_C_18,337,22,82,345
D021T01P003L08_C_19,314,9,186,355
D021T01P003L08_C_20,301,10,172,372
D021T01P003L08_C_21,263,0,205,247
D021T01P003L08_C_22,354,12,104,354
D021T01P003L08_C_23,349,13,171,259
D021T01P003L08_C_24,334,12,134,301
D021T01P003L08_D_01,219,2,231,304
D021T01P003L08_D_02,321,35,102,368
D021T01P003L08_D_03,332,21,115,323
D021T01P003L08_D_04,321,12,127,332
D021T01P003L08_D_05,317,37,76,389
D021T01P003L08_D_06,287,5,178,402
D021T01P003L08_D_07,294,52,142,328
D021T01P003L08_D_08,377,8,144,366
D021T01P003L08_D_09,287,7,177,368
D021T01P003L08_D_10,332,22,112,375
D021T01P003L08_D_11,352,9,128,306
D021T01P003L08_D_12,264,1,189,272
D021T01P003L08_D_13,390,12,153,314
D021T01P003L08_D_14,277,9,183,315
D021T01P003L08_D_15,356,13,115,331
D021T01P003L08_D_16,334,1,223,154
D021T01P003L08_D_17,302,61,69,437
D021T01P003L08_D_18,411,16,127,295
D021T01P003L08_D_19,342,8,136,326
D021T01P003L08_D_20,325,14,79,356
D021T01P003L08_D_21,266,13,123,317
D021T01P003L08_D_22,281,19,112,336
D021T01P003L08_D_23,50,1,218,113
D021T01P003L08_D_24,337,15,122,299
D021T01P003L08_E_01,161,3,193,329
D021T01P003L08_E_02,98,0,279,268
D021T01P003L08_E_03,310,4,145,331
D021T01P003L08_E_04,293,2,255,236
D021T01P003L08_E_05,290,12,149,292
D021T01P003L08_E_06,323,30,71,379
D021T01P003L08_E_07,353,4,152,330
D021T01P003L08_E_08,281,3,170,236
D021T01P003L08_E_09,310,7,150,350
D021T01P003L08_E_10,322,10,138,331
D021T01P003L08_E_11,321,24,82,356
D021T01P003L08_E_12,56,1,161,120
D021T01P003L08_E_13,343,13,116,349
D021T01P003L08_E_14,272,10,139,280
D021T01P003L08_E_15,369,52,181,276
