,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D018T01P003L08_A_01,148,12,9,74
D018T01P003L08_A_02,194,46,9,102
D018T01P003L08_A_03,123,19,50,272
D018T01P003L08_A_04,174,30,4,60
D018T01P003L08_A_05,158,21,22,152
D018T01P003L08_A_06,169,19,22,56
D018T01P003L08_A_07,202,39,5,67
D018T01P003L08_A_08,139,57,4,79
D018T01P003L08_A_09,85,7,6,60
D018T01P003L08_A_10,163,82,3,68
D018T01P003L08_A_11,130,82,8,80
D018T01P003L08_A_12,127,12,23,153
D018T01P003L08_A_13,152,55,10,86
D018T01P003L08_A_14,108,13,46,78
D018T01P003L08_A_15,112,13,62,179
D018T01P003L08_A_16,124,116,12,205
D018T01P003L08_A_17,157,60,10,87
D018T01P003L08_A_18,193,57,6,120
D018T01P003L08_A_19,133,31,15,121
D018T01P003L08_A_20,180,53,10,88
D018T01P003L08_A_21,159,140,5,615
D018T01P003L08_A_22,186,47,11,80
D018T01P003L08_A_23,175,57,3,81
D018T01P003L08_A_24,122,158,5,603
D018T01P003L08_B_01,141,74,6,76
D018T01P003L08_B_02,124,5,6,78
D018T01P003L08_B_03,149,43,11,64
D018T01P003L08_B_04,178,33,8,61
D018T01P003L08_B_05,118,8,88,149
D018T01P003L08_B_06,155,68,6,67
D018T01P003L08_B_07,138,57,2,59
D018T01P003L08_B_08,162,39,5,57
D018T01P003L08_B_09,175,23,8,62
D018T01P003L08_B_10,192,49,3,68
D018T01P003L08_B_11,151,64,4,73
D018T01P003L08_B_12,175,52,4,54
D018T01P003L08_B_13,196,47,9,64
D018T01P003L08_B_14,170,47,8,73
D018T01P003L08_B_15,156,66,4,68
D018T01P003L08_B_16,184,42,7,103
D018T01P003L08_B_17,160,60,4,107
D018T01P003L08_B_18,175,56,7,94
D018T01P003L08_B_19,80,5,58,93
D018T01P003L08_B_20,121,80,7,283
D018T01P003L08_B_21,120,107,4,279
D018T01P003L08_B_22,157,24,12,120
D018T01P003L08_B_23,143,64,7,120
D018T01P003L08_B_24,184,44,7,60
D018T01P003L08_C_01,172,35,9,81
D018T01P003L08_C_02,197,18,31,150
D018T01P003L08_C_03,156,68,5,96
D018T01P003L08_C_04,172,46,8,78
D018T01P003L08_C_05,177,39,9,58
D018T01P003L08_C_06,178,47,8,56
D018T01P003L08_C_07,150,63,4,217
D018T01P003L08_C_08,168,59,12,68
