,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001B04P012L05_A_01,180,61,120,147
M001B04P012L05_A_02,156,59,131,215
M001B04P012L05_A_03,163,42,99,135
M001B04P012L05_A_04,163,42,125,173
M001B04P012L05_A_05,154,54,104,185
M001B04P012L05_A_06,184,46,140,191
M001B04P012L05_A_07,170,37,130,207
M001B04P012L05_A_08,161,52,99,161
M001B04P012L05_A_09,166,51,107,172
M001B04P012L05_A_10,179,42,100,168
M001B04P012L05_A_11,177,33,114,154
M001B04P012L05_A_12,174,53,136,161
M001B04P012L05_A_13,145,81,89,153
M001B04P012L05_A_14,178,42,132,179
M001B04P012L05_A_15,161,51,97,185
M001B04P012L05_A_16,189,48,112,200
M001B04P012L05_A_17,168,50,135,160
M001B04P012L05_A_18,204,53,153,202
M001B04P012L05_A_19,135,56,111,151
M001B04P012L05_A_20,182,39,133,173
M001B04P012L05_A_21,192,31,131,170
M001B04P012L05_A_22,161,46,94,163
M001B04P012L05_A_23,157,49,76,175
M001B04P012L05_A_24,10,0,41,14
M001B04P012L05_B_01,151,55,90,150
M001B04P012L05_B_02,207,46,128,188
M001B04P012L05_B_03,146,50,109,182
M001B04P012L05_B_04,157,49,152,166
M001B04P012L05_B_05,150,48,108,142
M001B04P012L05_B_06,150,48,100,145
M001B04P012L05_B_07,150,47,134,207
M001B04P012L05_B_08,162,60,138,249
M001B04P012L05_B_09,188,37,139,149
M001B04P012L05_B_10,176,42,125,181
M001B04P012L05_B_11,190,52,133,207
M001B04P012L05_B_12,178,74,162,249
M001B04P012L05_B_13,172,48,124,203
M001B04P012L05_B_14,193,35,148,177
M001B04P012L05_B_15,177,61,168,243
M001B04P012L05_B_16,153,50,138,185
M001B04P012L05_B_17,197,39,157,213
M001B04P012L05_B_18,170,32,129,141
M001B04P012L05_B_19,137,34,130,199
M001B04P012L05_B_20,172,52,168,218
M001B04P012L05_B_21,180,42,107,213
M001B04P012L05_B_22,158,50,108,157
M001B04P012L05_B_23,156,50,108,145
M001B04P012L05_B_24,147,40,160,99
M001B04P012L05_C_01,153,37,119,154
M001B04P012L05_C_02,186,46,119,155
M001B04P012L05_C_03,98,34,59,81
M001B04P012L05_C_04,172,34,141,148
M001B04P012L05_C_05,161,35,109,171
M001B04P012L05_C_06,158,61,125,200
M001B04P012L05_C_07,150,55,86,188
M001B04P012L05_C_08,181,35,133,176
M001B04P012L05_C_09,116,43,122,161
M001B04P012L05_C_10,150,55,131,181
M001B04P012L05_C_11,191,38,140,158
M001B04P012L05_C_12,164,37,128,174
M001B04P012L05_C_13,183,47,106,167
M001B04P012L05_C_14,178,60,172,221
M001B04P012L05_C_15,168,49,129,202
