,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D027T01P907L08_A_01,86,67,13,165
D027T01P907L08_A_02,161,32,10,160
D027T01P907L08_A_03,148,41,8,166
D027T01P907L08_A_04,161,28,22,185
D027T01P907L08_A_05,128,48,18,151
D027T01P907L08_A_06,110,54,19,236
D027T01P907L08_A_07,145,22,16,162
D027T01P907L08_A_08,207,27,26,192
D027T01P907L08_A_09,149,17,20,78
D027T01P907L08_A_10,167,32,16,150
D027T01P907L08_A_11,182,33,14,173
D027T01P907L08_A_12,101,91,19,148
D027T01P907L08_A_13,186,19,18,167
D027T01P907L08_A_14,81,73,12,264
D027T01P907L08_A_15,79,70,24,163
D027T01P907L08_A_16,109,102,10,117
D027T01P907L08_A_17,165,23,12,128
D027T01P907L08_A_18,169,38,15,141
D027T01P907L08_A_19,76,92,16,159
D027T01P907L08_A_20,172,32,14,222
D027T01P907L08_A_21,158,24,15,151
D027T01P907L08_A_22,194,22,19,157
D027T01P907L08_A_23,179,32,14,146
D027T01P907L08_A_24,164,31,16,164
D027T01P907L08_B_01,138,60,9,124
D027T01P907L08_B_02,62,52,16,258
D027T01P907L08_B_03,181,10,22,169
D027T01P907L08_B_04,169,15,21,148
D027T01P907L08_B_05,143,58,24,297
D027T01P907L08_B_06,181,16,17,173
D027T01P907L08_B_07,178,39,9,206
D027T01P907L08_B_08,187,23,17,155
D027T01P907L08_B_09,189,22,13,205
D027T01P907L08_B_10,196,23,10,130
D027T01P907L08_B_11,178,18,21,116
D027T01P907L08_B_12,182,25,9,146
D027T01P907L08_B_13,184,11,13,134
D027T01P907L08_B_14,183,21,12,111
D027T01P907L08_B_15,158,25,24,199
D027T01P907L08_B_16,136,56,17,271
D027T01P907L08_B_17,182,22,20,154
D027T01P907L08_B_18,190,18,15,148
D027T01P907L08_B_19,105,90,15,229
D027T01P907L08_B_20,84,93,3,156
D027T01P907L08_B_21,102,80,12,119
D027T01P907L08_B_22,143,65,24,247
D027T01P907L08_B_23,175,27,18,162
D027T01P907L08_B_24,179,32,17,164
D027T01P907L08_C_01,83,86,9,96
D027T01P907L08_C_02,158,23,32,218
D027T01P907L08_C_03,214,16,17,133
D027T01P907L08_C_04,172,21,18,131
D027T01P907L08_C_05,159,32,16,197
D027T01P907L08_C_06,203,20,24,151
D027T01P907L08_C_07,189,16,14,130
D027T01P907L08_C_08,198,15,24,152
