,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D004T01P007L02_A_01,206,7,20,80
D004T01P007L02_A_02,209,10,16,94
D004T01P007L02_A_03,132,39,45,254
D004T01P007L02_A_04,188,6,22,106
D004T01P007L02_A_05,223,5,29,108
D004T01P007L02_A_06,204,7,25,92
D004T01P007L02_A_07,207,12,31,77
D004T01P007L02_A_08,166,18,49,213
D004T01P007L02_A_09,220,8,28,141
D004T01P007L02_A_10,227,7,25,131
D004T01P007L02_A_11,206,2,15,88
D004T01P007L02_A_12,144,26,66,409
D004T01P007L02_A_13,212,10,29,107
D004T01P007L02_A_14,206,5,22,93
D004T01P007L02_A_15,200,10,23,163
D004T01P007L02_A_16,203,15,18,98
D004T01P007L02_A_17,70,49,54,214
D004T01P007L02_A_18,174,24,17,96
D004T01P007L02_A_19,188,12,17,101
D004T01P007L02_A_20,226,14,22,119
D004T01P007L02_A_21,184,22,14,110
D004T01P007L02_A_22,182,6,12,88
D004T01P007L02_A_23,168,30,9,93
D004T01P007L02_A_24,156,30,25,87
D004T01P007L02_B_01,192,14,31,117
D004T01P007L02_B_02,191,13,18,101
D004T01P007L02_B_03,120,44,42,196
D004T01P007L02_B_04,187,8,22,119
D004T01P007L02_B_05,184,15,26,187
D004T01P007L02_B_06,101,25,74,317
D004T01P007L02_B_07,45,15,48,177
D004T01P007L02_B_08,195,5,20,133
D004T01P007L02_B_09,183,13,24,109
D004T01P007L02_B_10,184,2,23,109
D004T01P007L02_B_11,180,3,21,107
D004T01P007L02_B_12,197,13,18,101
D004T01P007L02_B_13,209,12,27,98
D004T01P007L02_B_14,207,8,29,144
D004T01P007L02_B_15,68,41,65,185
D004T01P007L02_B_16,201,12,13,94
D004T01P007L02_B_17,91,49,67,238
D004T01P007L02_B_18,183,7,17,90
D004T01P007L02_B_19,166,19,35,331
D004T01P007L02_B_20,197,11,19,89
D004T01P007L02_B_21,193,11,12,106
D004T01P007L02_B_22,158,34,18,88
D004T01P007L02_B_23,162,28,15,103
D004T01P007L02_B_24,183,27,10,103
D004T01P007L02_C_01,234,10,17,143
D004T01P007L02_C_02,242,12,26,189
D004T01P007L02_C_03,175,33,22,109
D004T01P007L02_C_04,202,4,24,92
D004T01P007L02_C_05,209,8,26,94
D004T01P007L02_C_06,208,7,19,104
D004T01P007L02_C_07,202,15,16,119
D004T01P007L02_C_08,242,2,15,97
D004T01P007L02_C_09,61,28,61,137
D004T01P007L02_C_10,212,5,23,95
D004T01P007L02_C_11,209,1,21,98
D004T01P007L02_C_12,223,2,29,94
D004T01P007L02_C_13,173,15,35,140
D004T01P007L02_C_14,215,5,11,98
D004T01P007L02_C_15,152,29,11,109
D004T01P007L02_C_16,212,3,21,101
D004T01P007L02_C_17,212,11,30,100
D004T01P007L02_C_18,90,41,32,160
D004T01P007L02_C_19,193,6,21,93
D004T01P007L02_C_20,164,19,21,97
D004T01P007L02_C_21,60,51,38,125
D004T01P007L02_C_22,167,22,9,81
D004T01P007L02_C_23,167,29,18,114
D004T01P007L02_C_24,211,16,8,74
D004T01P007L02_D_01,204,12,16,165
D004T01P007L02_D_02,188,11,22,92
D004T01P007L02_D_03,188,24,28,117
D004T01P007L02_D_04,210,3,24,117
D004T01P007L02_D_05,166,15,29,117
D004T01P007L02_D_06,204,6,17,109
D004T01P007L02_D_07,119,25,48,266
D004T01P007L02_D_08,198,5,35,131
D004T01P007L02_D_09,68,44,38,109
D004T01P007L02_D_10,158,22,28,100
D004T01P007L02_D_11,180,9,14,122
D004T01P007L02_D_12,205,7,25,82
D004T01P007L02_D_13,189,7,19,105
D004T01P007L02_D_14,203,5,18,95
D004T01P007L02_D_15,93,52,33,104
D004T01P007L02_D_16,175,5,14,99
D004T01P007L02_D_17,187,4,25,110
D004T01P007L02_D_18,195,6,19,80
D004T01P007L02_D_19,80,53,8,61
D004T01P007L02_D_20,204,5,24,93
D004T01P007L02_D_21,186,8,24,71
D004T01P007L02_D_22,187,8,12,79
D004T01P007L02_D_23,172,22,24,86
D004T01P007L02_D_24,168,22,17,97
D004T01P007L02_E_01,221,14,29,124
D004T01P007L02_E_02,215,7,33,104
D004T01P007L02_E_03,122,45,35,191
D004T01P007L02_E_04,198,8,20,71
D004T01P007L02_E_05,106,62,14,106
D004T01P007L02_E_06,211,1,24,86
D004T01P007L02_E_07,171,13,52,230
D004T01P007L02_E_08,208,9,23,99
D004T01P007L02_E_09,179,2,16,95
D004T01P007L02_E_10,215,13,30,118
D004T01P007L02_E_11,53,27,54,218
D004T01P007L02_E_12,183,6,24,103
D004T01P007L02_E_13,157,22,20,152
D004T01P007L02_E_14,203,10,22,98
D004T01P007L02_E_15,184,10,32,84
D004T01P007L02_E_16,195,7,17,100
D004T01P007L02_E_17,217,5,31,99
D004T01P007L02_E_18,132,20,39,194
D004T01P007L02_E_19,190,9,18,105
D004T01P007L02_E_20,182,9,24,205
D004T01P007L02_E_21,48,27,23,96
D004T01P007L02_E_22,174,21,15,75
D004T01P007L02_E_23,186,18,13,92
D004T01P007L02_E_24,155,29,15,99
D004T01P007L02_F_01,42,27,57,161
D004T01P007L02_F_02,179,7,23,95
D004T01P007L02_F_03,173,13,17,97
D004T01P007L02_F_04,193,2,18,96
D004T01P007L02_F_05,161,2,25,112
D004T01P007L02_F_06,165,10,20,100
D004T01P007L02_F_07,183,11,32,120
D004T01P007L02_F_08,198,13,27,98
D004T01P007L02_F_09,182,10,25,97
D004T01P007L02_F_10,101,53,17,93
D004T01P007L02_F_11,103,48,16,70
D004T01P007L02_F_12,179,8,27,98
D004T01P007L02_F_13,192,20,16,85
D004T01P007L02_F_14,162,19,10,92
D004T01P007L02_F_15,72,29,46,194
D004T01P007L02_F_16,178,21,20,102
D004T01P007L02_F_17,35,28,15,43
D004T01P007L02_F_18,180,11,20,108
D004T01P007L02_F_19,143,23,18,70
D004T01P007L02_F_20,166,27,15,91
D004T01P007L02_F_21,173,8,21,82
D004T01P007L02_F_22,157,21,10,111
D004T01P007L02_F_23,156,21,19,91
D004T01P007L02_F_24,172,24,25,84
D004T01P007L02_G_01,77,69,38,108
D004T01P007L02_G_02,226,6,33,145
D004T01P007L02_G_03,182,7,21,107
D004T01P007L02_G_04,204,5,17,101
D004T01P007L02_G_05,223,4,26,130
D004T01P007L02_G_06,200,5,22,107
D004T01P007L02_G_07,222,3,18,110
D004T01P007L02_G_08,217,4,22,90
D004T01P007L02_G_09,109,44,28,97
D004T01P007L02_G_10,77,48,55,207
D004T01P007L02_G_11,109,42,13,90
D004T01P007L02_G_12,163,18,25,100
D004T01P007L02_G_13,176,6,27,80
D004T01P007L02_G_14,174,22,14,115
D004T01P007L02_G_15,101,32,22,76
D004T01P007L02_G_16,174,15,17,89
D004T01P007L02_G_17,67,37,57,183
D004T01P007L02_G_18,174,3,17,91
D004T01P007L02_G_19,145,16,15,85
D004T01P007L02_G_20,155,9,22,83
D004T01P007L02_G_21,172,6,14,91
D004T01P007L02_G_22,35,24,8,72
D004T01P007L02_G_23,204,6,16,88
D004T01P007L02_G_24,203,14,17,96
D004T01P007L02_H_01,119,35,22,204
D004T01P007L02_H_02,63,8,32,79
D004T01P007L02_H_03,187,14,29,130
D004T01P007L02_H_04,182,16,27,121
D004T01P007L02_H_05,178,3,22,121
D004T01P007L02_H_06,180,4,23,113
D004T01P007L02_H_07,149,17,17,89
D004T01P007L02_H_08,191,4,16,81
D004T01P007L02_H_09,174,18,28,105
D004T01P007L02_H_10,190,9,26,121
D004T01P007L02_H_11,195,5,32,107
D004T01P007L02_H_12,175,7,12,87
D004T01P007L02_H_13,193,5,38,100
D004T01P007L02_H_14,87,42,15,103
D004T01P007L02_H_15,106,43,31,177
D004T01P007L02_H_16,192,5,15,99
D004T01P007L02_H_17,191,5,19,102
D004T01P007L02_H_18,178,3,22,71
D004T01P007L02_H_19,170,8,16,89
D004T01P007L02_H_20,186,8,18,72
D004T01P007L02_H_21,48,40,30,122
D004T01P007L02_H_22,177,11,10,78
D004T01P007L02_H_23,184,16,28,115
D004T01P007L02_H_24,189,25,15,117
D004T01P007L02_I_01,195,21,15,111
D004T01P007L02_I_02,215,6,22,113
D004T01P007L02_I_03,182,18,17,74
D004T01P007L02_I_04,212,5,26,114
D004T01P007L02_I_05,76,28,79,198
D004T01P007L02_I_06,214,6,22,129
D004T01P007L02_I_07,175,50,24,144
D004T01P007L02_I_08,198,4,16,87
D004T01P007L02_I_09,207,9,26,136
D004T01P007L02_I_10,185,12,17,122
D004T01P007L02_I_11,185,5,16,90
D004T01P007L02_I_12,160,18,22,110
D004T01P007L02_I_13,164,10,9,96
D004T01P007L02_I_14,136,24,22,186
D004T01P007L02_I_15,188,4,18,104
D004T01P007L02_I_16,189,5,21,121
D004T01P007L02_I_17,151,24,29,182
D004T01P007L02_I_18,129,34,41,240
D004T01P007L02_I_19,142,26,43,193
D004T01P007L02_I_20,184,7,18,89
D004T01P007L02_I_21,168,26,27,115
D004T01P007L02_I_22,103,47,30,170
D004T01P007L02_I_23,174,20,13,86
D004T01P007L02_I_24,149,26,15,75
D004T01P007L02_J_01,147,23,20,91
D004T01P007L02_J_02,172,6,28,92
D004T01P007L02_J_03,61,35,62,220
D004T01P007L02_J_04,155,4,24,114
D004T01P007L02_J_05,172,7,17,94
D004T01P007L02_J_06,175,2,24,125
D004T01P007L02_J_07,101,39,31,117
D004T01P007L02_J_08,184,4,16,109
D004T01P007L02_J_09,70,27,56,180
D004T01P007L02_J_10,180,10,16,101
D004T01P007L02_J_11,72,28,48,196
D004T01P007L02_J_12,176,7,21,81
D004T01P007L02_J_13,188,5,23,101
D004T01P007L02_J_14,192,4,22,94
D004T01P007L02_J_15,150,16,30,197
D004T01P007L02_J_16,195,8,14,102
D004T01P007L02_J_17,171,13,26,99
D004T01P007L02_J_18,178,9,13,83
D004T01P007L02_J_19,182,10,16,97
D004T01P007L02_J_20,198,6,18,99
D004T01P007L02_J_21,176,10,16,100
D004T01P007L02_J_22,163,25,17,80
D004T01P007L02_J_23,209,10,21,84
D004T01P007L02_J_24,160,17,13,98
D004T01P007L02_K_01,228,5,22,112
D004T01P007L02_K_02,99,40,88,330
D004T01P007L02_K_03,225,5,29,89
D004T01P007L02_K_04,212,2,27,122
D004T01P007L02_K_05,204,8,17,85
D004T01P007L02_K_06,182,26,52,255
D004T01P007L02_K_07,233,1,13,114
D004T01P007L02_K_08,196,8,18,115
D004T01P007L02_K_09,213,7,23,100
D004T01P007L02_K_10,177,8,25,138
D004T01P007L02_K_11,171,18,14,89
D004T01P007L02_K_12,197,3,27,106
D004T01P007L02_K_13,184,7,16,94
