,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001K02P003L02_A_01,154,24,42,95
M001K02P003L02_A_02,144,40,17,107
M001K02P003L02_A_03,96,31,14,47
M001K02P003L02_A_04,146,23,20,78
M001K02P003L02_A_05,127,24,21,99
M001K02P003L02_A_06,151,27,18,44
M001K02P003L02_A_07,129,18,12,59
M001K02P003L02_A_08,99,25,14,64
M001K02P003L02_A_09,170,14,18,67
M001K02P003L02_A_10,157,18,23,38
M001K02P003L02_A_11,157,14,19,71
M001K02P003L02_A_12,124,30,5,43
M001K02P003L02_A_13,124,23,24,46
M001K02P003L02_A_14,114,26,28,42
M001K02P003L02_A_15,118,15,23,48
M001K02P003L02_A_16,169,8,22,40
M001K02P003L02_A_17,133,19,43,74
M001K02P003L02_A_18,165,19,36,80
M001K02P003L02_A_19,176,17,17,52
M001K02P003L02_A_20,165,14,11,58
M001K02P003L02_A_21,150,22,17,61
M001K02P003L02_A_22,143,24,8,55
M001K02P003L02_A_23,167,6,13,47
M001K02P003L02_A_24,152,16,20,46
M001K02P003L02_B_01,125,31,17,53
M001K02P003L02_B_02,136,14,29,60
M001K02P003L02_B_03,134,34,21,40
M001K02P003L02_B_04,124,24,4,32
M001K02P003L02_B_05,116,26,12,52
M001K02P003L02_B_06,82,17,28,20
M001K02P003L02_B_07,62,16,19,32
M001K02P003L02_B_08,111,27,7,48
M001K02P003L02_B_09,106,18,30,82
M001K02P003L02_B_10,133,16,13,59
M001K02P003L02_B_11,130,14,11,54
M001K02P003L02_B_12,115,17,10,42
M001K02P003L02_B_13,157,11,14,44
M001K02P003L02_B_14,129,22,15,56
M001K02P003L02_B_15,95,10,34,16
M001K02P003L02_B_16,142,24,17,54
M001K02P003L02_B_17,111,28,22,47
M001K02P003L02_B_18,166,8,27,36
M001K02P003L02_B_19,83,30,21,72
M001K02P003L02_B_20,151,15,16,46
M001K02P003L02_B_21,144,14,9,47
M001K02P003L02_B_22,132,28,10,44
M001K02P003L02_B_23,139,25,10,51
M001K02P003L02_B_24,157,9,16,59
M001K02P003L02_C_01,173,12,25,54
M001K02P003L02_C_02,180,21,9,53
M001K02P003L02_C_03,127,14,35,71
M001K02P003L02_C_04,143,27,15,74
M001K02P003L02_C_05,193,18,15,47
M001K02P003L02_C_06,134,31,12,37
M001K02P003L02_C_07,154,23,17,57
M001K02P003L02_C_08,149,21,24,54
M001K02P003L02_C_09,138,27,20,41
M001K02P003L02_C_10,165,21,14,66
M001K02P003L02_C_11,156,16,20,43
M001K02P003L02_C_12,152,14,21,61
M001K02P003L02_C_13,184,7,25,49
M001K02P003L02_C_14,186,13,17,60
M001K02P003L02_C_15,153,11,20,50
M001K02P003L02_C_16,184,3,27,47
M001K02P003L02_C_17,152,25,18,58
M001K02P003L02_C_18,161,15,20,59
M001K02P003L02_C_19,149,16,12,54
M001K02P003L02_C_20,164,14,26,47
M001K02P003L02_C_21,134,25,13,63
M001K02P003L02_C_22,176,24,8,67
M001K02P003L02_C_23,168,17,69,131
M001K02P003L02_C_24,157,20,11,52
M001K02P003L02_D_01,93,26,26,94
M001K02P003L02_D_02,155,11,16,45
M001K02P003L02_D_03,153,11,26,47
M001K02P003L02_D_04,171,22,34,122
M001K02P003L02_D_05,170,20,26,61
M001K02P003L02_D_06,148,32,18,42
M001K02P003L02_D_07,139,24,30,53
M001K02P003L02_D_08,171,14,17,66
M001K02P003L02_D_09,83,29,38,63
M001K02P003L02_D_10,153,6,11,56
M001K02P003L02_D_11,161,17,19,47
M001K02P003L02_D_12,109,27,9,39
M001K02P003L02_D_13,173,18,17,42
M001K02P003L02_D_14,152,19,15,52
M001K02P003L02_D_15,120,23,27,61
M001K02P003L02_D_16,156,14,13,57
M001K02P003L02_D_17,149,22,16,57
M001K02P003L02_D_18,172,8,55,108
M001K02P003L02_D_19,75,44,28,56
M001K02P003L02_D_20,155,12,22,85
M001K02P003L02_D_21,165,20,10,48
M001K02P003L02_D_22,150,17,20,58
M001K02P003L02_D_23,167,10,13,56
M001K02P003L02_D_24,139,18,26,69
M001K02P003L02_E_01,119,23,11,51
M001K02P003L02_E_02,182,13,22,110
M001K02P003L02_E_03,124,12,33,37
M001K02P003L02_E_04,136,27,15,48
M001K02P003L02_E_05,93,24,125,124
M001K02P003L02_E_06,194,13,31,48
M001K02P003L02_E_07,124,37,10,52
M001K02P003L02_E_08,178,8,19,38
M001K02P003L02_E_09,168,12,12,71
M001K02P003L02_E_10,177,20,11,47
M001K02P003L02_E_11,97,36,22,32
M001K02P003L02_E_12,157,23,26,52
M001K02P003L02_E_13,143,30,18,53
M001K02P003L02_E_14,155,19,30,94
M001K02P003L02_E_15,171,21,15,69
M001K02P003L02_E_16,179,18,21,63
M001K02P003L02_E_17,155,17,15,56
M001K02P003L02_E_18,175,8,21,44
M001K02P003L02_E_19,123,23,21,52
M001K02P003L02_E_20,136,18,30,79
M001K02P003L02_E_21,73,19,26,32
M001K02P003L02_E_22,165,20,18,62
M001K02P003L02_E_23,167,15,17,41
M001K02P003L02_E_24,161,39,13,61
M001K02P003L02_F_01,138,14,21,49
M001K02P003L02_F_02,147,24,11,54
M001K02P003L02_F_03,152,19,12,60
M001K02P003L02_F_04,117,37,17,43
M001K02P003L02_F_05,156,16,18,41
M001K02P003L02_F_06,169,7,20,47
M001K02P003L02_F_07,101,44,16,39
M001K02P003L02_F_08,149,15,17,35
M001K02P003L02_F_09,166,11,16,45
M001K02P003L02_F_10,83,27,21,44
M001K02P003L02_F_11,133,20,12,61
M001K02P003L02_F_12,139,9,20,83
M001K02P003L02_F_13,117,34,11,61
M001K02P003L02_F_14,166,19,12,40
M001K02P003L02_F_15,115,33,29,35
M001K02P003L02_F_16,171,23,19,108
M001K02P003L02_F_17,159,12,10,56
M001K02P003L02_F_18,156,17,17,57
M001K02P003L02_F_19,170,18,16,56
M001K02P003L02_F_20,116,30,16,81
M001K02P003L02_F_21,178,16,19,49
M001K02P003L02_F_22,194,7,22,45
M001K02P003L02_F_23,162,28,14,62
M001K02P003L02_F_24,123,24,10,65
M001K02P003L02_G_01,128,46,13,27
M001K02P003L02_G_02,179,12,11,64
M001K02P003L02_G_03,136,26,21,294
M001K02P003L02_G_04,169,30,17,96
M001K02P003L02_G_05,183,8,21,45
M001K02P003L02_G_06,152,18,18,59
M001K02P003L02_G_07,184,8,50,193
M001K02P003L02_G_08,183,10,14,45
M001K02P003L02_G_09,105,26,21,51
M001K02P003L02_G_10,117,26,11,67
M001K02P003L02_G_11,96,15,31,40
M001K02P003L02_G_12,149,15,7,45
M001K02P003L02_G_13,171,14,20,57
M001K02P003L02_G_14,157,10,15,43
M001K02P003L02_G_15,144,37,27,54
M001K02P003L02_G_16,165,20,12,52
M001K02P003L02_G_17,40,24,146,144
M001K02P003L02_G_18,185,14,170,248
M001K02P003L02_G_19,183,12,15,59
M001K02P003L02_G_20,150,23,24,57
