,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001A03P013L06_A_01,141,41,88,154
M001A03P013L06_A_02,162,43,115,146
M001A03P013L06_A_03,163,22,113,130
M001A03P013L06_A_04,142,36,97,163
M001A03P013L06_A_05,128,1,183,0
M001A03P013L06_A_06,177,27,100,134
M001A03P013L06_A_07,181,43,147,231
M001A03P013L06_A_08,191,21,151,159
M001A03P013L06_A_09,194,49,149,199
M001A03P013L06_A_10,171,33,98,137
M001A03P013L06_A_11,153,46,79,99
M001A03P013L06_A_12,153,24,85,97
M001A03P013L06_A_13,151,33,117,136
M001A03P013L06_A_14,182,26,173,190
M001A03P013L06_A_15,172,25,119,123
M001A03P013L06_A_16,177,25,139,153
M001A03P013L06_A_17,184,27,166,117
M001A03P013L06_A_18,158,24,97,132
M001A03P013L06_A_19,141,29,123,102
M001A03P013L06_A_20,178,34,107,176
M001A03P013L06_A_21,163,23,120,164
M001A03P013L06_A_22,166,32,112,155
M001A03P013L06_A_23,157,53,84,201
M001A03P013L06_A_24,182,36,99,137
M001A03P013L06_B_01,131,45,84,125
M001A03P013L06_B_02,172,18,110,126
M001A03P013L06_B_03,165,35,97,139
M001A03P013L06_B_04,165,20,94,87
M001A03P013L06_B_05,79,31,253,82
M001A03P013L06_B_06,167,25,86,159
M001A03P013L06_B_07,93,25,219,156
M001A03P013L06_B_08,158,45,138,195
M001A03P013L06_B_09,155,35,142,209
M001A03P013L06_B_10,176,24,121,134
M001A03P013L06_B_11,164,31,104,122
M001A03P013L06_B_12,176,26,107,172
M001A03P013L06_B_13,184,18,129,160
M001A03P013L06_B_14,162,26,115,153
M001A03P013L06_B_15,182,17,138,133
M001A03P013L06_B_16,153,26,110,155
M001A03P013L06_B_17,171,26,138,121
M001A03P013L06_B_18,140,34,101,149
M001A03P013L06_B_19,178,27,135,132
M001A03P013L06_B_20,166,27,121,147
M001A03P013L06_B_21,160,26,97,149
M001A03P013L06_B_22,142,21,89,94
M001A03P013L06_B_23,140,62,124,107
M001A03P013L06_B_24,220,35,122,148
M001A03P013L06_C_01,176,23,127,130
M001A03P013L06_C_02,170,35,152,176
M001A03P013L06_C_03,169,30,105,144
M001A03P013L06_C_04,135,41,105,139
M001A03P013L06_C_05,152,14,88,104
M001A03P013L06_C_06,177,36,157,185
M001A03P013L06_C_07,179,25,139,141
M001A03P013L06_C_08,152,26,125,130
M001A03P013L06_C_09,162,37,106,159
M001A03P013L06_C_10,169,38,139,168
M001A03P013L06_C_11,178,26,118,177
M001A03P013L06_C_12,182,32,139,148
M001A03P013L06_C_13,163,26,100,121
M001A03P013L06_C_14,167,26,125,134
M001A03P013L06_C_15,186,31,133,207
M001A03P013L06_C_16,153,28,141,193
M001A03P013L06_C_17,161,40,113,156
M001A03P013L06_C_18,186,32,146,205
M001A03P013L06_C_19,164,51,174,224
M001A03P013L06_C_20,157,27,121,128
M001A03P013L06_C_21,162,29,127,127
M001A03P013L06_C_22,167,23,153,176
M001A03P013L06_C_23,163,77,178,293
M001A03P013L06_C_24,120,41,74,152
M001A03P013L06_D_01,162,43,105,155
M001A03P013L06_D_02,162,36,119,131
M001A03P013L06_D_03,174,33,127,150
M001A03P013L06_D_04,182,37,143,249
M001A03P013L06_D_05,57,12,250,51
M001A03P013L06_D_06,162,27,113,173
M001A03P013L06_D_07,196,33,182,164
M001A03P013L06_D_08,171,23,133,127
M001A03P013L06_D_09,188,56,215,289
M001A03P013L06_D_10,159,54,133,187
M001A03P013L06_D_11,176,37,122,161
M001A03P013L06_D_12,192,21,128,157
M001A03P013L06_D_13,156,51,145,170
M001A03P013L06_D_14,183,21,202,244
M001A03P013L06_D_15,199,29,136,138
M001A03P013L06_D_16,156,53,107,118
M001A03P013L06_D_17,189,42,152,240
M001A03P013L06_D_18,178,42,109,148
M001A03P013L06_D_19,164,34,118,187
M001A03P013L06_D_20,189,33,175,214
M001A03P013L06_D_21,185,18,144,190
M001A03P013L06_D_22,165,27,106,147
M001A03P013L06_D_23,159,45,151,172
M001A03P013L06_D_24,62,39,94,111
M001A03P013L06_E_01,152,53,104,181
M001A03P013L06_E_02,175,48,121,196
M001A03P013L06_E_03,139,31,132,104
M001A03P013L06_E_04,168,35,117,153
M001A03P013L06_E_05,126,38,180,156
M001A03P013L06_E_06,179,32,144,171
M001A03P013L06_E_07,175,40,109,185
M001A03P013L06_E_08,169,35,142,150
M001A03P013L06_E_09,190,32,157,187
