,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001W01P005L04_A_01,23,5,17,87
M001W01P005L04_A_02,17,0,12,27
M001W01P005L04_A_03,9,0,5,18
M001W01P005L04_A_04,22,0,7,11
M001W01P005L04_A_05,59,7,9,35
M001W01P005L04_A_06,36,4,10,11
M001W01P005L04_A_07,38,12,12,11
M001W01P005L04_A_08,32,8,8,14
M001W01P005L04_A_09,48,15,17,65
M001W01P005L04_A_10,33,15,6,18
M001W01P005L04_A_11,11,1,16,37
M001W01P005L04_A_12,38,8,16,27
M001W01P005L04_A_13,8,18,7,64
M001W01P005L04_A_14,10,12,6,36
M001W01P005L04_A_15,47,5,12,25
M001W01P005L04_A_16,25,10,5,6
M001W01P005L04_A_17,10,14,3,18
M001W01P005L04_A_18,12,15,13,36
M001W01P005L04_A_19,40,10,17,16
M001W01P005L04_A_20,26,17,3,18
M001W01P005L04_A_21,21,18,5,14
M001W01P005L04_A_22,14,9,7,14
M001W01P005L04_A_23,23,8,7,22
M001W01P005L04_A_24,7,16,8,35
M001W01P005L04_B_01,22,5,4,7
M001W01P005L04_B_02,19,12,2,16
M001W01P005L04_B_03,26,15,9,62
M001W01P005L04_B_04,18,15,3,24
M001W01P005L04_B_05,20,13,2,11
M001W01P005L04_B_06,20,9,5,20
M001W01P005L04_B_07,28,8,14,34
M001W01P005L04_B_08,54,5,12,27
M001W01P005L04_B_09,31,14,21,22
M001W01P005L04_B_10,41,15,9,18
M001W01P005L04_B_11,7,15,6,19
M001W01P005L04_B_12,9,22,2,27
M001W01P005L04_B_13,13,11,3,13
M001W01P005L04_B_14,20,14,3,10
M001W01P005L04_B_15,13,17,4,22
M001W01P005L04_B_16,8,14,2,16
M001W01P005L04_B_17,16,10,8,3
M001W01P005L04_B_18,23,24,7,17
M001W01P005L04_B_19,9,0,6,22
M001W01P005L04_B_20,10,16,2,9
M001W01P005L04_B_21,12,28,3,11
M001W01P005L04_B_22,31,19,7,35
M001W01P005L04_B_23,24,12,5,32
M001W01P005L04_B_24,16,14,6,29
M001W01P005L04_C_01,12,0,3,2
M001W01P005L04_C_02,39,13,13,16
M001W01P005L04_C_03,32,3,20,41
M001W01P005L04_C_04,27,8,5,15
M001W01P005L04_C_05,56,11,10,15
M001W01P005L04_C_06,9,15,1,13
M001W01P005L04_C_07,18,12,2,10
M001W01P005L04_C_08,21,14,8,26
M001W01P005L04_C_09,29,13,6,16
M001W01P005L04_C_10,33,18,11,42
M001W01P005L04_C_11,19,18,2,18
M001W01P005L04_C_12,24,11,3,6
M001W01P005L04_C_13,19,15,4,13
M001W01P005L04_C_14,31,14,9,13
M001W01P005L04_C_15,41,9,9,14
M001W01P005L04_C_16,22,9,2,11
M001W01P005L04_C_17,29,14,9,27
M001W01P005L04_C_18,27,17,6,13
M001W01P005L04_C_19,15,20,5,14
M001W01P005L04_C_20,16,20,2,11
M001W01P005L04_C_21,28,16,1,11
M001W01P005L04_C_22,16,13,2,6
M001W01P005L04_C_23,6,0,15,24
M001W01P005L04_C_24,12,11,5,11
M001W01P005L04_D_01,12,2,6,19
M001W01P005L04_D_02,25,20,3,9
M001W01P005L04_D_03,17,9,6,16
M001W01P005L04_D_04,15,7,3,18
M001W01P005L04_D_05,28,13,3,16
M001W01P005L04_D_06,46,14,8,5
M001W01P005L04_D_07,19,22,2,14
M001W01P005L04_D_08,21,21,6,12
M001W01P005L04_D_09,13,18,6,22
M001W01P005L04_D_10,6,8,1,6
M001W01P005L04_D_11,17,19,5,17
M001W01P005L04_D_12,22,8,4,8
M001W01P005L04_D_13,17,18,4,16
M001W01P005L04_D_14,14,16,9,22
M001W01P005L04_D_15,7,0,3,19
M001W01P005L04_D_16,12,17,2,20
M001W01P005L04_D_17,12,26,2,9
M001W01P005L04_D_18,6,19,4,22
M001W01P005L04_D_19,15,0,7,25
M001W01P005L04_D_20,12,8,1,5
M001W01P005L04_D_21,25,13,7,15
M001W01P005L04_D_22,20,18,4,41
M001W01P005L04_D_23,14,10,4,9
M001W01P005L04_D_24,7,0,8,18
M001W01P005L04_E_01,54,8,17,11
M001W01P005L04_E_02,22,10,4,19
M001W01P005L04_E_03,10,0,8,28
M001W01P005L04_E_04,58,7,20,7
M001W01P005L04_E_05,27,16,8,12
M001W01P005L04_E_06,23,12,15,26
M001W01P005L04_E_07,13,8,6,33
M001W01P005L04_E_08,31,8,7,10
M001W01P005L04_E_09,31,22,8,18
M001W01P005L04_E_10,18,18,2,15
M001W01P005L04_E_11,26,20,3,21
M001W01P005L04_E_12,13,5,4,11
M001W01P005L04_E_13,17,17,4,26
M001W01P005L04_E_14,22,25,5,11
M001W01P005L04_E_15,9,0,9,39
M001W01P005L04_E_16,22,16,4,17
M001W01P005L04_E_17,27,12,4,10
M001W01P005L04_E_18,24,12,1,10
M001W01P005L04_E_19,22,19,12,18
M001W01P005L04_E_20,12,12,10,24
M001W01P005L04_E_21,37,22,4,14
M001W01P005L04_E_22,26,14,12,10
M001W01P005L04_E_23,21,16,2,15
M001W01P005L04_E_24,8,18,2,16
M001W01P005L04_F_01,15,22,2,23
M001W01P005L04_F_02,29,25,2,14
M001W01P005L04_F_03,21,1,22,41
M001W01P005L04_F_04,7,0,4,4
M001W01P005L04_F_05,29,15,2,10
M001W01P005L04_F_06,20,13,5,8
M001W01P005L04_F_07,26,21,3,22
M001W01P005L04_F_08,11,22,3,17
M001W01P005L04_F_09,13,20,4,47
M001W01P005L04_F_10,15,18,0,16
M001W01P005L04_F_11,11,31,4,11
M001W01P005L04_F_12,16,22,4,13
M001W01P005L04_F_13,23,12,5,12
M001W01P005L04_F_14,8,9,12,55
M001W01P005L04_F_15,9,15,3,23
M001W01P005L04_F_16,11,26,4,31
M001W01P005L04_F_17,10,17,5,21
M001W01P005L04_F_18,8,27,5,32
M001W01P005L04_F_19,30,11,3,11
M001W01P005L04_F_20,13,17,1,8
M001W01P005L04_F_21,23,13,6,10
M001W01P005L04_F_22,18,17,1,2
M001W01P005L04_F_23,31,10,6,15
M001W01P005L04_F_24,16,20,4,16
M001W01P005L04_G_01,20,16,2,11
M001W01P005L04_G_02,14,18,4,27
M001W01P005L04_G_03,15,7,4,27
M001W01P005L04_G_04,43,19,11,27
M001W01P005L04_G_05,15,0,10,30
M001W01P005L04_G_06,51,5,13,10
M001W01P005L04_G_07,15,12,4,8
M001W01P005L04_G_08,35,20,4,12
M001W01P005L04_G_09,21,13,2,14
M001W01P005L04_G_10,33,24,4,19
M001W01P005L04_G_11,13,22,8,27
M001W01P005L04_G_12,30,15,7,9
M001W01P005L04_G_13,26,4,3,6
M001W01P005L04_G_14,28,17,3,11
M001W01P005L04_G_15,11,2,33,66
M001W01P005L04_G_16,25,17,4,10
M001W01P005L04_G_17,36,30,5,49
M001W01P005L04_G_18,32,20,8,15
M001W01P005L04_G_19,22,9,3,7
M001W01P005L04_G_20,14,16,1,18
M001W01P005L04_G_21,15,9,14,34
M001W01P005L04_G_22,19,16,13,20
M001W01P005L04_G_23,27,16,2,11
M001W01P005L04_G_24,10,12,1,9
M001W01P005L04_H_01,20,19,13,28
M001W01P005L04_H_02,22,17,7,17
M001W01P005L04_H_03,49,6,21,10
M001W01P005L04_H_04,40,14,3,7
M001W01P005L04_H_05,15,14,4,6
M001W01P005L04_H_06,23,16,0,7
M001W01P005L04_H_07,28,13,3,7
M001W01P005L04_H_08,11,22,4,12
M001W01P005L04_H_09,23,12,5,12
M001W01P005L04_H_10,19,24,2,17
M001W01P005L04_H_11,17,13,4,21
M001W01P005L04_H_12,21,16,3,12
M001W01P005L04_H_13,5,0,4,9
M001W01P005L04_H_14,9,16,1,13
M001W01P005L04_H_15,22,17,8,41
M001W01P005L04_H_16,24,19,7,16
M001W01P005L04_H_17,24,11,3,4
M001W01P005L04_H_18,19,23,0,9
M001W01P005L04_H_19,14,28,4,10
M001W01P005L04_H_20,27,19,6,20
M001W01P005L04_H_21,28,17,4,12
M001W01P005L04_H_22,26,20,3,10
M001W01P005L04_H_23,14,21,4,9
M001W01P005L04_H_24,14,19,5,17
M001W01P005L04_I_01,29,0,16,36
M001W01P005L04_I_02,48,11,8,23
M001W01P005L04_I_03,46,8,23,14
M001W01P005L04_I_04,66,0,25,19
M001W01P005L04_I_05,72,6,14,20
M001W01P005L04_I_06,51,7,12,12
M001W01P005L04_I_07,44,12,15,25
M001W01P005L04_I_08,32,13,11,15
M001W01P005L04_I_09,30,7,21,9
M001W01P005L04_I_10,55,10,12,22
M001W01P005L04_I_11,25,8,11,14
M001W01P005L04_I_12,67,3,12,17
M001W01P005L04_I_13,21,12,8,21
M001W01P005L04_I_14,28,14,6,14
M001W01P005L04_I_15,23,0,28,35
M001W01P005L04_I_16,44,10,5,14
M001W01P005L04_I_17,33,12,8,15
M001W01P005L04_I_18,46,7,18,8
M001W01P005L04_I_19,25,21,13,50
M001W01P005L04_I_20,29,10,10,10
