,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001B04P011L04_A_01,45,3,196,35
M001B04P011L04_A_02,163,54,101,129
M001B04P011L04_A_03,70,26,91,40
M001B04P011L04_A_04,154,32,145,204
M001B04P011L04_A_05,139,53,94,138
M001B04P011L04_A_06,163,37,133,162
M001B04P011L04_A_07,115,52,115,185
M001B04P011L04_A_08,169,46,138,158
M001B04P011L04_A_09,155,20,120,127
M001B04P011L04_A_10,167,60,142,258
M001B04P011L04_A_11,20,5,57,16
M001B04P011L04_A_12,166,37,100,146
M001B04P011L04_A_13,98,16,114,87
M001B04P011L04_A_14,155,38,60,88
M001B04P011L04_A_15,174,36,136,153
M001B04P011L04_A_16,192,66,149,282
M001B04P011L04_A_17,151,57,150,213
M001B04P011L04_A_18,117,27,121,87
M001B04P011L04_A_19,146,44,95,171
M001B04P011L04_A_20,136,50,111,192
M001B04P011L04_A_21,165,29,149,107
M001B04P011L04_A_22,150,42,90,151
M001B04P011L04_A_23,176,50,90,164
M001B04P011L04_A_24,159,41,109,142
M001B04P011L04_B_01,156,45,116,177
M001B04P011L04_B_02,142,44,85,185
M001B04P011L04_B_03,124,25,204,71
M001B04P011L04_B_04,145,53,109,189
M001B04P011L04_B_05,170,38,120,160
M001B04P011L04_B_06,212,33,127,182
M001B04P011L04_B_07,131,14,202,71
M001B04P011L04_B_08,157,55,118,197
M001B04P011L04_B_09,130,31,165,132
M001B04P011L04_B_10,161,48,113,152
M001B04P011L04_B_11,189,39,128,156
M001B04P011L04_B_12,158,44,104,178
M001B04P011L04_B_13,176,33,102,154
M001B04P011L04_B_14,215,53,159,202
M001B04P011L04_B_15,181,40,162,182
M001B04P011L04_B_16,142,29,120,180
M001B04P011L04_B_17,167,41,132,153
M001B04P011L04_B_18,179,60,124,187
M001B04P011L04_B_19,109,19,144,102
M001B04P011L04_B_20,156,45,135,212
M001B04P011L04_B_21,135,67,118,274
M001B04P011L04_B_22,147,36,98,107
M001B04P011L04_B_23,152,30,76,82
M001B04P011L04_B_24,128,48,88,101
M001B04P011L04_C_01,158,28,89,119
M001B04P011L04_C_02,167,44,116,164
M001B04P011L04_C_03,40,1,168,16
M001B04P011L04_C_04,158,45,127,126
M001B04P011L04_C_05,164,41,136,187
M001B04P011L04_C_06,177,26,151,148
M001B04P011L04_C_07,89,20,127,85
M001B04P011L04_C_08,186,40,115,213
M001B04P011L04_C_09,128,25,138,119
M001B04P011L04_C_10,148,32,86,149
M001B04P011L04_C_11,179,62,146,207
M001B04P011L04_C_12,164,52,139,186
M001B04P011L04_C_13,134,25,117,93
M001B04P011L04_C_14,168,32,180,159
M001B04P011L04_C_15,183,36,135,166
M001B04P011L04_C_16,143,47,116,169
M001B04P011L04_C_17,159,50,115,129
M001B04P011L04_C_18,129,46,122,201
M001B04P011L04_C_19,149,38,98,124
M001B04P011L04_C_20,162,42,165,214
M001B04P011L04_C_21,151,55,114,157
M001B04P011L04_C_22,134,53,95,136
M001B04P011L04_C_23,178,39,146,198
M001B04P011L04_C_24,157,54,105,177
M001B04P011L04_D_01,112,47,82,129
M001B04P011L04_D_02,134,46,69,149
M001B04P011L04_D_03,146,51,122,170
M001B04P011L04_D_04,139,53,104,156
M001B04P011L04_D_05,161,39,142,257
M001B04P011L04_D_06,140,39,202,170
M001B04P011L04_D_07,182,42,115,180
M001B04P011L04_D_08,184,49,123,174
M001B04P011L04_D_09,140,36,119,165
M001B04P011L04_D_10,138,62,113,157
M001B04P011L04_D_11,109,31,105,160
M001B04P011L04_D_12,152,35,126,141
M001B04P011L04_D_13,138,40,130,166
M001B04P011L04_D_14,171,31,132,196
M001B04P011L04_D_15,165,31,149,140
M001B04P011L04_D_16,161,29,116,142
M001B04P011L04_D_17,140,52,109,148
M001B04P011L04_D_18,157,30,179,195
M001B04P011L04_D_19,132,22,176,152
M001B04P011L04_D_20,166,53,122,224
M001B04P011L04_D_21,144,34,115,125
M001B04P011L04_D_22,167,49,107,195
M001B04P011L04_D_23,176,41,159,174
M001B04P011L04_D_24,126,47,92,139
M001B04P011L04_E_01,147,53,85,131
M001B04P011L04_E_02,98,16,109,86
M001B04P011L04_E_03,102,16,97,35
M001B04P011L04_E_04,203,30,138,184
M001B04P011L04_E_05,150,33,174,201
M001B04P011L04_E_06,172,58,138,199
M001B04P011L04_E_07,58,10,111,42
M001B04P011L04_E_08,149,53,98,169
M001B04P011L04_E_09,108,15,107,58
