,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001K02P013L06_A_01,138,8,24,30
M001K02P013L06_A_02,144,14,26,98
M001K02P013L06_A_03,114,11,29,69
M001K02P013L06_A_04,164,20,13,60
M001K02P013L06_A_05,110,7,34,63
M001K02P013L06_A_06,152,9,30,60
M001K02P013L06_A_07,138,9,26,46
M001K02P013L06_A_08,140,4,34,59
M001K02P013L06_A_09,109,16,13,61
M001K02P013L06_A_10,147,8,26,96
M001K02P013L06_A_11,124,13,19,121
M001K02P013L06_A_12,120,16,17,57
M001K02P013L06_A_13,125,16,15,39
M001K02P013L06_A_14,109,22,15,37
M001K02P013L06_A_15,123,10,15,27
M001K02P013L06_A_16,120,16,19,50
M001K02P013L06_A_17,99,13,25,31
M001K02P013L06_A_18,118,22,19,53
M001K02P013L06_A_19,96,17,17,80
M001K02P013L06_A_20,139,12,29,39
M001K02P013L06_A_21,129,7,18,38
M001K02P013L06_A_22,155,5,13,87
M001K02P013L06_A_23,140,9,22,33
M001K02P013L06_A_24,129,22,19,33
M001K02P013L06_B_01,136,19,20,46
M001K02P013L06_B_02,110,30,11,48
M001K02P013L06_B_03,132,28,16,117
M001K02P013L06_B_04,116,19,15,33
M001K02P013L06_B_05,28,19,21,227
M001K02P013L06_B_06,134,23,25,167
M001K02P013L06_B_07,80,15,14,19
M001K02P013L06_B_08,123,23,24,103
M001K02P013L06_B_09,75,21,13,47
M001K02P013L06_B_10,133,7,24,35
M001K02P013L06_B_11,109,15,15,49
M001K02P013L06_B_12,110,20,12,40
M001K02P013L06_B_13,127,18,19,78
M001K02P013L06_B_14,115,15,22,33
M001K02P013L06_B_15,113,25,12,54
M001K02P013L06_B_16,158,7,19,40
M001K02P013L06_B_17,116,27,18,80
M001K02P013L06_B_18,107,14,27,59
M001K02P013L06_B_19,145,12,21,49
M001K02P013L06_B_20,116,31,13,72
M001K02P013L06_B_21,115,18,12,104
M001K02P013L06_B_22,114,28,7,37
M001K02P013L06_B_23,110,25,17,139
M001K02P013L06_B_24,112,14,12,56
M001K02P013L06_C_01,145,9,16,25
M001K02P013L06_C_02,99,23,24,58
M001K02P013L06_C_03,108,30,18,159
M001K02P013L06_C_04,114,27,22,99
M001K02P013L06_C_05,107,22,14,51
M001K02P013L06_C_06,146,19,13,54
M001K02P013L06_C_07,96,18,13,42
M001K02P013L06_C_08,107,30,14,148
M001K02P013L06_C_09,120,15,26,63
M001K02P013L06_C_10,112,14,13,58
M001K02P013L06_C_11,150,14,19,58
M001K02P013L06_C_12,154,17,17,75
M001K02P013L06_C_13,110,31,16,54
M001K02P013L06_C_14,110,20,11,63
M001K02P013L06_C_15,127,18,15,79
M001K02P013L06_C_16,111,23,9,60
M001K02P013L06_C_17,115,17,8,33
M001K02P013L06_C_18,122,21,20,44
M001K02P013L06_C_19,136,19,20,58
M001K02P013L06_C_20,122,15,10,60
M001K02P013L06_C_21,138,21,31,242
M001K02P013L06_C_22,95,47,17,216
M001K02P013L06_C_23,79,22,16,88
M001K02P013L06_C_24,127,19,19,70
M001K02P013L06_D_01,104,18,10,44
M001K02P013L06_D_02,141,8,20,36
M001K02P013L06_D_03,142,11,25,46
M001K02P013L06_D_04,104,21,16,98
M001K02P013L06_D_05,35,9,29,34
M001K02P013L06_D_06,127,22,7,57
M001K02P013L06_D_07,113,29,11,60
M001K02P013L06_D_08,118,37,21,59
M001K02P013L06_D_09,108,24,13,26
M001K02P013L06_D_10,113,25,10,29
M001K02P013L06_D_11,113,23,8,37
M001K02P013L06_D_12,122,20,8,69
M001K02P013L06_D_13,95,35,10,44
M001K02P013L06_D_14,127,32,15,46
M001K02P013L06_D_15,114,25,28,109
M001K02P013L06_D_16,60,35,39,116
M001K02P013L06_D_17,114,28,15,74
M001K02P013L06_D_18,112,29,18,90
M001K02P013L06_D_19,123,27,15,135
M001K02P013L06_D_20,96,34,18,92
M001K02P013L06_D_21,105,18,10,55
M001K02P013L06_D_22,58,45,22,242
M001K02P013L06_D_23,98,19,31,97
M001K02P013L06_D_24,68,29,21,18
M001K02P013L06_E_01,132,18,13,51
M001K02P013L06_E_02,121,14,14,59
M001K02P013L06_E_03,133,29,29,187
M001K02P013L06_E_04,126,19,13,56
M001K02P013L06_E_05,120,5,33,37
M001K02P013L06_E_06,109,27,14,124
M001K02P013L06_E_07,126,26,14,63
M001K02P013L06_E_08,108,27,25,71
M001K02P013L06_E_09,103,22,6,27
M001K02P013L06_E_10,137,21,15,39
M001K02P013L06_E_11,131,14,18,79
M001K02P013L06_E_12,99,27,22,61
M001K02P013L06_E_13,102,28,35,191
M001K02P013L06_E_14,102,26,10,59
M001K02P013L06_E_15,148,9,20,77
M001K02P013L06_E_16,160,13,20,77
M001K02P013L06_E_17,137,19,18,56
M001K02P013L06_E_18,149,17,25,80
M001K02P013L06_E_19,161,10,21,38
M001K02P013L06_E_20,111,40,17,152
M001K02P013L06_E_21,94,23,7,33
M001K02P013L06_E_22,92,28,14,52
M001K02P013L06_E_23,116,21,14,43
M001K02P013L06_E_24,117,14,15,59
M001K02P013L06_F_01,97,26,13,32
M001K02P013L06_F_02,82,34,10,63
M001K02P013L06_F_03,114,22,16,85
M001K02P013L06_F_04,130,25,26,76
M001K02P013L06_F_05,94,32,11,29
M001K02P013L06_F_06,90,40,9,32
M001K02P013L06_F_07,68,25,4,50
M001K02P013L06_F_08,103,30,10,60
M001K02P013L06_F_09,84,27,13,87
M001K02P013L06_F_10,87,25,22,49
M001K02P013L06_F_11,50,3,35,100
M001K02P013L06_F_12,113,21,22,92
M001K02P013L06_F_13,102,24,9,31
M001K02P013L06_F_14,163,5,24,101
M001K02P013L06_F_15,118,21,3,53
M001K02P013L06_F_16,135,3,20,35
M001K02P013L06_F_17,182,16,30,68
M001K02P013L06_F_18,142,8,22,117
M001K02P013L06_F_19,145,14,28,53
M001K02P013L06_F_20,136,8,24,51
M001K02P013L06_F_21,93,18,7,29
M001K02P013L06_F_22,148,10,12,42
M001K02P013L06_F_23,103,33,11,39
M001K02P013L06_F_24,135,21,19,145
M001K02P013L06_G_01,169,5,27,46
M001K02P013L06_G_02,117,23,15,61
M001K02P013L06_G_03,80,36,9,82
M001K02P013L06_G_04,109,25,10,62
M001K02P013L06_G_05,85,36,16,24
M001K02P013L06_G_06,117,31,14,37
M001K02P013L06_G_07,83,23,12,101
M001K02P013L06_G_08,102,27,16,108
M001K02P013L06_G_09,165,14,20,105
M001K02P013L06_G_10,97,36,15,116
M001K02P013L06_G_11,98,13,14,53
M001K02P013L06_G_12,126,13,12,69
M001K02P013L06_G_13,73,26,16,72
M001K02P013L06_G_14,99,24,17,99
M001K02P013L06_G_15,97,30,16,20
M001K02P013L06_G_16,90,30,9,53
M001K02P013L06_G_17,109,14,13,38
M001K02P013L06_G_18,104,25,12,56
M001K02P013L06_G_19,107,37,20,188
M001K02P013L06_G_20,117,26,14,132
M001K02P013L06_G_21,105,21,10,28
M001K02P013L06_G_22,92,24,10,38
M001K02P013L06_G_23,78,42,9,22
M001K02P013L06_G_24,98,48,16,117
M001K02P013L06_H_01,128,25,16,130
M001K02P013L06_H_02,100,26,9,63
M001K02P013L06_H_03,70,36,15,29
M001K02P013L06_H_04,106,28,11,66
M001K02P013L06_H_05,76,31,15,136
M001K02P013L06_H_06,114,26,11,126
M001K02P013L06_H_07,94,27,14,35
M001K02P013L06_H_08,86,26,10,42
M001K02P013L06_H_09,95,24,11,79
M001K02P013L06_H_10,87,39,11,145
M001K02P013L06_H_11,67,56,7,112
M001K02P013L06_H_12,93,22,8,44
M001K02P013L06_H_13,91,33,9,32
M001K02P013L06_H_14,97,29,11,47
M001K02P013L06_H_15,77,26,12,41
M001K02P013L06_H_16,137,26,16,54
M001K02P013L06_H_17,65,17,25,178
M001K02P013L06_H_18,103,21,8,48
M001K02P013L06_H_19,74,51,26,210
M001K02P013L06_H_20,94,24,9,52
M001K02P013L06_H_21,92,23,13,30
M001K02P013L06_H_22,107,41,8,95
M001K02P013L06_H_23,134,15,19,41
M001K02P013L06_H_24,77,44,12,83
M001K02P013L06_I_01,148,4,21,24
M001K02P013L06_I_02,141,11,16,66
M001K02P013L06_I_03,121,11,11,63
M001K02P013L06_I_04,103,25,18,44
M001K02P013L06_I_05,120,17,15,43
M001K02P013L06_I_06,113,28,14,131
M001K02P013L06_I_07,163,14,12,73
M001K02P013L06_I_08,174,6,25,68
M001K02P013L06_I_09,134,10,21,68
M001K02P013L06_I_10,163,11,18,36
M001K02P013L06_I_11,163,12,21,143
M001K02P013L06_I_12,146,22,17,114
M001K02P013L06_I_13,139,14,18,88
M001K02P013L06_I_14,146,20,25,207
M001K02P013L06_I_15,172,9,20,57
M001K02P013L06_I_16,149,15,18,109
M001K02P013L06_I_17,93,19,52,136
M001K02P013L06_I_18,124,17,32,106
M001K02P013L06_I_19,151,7,27,75
M001K02P013L06_I_20,127,15,7,77
M001K02P013L06_I_21,137,12,26,46
M001K02P013L06_I_22,144,11,22,52
M001K02P013L06_I_23,92,11,20,45
M001K02P013L06_I_24,148,7,24,52
M001K02P013L06_J_01,99,31,13,39
M001K02P013L06_J_02,118,27,10,61
