,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D021T01P005L02_A_01,105,58,54,114
D021T01P005L02_A_02,165,62,20,130
D021T01P005L02_A_03,74,58,46,109
D021T01P005L02_A_04,155,52,21,121
D021T01P005L02_A_05,174,46,25,143
D021T01P005L02_A_06,106,72,39,90
D021T01P005L02_A_07,123,79,42,101
D021T01P005L02_A_08,62,43,93,158
D021T01P005L02_A_09,167,68,41,90
D021T01P005L02_A_10,146,47,53,117
D021T01P005L02_A_11,221,39,36,125
D021T01P005L02_A_12,83,35,30,136
D021T01P005L02_A_13,157,49,47,118
D021T01P005L02_A_14,164,48,33,125
D021T01P005L02_A_15,65,55,54,140
D021T01P005L02_A_16,95,46,24,102
D021T01P005L02_A_17,42,28,78,153
D021T01P005L02_A_18,136,51,43,103
D021T01P005L02_A_19,128,74,20,101
D021T01P005L02_A_20,288,29,72,154
D021T01P005L02_A_21,159,48,23,117
D021T01P005L02_A_22,69,48,32,115
D021T01P005L02_A_23,69,47,29,144
D021T01P005L02_A_24,61,44,25,93
D021T01P005L02_B_01,208,41,39,145
D021T01P005L02_B_02,153,58,33,125
D021T01P005L02_B_03,91,43,59,123
D021T01P005L02_B_04,168,44,27,110
D021T01P005L02_B_05,119,27,40,137
D021T01P005L02_B_06,51,47,81,163
D021T01P005L02_B_07,50,18,96,146
D021T01P005L02_B_08,170,61,28,116
D021T01P005L02_B_09,51,64,26,102
D021T01P005L02_B_10,157,56,24,130
D021T01P005L02_B_11,163,57,25,128
D021T01P005L02_B_12,135,48,22,92
D021T01P005L02_B_13,169,64,17,115
D021T01P005L02_B_14,186,28,25,109
D021T01P005L02_B_15,40,31,66,141
D021T01P005L02_B_16,53,25,4,38
D021T01P005L02_B_17,105,46,57,163
D021T01P005L02_B_18,190,54,25,105
D021T01P005L02_B_19,225,40,42,200
D021T01P005L02_B_20,175,57,29,119
D021T01P005L02_B_21,131,40,18,128
D021T01P005L02_B_22,129,61,22,92
D021T01P005L02_B_23,128,51,20,94
D021T01P005L02_B_24,117,55,15,111
D021T01P005L02_C_01,125,55,34,98
D021T01P005L02_C_02,159,56,37,129
D021T01P005L02_C_03,150,44,67,81
D021T01P005L02_C_04,200,32,28,129
D021T01P005L02_C_05,180,37,35,100
D021T01P005L02_C_06,141,37,31,83
D021T01P005L02_C_07,82,37,22,88
D021T01P005L02_C_08,160,43,29,107
D021T01P005L02_C_09,45,24,30,85
D021T01P005L02_C_10,113,54,70,143
D021T01P005L02_C_11,168,38,36,102
D021T01P005L02_C_12,184,32,26,94
D021T01P005L02_C_13,127,58,35,104
D021T01P005L02_C_14,186,58,25,113
D021T01P005L02_C_15,191,40,45,111
D021T01P005L02_C_16,172,34,25,113
D021T01P005L02_C_17,157,60,30,95
D021T01P005L02_C_18,45,24,18,52
D021T01P005L02_C_19,139,41,19,94
D021T01P005L02_C_20,132,61,29,101
D021T01P005L02_C_21,49,35,43,111
D021T01P005L02_C_22,140,52,26,97
D021T01P005L02_C_23,129,63,26,96
D021T01P005L02_C_24,112,52,22,78
D021T01P005L02_D_01,172,32,50,128
D021T01P005L02_D_02,103,30,29,75
D021T01P005L02_D_03,130,27,19,83
D021T01P005L02_D_04,135,29,16,82
D021T01P005L02_D_05,77,45,84,125
D021T01P005L02_D_06,80,27,28,107
D021T01P005L02_D_07,74,33,79,198
D021T01P005L02_D_08,125,35,25,93
D021T01P005L02_D_09,25,29,43,78
D021T01P005L02_D_10,103,38,23,97
D021T01P005L02_D_11,115,44,19,99
D021T01P005L02_D_12,138,47,20,98
D021T01P005L02_D_13,137,49,13,76
D021T01P005L02_D_14,98,43,29,69
D021T01P005L02_D_15,32,25,34,55
D021T01P005L02_D_16,128,43,17,87
D021T01P005L02_D_17,102,38,32,110
D021T01P005L02_D_18,130,50,21,90
D021T01P005L02_D_19,60,61,20,70
D021T01P005L02_D_20,94,45,19,80
D021T01P005L02_D_21,152,42,35,106
D021T01P005L02_D_22,155,49,23,114
D021T01P005L02_D_23,145,40,25,80
D021T01P005L02_D_24,111,62,26,108
D021T01P005L02_E_01,60,57,41,98
D021T01P005L02_E_02,134,44,26,105
D021T01P005L02_E_03,79,68,46,139
D021T01P005L02_E_04,117,47,30,99
D021T01P005L02_E_05,39,12,65,78
D021T01P005L02_E_06,241,23,40,101
D021T01P005L02_E_07,87,62,38,115
D021T01P005L02_E_08,113,56,24,110
D021T01P005L02_E_09,173,33,24,83
D021T01P005L02_E_10,126,47,40,85
D021T01P005L02_E_11,31,31,81,138
D021T01P005L02_E_12,104,44,24,112
D021T01P005L02_E_13,70,49,25,91
