,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D013T01P002L03_A_01,230,15,154,169
D013T01P002L03_A_02,239,32,168,188
D013T01P002L03_A_03,106,10,360,225
D013T01P002L03_A_04,226,25,153,217
D013T01P002L03_A_05,106,9,323,84
D013T01P002L03_A_06,74,2,403,67
D013T01P002L03_A_07,138,6,267,78
D013T01P002L03_A_08,240,19,159,259
D013T01P002L03_A_09,132,5,383,168
D013T01P002L03_A_10,244,22,208,225
D013T01P002L03_A_11,107,3,426,124
D013T01P002L03_A_12,215,25,140,154
D013T01P002L03_A_13,143,14,332,125
D013T01P002L03_A_14,225,16,163,187
D013T01P002L03_A_15,245,19,191,223
D013T01P002L03_A_16,224,26,203,236
D013T01P002L03_A_17,226,64,280,544
D013T01P002L03_A_18,221,24,197,196
D013T01P002L03_A_19,192,14,383,189
D013T01P002L03_A_20,251,14,167,181
D013T01P002L03_A_21,66,2,635,157
D013T01P002L03_A_22,246,24,222,200
D013T01P002L03_A_23,199,21,146,203
D013T01P002L03_A_24,231,25,230,250
D013T01P002L03_B_01,117,4,476,118
D013T01P002L03_B_02,211,30,148,187
D013T01P002L03_B_03,244,19,251,242
D013T01P002L03_B_04,228,15,139,153
D013T01P002L03_B_05,52,3,494,146
D013T01P002L03_B_06,225,13,171,168
D013T01P002L03_B_07,105,6,266,105
D013T01P002L03_B_08,193,22,192,176
D013T01P002L03_B_09,236,19,223,193
D013T01P002L03_B_10,233,19,130,116
D013T01P002L03_B_11,57,6,401,137
D013T01P002L03_B_12,134,13,328,104
D013T01P002L03_B_13,223,35,198,199
D013T01P002L03_B_14,230,14,144,190
D013T01P002L03_B_15,186,11,203,142
D013T01P002L03_B_16,210,16,158,191
D013T01P002L03_B_17,177,11,166,82
D013T01P002L03_B_18,254,15,153,141
D013T01P002L03_B_19,249,18,188,146
D013T01P002L03_B_20,253,11,213,190
D013T01P002L03_B_21,228,24,196,222
D013T01P002L03_B_22,217,31,221,274
D013T01P002L03_B_23,221,27,191,201
D013T01P002L03_B_24,226,22,203,220
D013T01P002L03_C_01,191,20,113,148
D013T01P002L03_C_02,221,20,203,198
D013T01P002L03_C_03,205,14,119,110
D013T01P002L03_C_04,240,22,176,183
D013T01P002L03_C_05,150,9,210,115
D013T01P002L03_C_06,234,5,225,179
D013T01P002L03_C_07,218,45,237,303
D013T01P002L03_C_08,215,27,195,208
D013T01P002L03_C_09,165,41,202,312
D013T01P002L03_C_10,147,16,244,134
D013T01P002L03_C_11,136,16,255,160
D013T01P002L03_C_12,220,35,187,238
D013T01P002L03_C_13,191,19,156,194
D013T01P002L03_C_14,199,50,200,321
D013T01P002L03_C_15,163,13,212,146
D013T01P002L03_C_16,220,18,221,262
D013T01P002L03_C_17,153,27,222,281
D013T01P002L03_C_18,236,15,171,203
D013T01P002L03_C_19,262,29,236,226
D013T01P002L03_C_20,247,31,208,260
D013T01P002L03_C_21,132,6,243,128
D013T01P002L03_C_22,208,23,159,176
D013T01P002L03_C_23,223,30,258,270
D013T01P002L03_C_24,248,25,262,200
D013T01P002L03_D_01,215,20,160,209
D013T01P002L03_D_02,178,27,143,162
D013T01P002L03_D_03,207,15,167,166
D013T01P002L03_D_04,235,27,180,202
D013T01P002L03_D_05,207,26,155,177
D013T01P002L03_D_06,227,18,151,153
D013T01P002L03_D_07,210,20,155,177
D013T01P002L03_D_08,197,22,129,136
D013T01P002L03_D_09,56,1,529,96
D013T01P002L03_D_10,225,13,172,219
D013T01P002L03_D_11,223,19,124,168
D013T01P002L03_D_12,205,25,147,180
D013T01P002L03_D_13,195,26,197,220
D013T01P002L03_D_14,208,30,135,182
D013T01P002L03_D_15,259,48,290,360
D013T01P002L03_D_16,243,16,204,233
D013T01P002L03_D_17,199,54,312,354
D013T01P002L03_D_18,92,14,129,53
D013T01P002L03_D_19,169,11,150,51
D013T01P002L03_D_20,234,24,163,160
D013T01P002L03_D_21,236,11,138,169
D013T01P002L03_D_22,228,38,124,162
D013T01P002L03_D_23,223,18,176,204
D013T01P002L03_D_24,216,26,186,224
D013T01P002L03_E_01,259,17,199,213
D013T01P002L03_E_02,243,13,135,156
D013T01P002L03_E_03,245,68,372,523
D013T01P002L03_E_04,218,19,187,172
D013T01P002L03_E_05,110,6,367,89
D013T01P002L03_E_06,212,68,334,526
D013T01P002L03_E_07,142,3,351,98
D013T01P002L03_E_08,267,20,182,196
D013T01P002L03_E_09,219,27,134,230
D013T01P002L03_E_10,187,12,196,154
D013T01P002L03_E_11,139,8,143,67
D013T01P002L03_E_12,220,19,156,166
D013T01P002L03_E_13,61,1,307,64
D013T01P002L03_E_14,94,16,155,85
D013T01P002L03_E_15,236,32,183,218
D013T01P002L03_E_16,209,24,152,195
D013T01P002L03_E_17,147,9,181,76
D013T01P002L03_E_18,203,31,164,190
D013T01P002L03_E_19,201,36,171,253
D013T01P002L03_E_20,232,18,203,243
D013T01P002L03_E_21,251,20,193,155
D013T01P002L03_E_22,243,8,170,159
D013T01P002L03_E_23,245,20,207,251
D013T01P002L03_E_24,227,18,200,211
D013T01P002L03_F_01,222,23,163,221
D013T01P002L03_F_02,233,25,226,239
D013T01P002L03_F_03,199,37,137,235
D013T01P002L03_F_04,194,58,252,418
D013T01P002L03_F_05,112,26,154,139
D013T01P002L03_F_06,208,13,143,160
D013T01P002L03_F_07,129,7,239,105
D013T01P002L03_F_08,233,41,246,245
D013T01P002L03_F_09,150,51,236,436
D013T01P002L03_F_10,215,44,201,236
D013T01P002L03_F_11,202,18,138,157
D013T01P002L03_F_12,195,22,150,138
D013T01P002L03_F_13,189,33,132,164
D013T01P002L03_F_14,226,25,186,225
D013T01P002L03_F_15,211,37,190,206
D013T01P002L03_F_16,231,19,181,230
D013T01P002L03_F_17,203,29,144,195
D013T01P002L03_F_18,191,13,196,130
D013T01P002L03_F_19,233,29,220,258
D013T01P002L03_F_20,208,10,138,88
D013T01P002L03_F_21,224,10,178,149
D013T01P002L03_F_22,204,28,172,181
D013T01P002L03_F_23,233,17,185,197
D013T01P002L03_F_24,237,21,189,225
D013T01P002L03_G_01,113,4,278,99
D013T01P002L03_G_02,236,27,262,230
D013T01P002L03_G_03,250,33,450,407
D013T01P002L03_G_04,244,16,182,201
D013T01P002L03_G_05,178,12,280,172
D013T01P002L03_G_06,223,44,259,320
D013T01P002L03_G_07,108,4,199,66
D013T01P002L03_G_08,245,18,198,214
D013T01P002L03_G_09,216,18,211,188
D013T01P002L03_G_10,232,23,258,211
D013T01P002L03_G_11,148,10,291,83
D013T01P002L03_G_12,255,24,201,267
D013T01P002L03_G_13,217,38,210,249
D013T01P002L03_G_14,225,12,255,196
D013T01P002L03_G_15,221,19,174,196
D013T01P002L03_G_16,207,25,152,204
D013T01P002L03_G_17,216,26,255,258
D013T01P002L03_G_18,206,22,150,220
D013T01P002L03_G_19,251,10,139,103
D013T01P002L03_G_20,231,25,167,154
D013T01P002L03_G_21,268,15,257,228
D013T01P002L03_G_22,245,27,181,232
D013T01P002L03_G_23,238,23,201,250
D013T01P002L03_G_24,229,15,167,163
D013T01P002L03_H_01,231,31,170,249
D013T01P002L03_H_02,229,30,176,205
D013T01P002L03_H_03,170,52,276,392
D013T01P002L03_H_04,185,26,160,275
D013T01P002L03_H_05,229,35,204,309
D013T01P002L03_H_06,245,18,175,179
D013T01P002L03_H_07,201,34,181,211
D013T01P002L03_H_08,241,20,110,183
D013T01P002L03_H_09,250,25,296,331
D013T01P002L03_H_10,148,5,328,76
D013T01P002L03_H_11,215,24,163,142
D013T01P002L03_H_12,221,35,220,274
D013T01P002L03_H_13,185,11,197,74
D013T01P002L03_H_14,192,10,182,156
D013T01P002L03_H_15,230,18,162,210
D013T01P002L03_H_16,236,11,137,142
D013T01P002L03_H_17,227,19,191,161
D013T01P002L03_H_18,217,19,195,151
D013T01P002L03_H_19,237,19,148,165
D013T01P002L03_H_20,205,21,178,182
D013T01P002L03_H_21,217,29,255,264
D013T01P002L03_H_22,98,2,395,95
D013T01P002L03_H_23,201,36,161,205
D013T01P002L03_H_24,228,19,191,217
D013T01P002L03_I_01,137,1,326,90
D013T01P002L03_I_02,214,20,141,169
D013T01P002L03_I_03,128,0,249,67
D013T01P002L03_I_04,193,21,159,216
D013T01P002L03_I_05,242,18,164,163
D013T01P002L03_I_06,238,18,239,228
D013T01P002L03_I_07,263,31,215,306
D013T01P002L03_I_08,223,20,162,164
D013T01P002L03_I_09,100,4,512,129
D013T01P002L03_I_10,215,7,153,209
D013T01P002L03_I_11,218,8,158,129
D013T01P002L03_I_12,240,19,197,198
D013T01P002L03_I_13,244,25,155,160
D013T01P002L03_I_14,242,30,308,345
D013T01P002L03_I_15,251,23,166,182
D013T01P002L03_I_16,202,19,199,236
D013T01P002L03_I_17,247,8,185,243
D013T01P002L03_I_18,195,30,163,181
D013T01P002L03_I_19,192,4,401,102
D013T01P002L03_I_20,233,21,201,224
D013T01P002L03_I_21,235,23,194,205
D013T01P002L03_I_22,211,23,155,189
D013T01P002L03_I_23,218,28,162,200
D013T01P002L03_I_24,246,22,176,200
D013T01P002L03_J_01,223,26,246,174
