,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001K02P014L07_G_07,172,15,21,74
M001K02P014L07_G_08,172,17,28,96
M001K02P014L07_G_09,177,16,23,68
M001K02P014L07_G_10,178,7,22,74
M001K02P014L07_G_11,90,29,102,132
M001K02P014L07_G_12,140,15,28,85
M001K02P014L07_G_13,136,17,19,56
M001K02P014L07_G_14,155,11,16,33
M001K02P014L07_G_15,147,11,40,111
M001K02P014L07_G_16,176,15,26,63
M001K02P014L07_G_17,161,23,48,74
M001K02P014L07_G_18,163,19,31,72
M001K02P014L07_G_19,160,17,45,89
M001K02P014L07_G_20,151,17,18,56
M001K02P014L07_G_21,134,11,28,36
M001K02P014L07_G_22,164,13,37,60
M001K02P014L07_G_23,159,14,16,60
M001K02P014L07_G_24,136,9,18,88
M001K02P014L07_H_01,152,15,51,100
M001K02P014L07_H_02,152,27,85,165
M001K02P014L07_H_03,170,19,33,114
M001K02P014L07_H_04,172,12,26,64
M001K02P014L07_H_05,156,25,32,59
M001K02P014L07_H_06,169,13,18,72
M001K02P014L07_H_07,165,12,34,101
M001K02P014L07_H_08,159,12,38,61
M001K02P014L07_H_09,162,22,22,50
M001K02P014L07_H_10,155,25,104,111
M001K02P014L07_H_11,113,40,55,79
M001K02P014L07_H_12,165,7,26,81
M001K02P014L07_H_13,97,33,8,48
M001K02P014L07_H_14,177,8,55,95
M001K02P014L07_H_15,162,8,24,73
M001K02P014L07_H_16,159,15,16,50
M001K02P014L07_H_17,165,15,25,53
M001K02P014L07_H_18,163,9,56,71
M001K02P014L07_H_19,151,21,59,84
M001K02P014L07_H_20,165,13,55,124
M001K02P014L07_H_21,156,9,26,68
M001K02P014L07_H_22,148,16,13,56
M001K02P014L07_H_23,67,57,12,32
M001K02P014L07_H_24,128,29,11,48
M001K02P014L07_I_01,145,17,29,65
M001K02P014L07_I_02,149,20,16,82
M001K02P014L07_I_03,136,17,72,115
M001K02P014L07_I_04,170,19,42,111
M001K02P014L07_I_05,179,12,36,93
M001K02P014L07_I_06,170,7,25,88
M001K02P014L07_I_07,180,10,42,149
M001K02P014L07_I_08,164,24,27,98
M001K02P014L07_I_09,149,5,50,97
M001K02P014L07_I_10,175,8,69,75
M001K02P014L07_I_11,171,11,42,134
M001K02P014L07_I_12,153,27,147,221
M001K02P014L07_I_13,157,11,61,145
M001K02P014L07_I_14,168,7,16,56
M001K02P014L07_I_15,154,30,231,197
M001K02P014L07_I_16,152,19,32,75
M001K02P014L07_I_17,155,17,76,189
M001K02P014L07_I_18,153,19,27,79
M001K02P014L07_I_19,142,20,16,39
M001K02P014L07_I_20,141,9,10,42
M001K02P014L07_I_21,143,31,33,46
M001K02P014L07_I_22,138,28,16,60
M001K02P014L07_I_23,117,28,8,45
M001K02P014L07_I_24,119,41,8,51
M001K02P014L07_J_01,123,37,30,83
M001K02P014L07_J_02,64,41,51,115
M001K02P014L07_J_03,143,30,32,101
M001K02P014L07_J_04,162,20,44,106
M001K02P014L07_J_05,165,14,17,68
M001K02P014L07_J_06,144,36,84,116
M001K02P014L07_J_07,161,19,55,126
M001K02P014L07_J_08,138,25,36,114
M001K02P014L07_J_09,142,17,19,87
M001K02P014L07_J_10,151,15,64,108
M001K02P014L07_J_11,169,7,33,66
M001K02P014L07_J_12,158,13,23,94
M001K02P014L07_J_13,145,22,36,73
M001K02P014L07_J_14,177,16,23,66
M001K02P014L07_J_15,176,8,36,72
M001K02P014L07_J_16,155,15,47,102
M001K02P014L07_J_17,147,13,32,57
M001K02P014L07_J_18,152,10,78,159
M001K02P014L07_J_19,162,14,48,74
M001K02P014L07_J_20,139,19,30,59
M001K02P014L07_J_21,149,8,38,61
M001K02P014L07_J_22,143,9,59,74
M001K02P014L07_J_23,102,38,71,69
M001K02P014L07_J_24,147,19,16,45
M001K02P014L07_K_01,120,3,78,89
M001K02P014L07_K_02,153,24,35,116
M001K02P014L07_K_03,172,9,17,38
M001K02P014L07_K_04,148,14,62,133
M001K02P014L07_K_05,162,10,69,45
M001K02P014L07_K_06,151,18,34,81
M001K02P014L07_K_07,170,12,37,163
M001K02P014L07_K_08,167,10,17,61
M001K02P014L07_K_09,162,13,43,121
M001K02P014L07_K_10,176,13,50,103
M001K02P014L07_K_11,155,23,61,102
M001K02P014L07_K_12,158,17,17,41
M001K02P014L07_K_13,159,21,91,184
M001K02P014L07_K_14,155,12,24,59
M001K02P014L07_K_15,153,18,71,112
M001K02P014L07_K_16,172,10,39,104
M001K02P014L07_K_17,147,17,34,55
M001K02P014L07_K_18,153,13,21,56
M001K02P014L07_K_19,155,14,34,48
M001K02P014L07_K_20,146,9,16,58
M001K02P014L07_K_21,142,7,30,67
M001K02P014L07_K_22,150,18,22,93
M001K02P014L07_K_23,126,27,36,84
M001K02P014L07_K_24,96,59,20,64
M001K02P014L07_L_01,136,25,27,81
M001K02P014L07_L_02,158,19,79,165
M001K02P014L07_L_03,169,17,43,123
M001K02P014L07_L_04,156,19,52,89
M001K02P014L07_L_05,136,16,28,73
M001K02P014L07_L_06,157,14,18,64
M001K02P014L07_L_07,139,23,19,49
M001K02P014L07_L_08,142,10,19,25
M001K02P014L07_L_09,161,12,25,55
M001K02P014L07_L_10,153,13,34,118
M001K02P014L07_L_11,172,10,38,103
M001K02P014L07_L_12,151,20,58,91
M001K02P014L07_L_13,152,10,55,105
M001K02P014L07_L_14,156,24,76,148
M001K02P014L07_L_15,152,4,11,46
M001K02P014L07_L_16,155,7,26,46
M001K02P014L07_L_17,166,11,21,49
M001K02P014L07_L_18,157,14,41,70
M001K02P014L07_L_19,147,12,36,58
M001K02P014L07_L_20,149,13,30,59
M001K02P014L07_L_21,157,16,23,78
M001K02P014L07_L_22,145,16,52,67
M001K02P014L07_L_23,142,10,30,67
M001K02P014L07_L_24,149,19,50,110
M001K02P014L07_M_01,115,43,3,38
M001K02P014L07_M_02,162,20,72,137
M001K02P014L07_M_03,168,9,58,105
M001K02P014L07_M_04,161,28,49,111
M001K02P014L07_M_05,172,19,48,116
M001K02P014L07_M_06,155,6,20,50
M001K02P014L07_M_07,155,21,233,290
M001K02P014L07_M_08,105,18,102,95
M001K02P014L07_M_09,148,17,21,61
M001K02P014L07_M_10,157,13,9,65
