,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001A03P010L03_A_01,134,26,20,80
M001A03P010L03_A_02,161,16,36,86
M001A03P010L03_A_03,131,21,23,109
M001A03P010L03_A_04,170,17,21,89
M001A03P010L03_A_05,115,41,28,166
M001A03P010L03_A_06,261,92,294,1241
M001A03P010L03_A_07,141,46,65,523
M001A03P010L03_A_08,168,16,36,83
M001A03P010L03_A_09,154,28,31,109
M001A03P010L03_A_10,179,17,35,113
M001A03P010L03_A_11,93,76,15,563
M001A03P010L03_A_12,145,25,28,91
M001A03P010L03_A_13,149,21,28,145
M001A03P010L03_A_14,162,25,29,86
M001A03P010L03_A_15,170,19,31,84
M001A03P010L03_A_16,154,19,27,93
M001A03P010L03_A_17,169,23,39,275
M001A03P010L03_A_18,170,14,34,77
M001A03P010L03_A_19,128,23,32,116
M001A03P010L03_A_20,141,16,29,88
M001A03P010L03_A_21,143,21,25,125
M001A03P010L03_A_22,148,21,39,105
M001A03P010L03_A_23,163,19,38,71
M001A03P010L03_A_24,150,15,40,95
M001A03P010L03_B_01,120,27,36,127
M001A03P010L03_B_02,167,22,17,91
M001A03P010L03_B_03,153,33,25,222
M001A03P010L03_B_04,193,15,47,91
M001A03P010L03_B_05,192,111,76,853
M001A03P010L03_B_06,133,22,25,104
M001A03P010L03_B_07,130,16,26,118
M001A03P010L03_B_08,147,17,39,94
M001A03P010L03_B_09,168,33,28,111
M001A03P010L03_B_10,145,23,34,63
M001A03P010L03_B_11,195,12,150,221
M001A03P010L03_B_12,183,19,78,109
M001A03P010L03_B_13,161,21,32,77
M001A03P010L03_B_14,118,31,66,209
M001A03P010L03_B_15,186,17,39,120
M001A03P010L03_B_16,136,24,48,127
M001A03P010L03_B_17,177,9,68,112
M001A03P010L03_B_18,163,36,27,173
M001A03P010L03_B_19,159,18,29,68
M001A03P010L03_B_20,187,15,33,87
M001A03P010L03_B_21,144,22,40,105
M001A03P010L03_B_22,135,20,26,138
M001A03P010L03_B_23,142,20,36,110
M001A03P010L03_B_24,145,32,18,81
M001A03P010L03_C_01,154,17,19,96
M001A03P010L03_C_02,159,23,25,97
