,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001W01P009L02_A_01,106,20,6,21
M001W01P009L02_A_02,90,20,8,31
M001W01P009L02_A_03,74,23,12,30
M001W01P009L02_A_04,85,15,9,15
M001W01P009L02_A_05,98,18,6,30
M001W01P009L02_A_06,71,32,2,18
M001W01P009L02_A_07,81,32,4,14
M001W01P009L02_A_08,90,23,12,193
M001W01P009L02_A_09,94,28,9,20
M001W01P009L02_A_10,71,24,6,30
M001W01P009L02_A_11,96,29,5,14
M001W01P009L02_A_12,106,25,7,13
M001W01P009L02_A_13,106,18,7,13
M001W01P009L02_A_14,68,32,4,18
M001W01P009L02_A_15,108,30,14,22
M001W01P009L02_A_16,75,24,7,33
M001W01P009L02_A_17,63,14,13,48
M001W01P009L02_A_18,89,30,1,19
M001W01P009L02_A_19,66,27,10,20
M001W01P009L02_A_20,93,29,3,12
M001W01P009L02_A_21,91,19,8,27
M001W01P009L02_A_22,76,18,9,10
M001W01P009L02_A_23,88,32,8,14
M001W01P009L02_A_24,86,33,1,29
M001W01P009L02_B_01,103,10,9,17
M001W01P009L02_B_02,116,16,4,20
M001W01P009L02_B_03,75,14,6,23
M001W01P009L02_B_04,67,23,1,19
M001W01P009L02_B_05,91,24,3,13
M001W01P009L02_B_06,86,26,2,19
M001W01P009L02_B_07,44,19,7,38
M001W01P009L02_B_08,59,34,3,31
M001W01P009L02_B_09,66,25,4,39
M001W01P009L02_B_10,85,9,7,16
M001W01P009L02_B_11,81,22,4,15
M001W01P009L02_B_12,83,17,7,19
M001W01P009L02_B_13,72,22,9,17
M001W01P009L02_B_14,84,21,4,10
M001W01P009L02_B_15,22,7,6,94
M001W01P009L02_B_16,84,24,7,11
M001W01P009L02_B_17,62,17,6,25
M001W01P009L02_B_18,112,7,6,16
M001W01P009L02_B_19,107,2,19,38
M001W01P009L02_B_20,77,21,5,16
M001W01P009L02_B_21,97,33,11,30
M001W01P009L02_B_22,96,18,8,52
M001W01P009L02_B_23,87,19,2,14
M001W01P009L02_B_24,101,26,6,12
M001W01P009L02_C_01,102,19,13,26
M001W01P009L02_C_02,99,25,9,27
M001W01P009L02_C_03,104,13,12,39
M001W01P009L02_C_04,104,13,9,19
M001W01P009L02_C_05,113,18,6,12
M001W01P009L02_C_06,99,18,6,14
M001W01P009L02_C_07,88,23,8,26
M001W01P009L02_C_08,111,15,5,26
M001W01P009L02_C_09,80,21,3,24
M001W01P009L02_C_10,91,31,3,22
M001W01P009L02_C_11,95,31,8,34
M001W01P009L02_C_12,108,8,9,15
M001W01P009L02_C_13,86,16,2,22
M001W01P009L02_C_14,99,17,8,17
M001W01P009L02_C_15,81,26,4,22
M001W01P009L02_C_16,95,23,9,43
M001W01P009L02_C_17,80,19,4,16
M001W01P009L02_C_18,78,17,3,19
M001W01P009L02_C_19,83,24,3,19
M001W01P009L02_C_20,117,12,7,32
M001W01P009L02_C_21,87,20,7,16
M001W01P009L02_C_22,104,21,6,16
M001W01P009L02_C_23,76,17,8,34
M001W01P009L02_C_24,91,29,9,37
M001W01P009L02_D_01,120,5,6,8
M001W01P009L02_D_02,97,14,1,21
M001W01P009L02_D_03,94,20,8,13
M001W01P009L02_D_04,99,24,3,16
M001W01P009L02_D_05,92,25,4,20
M001W01P009L02_D_06,90,23,13,50
M001W01P009L02_D_07,53,23,5,52
M001W01P009L02_D_08,83,25,6,48
M001W01P009L02_D_09,42,20,7,17
M001W01P009L02_D_10,65,17,2,15
M001W01P009L02_D_11,77,29,7,23
M001W01P009L02_D_12,81,31,3,14
M001W01P009L02_D_13,77,17,7,21
M001W01P009L02_D_14,65,26,12,31
M001W01P009L02_D_15,24,17,4,18
M001W01P009L02_D_16,93,17,4,17
M001W01P009L02_D_17,89,37,5,14
