,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001B04P004L03_G_07,72,34,117,98
M001B04P004L03_G_08,156,35,100,155
M001B04P004L03_G_09,173,35,148,192
M001B04P004L03_G_10,148,47,116,157
M001B04P004L03_G_11,170,29,89,80
M001B04P004L03_G_12,152,23,136,151
M001B04P004L03_G_13,146,28,106,143
M001B04P004L03_G_14,170,41,117,186
M001B04P004L03_G_15,160,59,114,216
M001B04P004L03_G_16,136,42,100,176
M001B04P004L03_G_17,99,36,124,139
M001B04P004L03_G_18,148,31,134,190
M001B04P004L03_G_19,168,44,57,123
M001B04P004L03_G_20,127,34,120,150
M001B04P004L03_G_21,152,33,145,169
M001B04P004L03_G_22,142,29,119,139
M001B04P004L03_G_23,162,30,143,206
M001B04P004L03_G_24,160,25,112,124
M001B04P004L03_H_01,94,27,130,145
M001B04P004L03_H_02,167,39,139,157
M001B04P004L03_H_03,179,22,108,157
M001B04P004L03_H_04,109,56,123,330
M001B04P004L03_H_05,152,33,156,160
M001B04P004L03_H_06,150,35,125,144
M001B04P004L03_H_07,176,32,173,171
M001B04P004L03_H_08,175,35,151,228
M001B04P004L03_H_09,110,39,134,147
M001B04P004L03_H_10,148,48,110,129
M001B04P004L03_H_11,148,43,129,226
M001B04P004L03_H_12,148,48,126,198
M001B04P004L03_H_13,164,41,159,187
M001B04P004L03_H_14,136,46,105,120
M001B04P004L03_H_15,148,41,118,140
M001B04P004L03_H_16,144,62,130,194
M001B04P004L03_H_17,161,28,151,139
M001B04P004L03_H_18,206,32,69,158
M001B04P004L03_H_19,154,31,125,138
M001B04P004L03_H_20,139,28,95,108
M001B04P004L03_H_21,152,31,109,122
M001B04P004L03_H_22,46,8,145,36
M001B04P004L03_H_23,152,40,100,161
M001B04P004L03_H_24,162,27,95,122
M001B04P004L03_I_01,65,10,157,51
M001B04P004L03_I_02,142,51,112,197
M001B04P004L03_I_03,45,3,260,57
M001B04P004L03_I_04,155,31,129,152
M001B04P004L03_I_05,173,16,142,148
M001B04P004L03_I_06,144,37,123,140
M001B04P004L03_I_07,136,26,131,198
M001B04P004L03_I_08,149,30,130,194
M001B04P004L03_I_09,107,17,136,94
M001B04P004L03_I_10,153,44,126,173
M001B04P004L03_I_11,127,32,125,107
M001B04P004L03_I_12,163,50,139,201
M001B04P004L03_I_13,144,41,110,173
M001B04P004L03_I_14,134,35,151,155
M001B04P004L03_I_15,153,39,113,131
M001B04P004L03_I_16,154,36,108,185
M001B04P004L03_I_17,137,25,100,134
M001B04P004L03_I_18,154,54,145,172
M001B04P004L03_I_19,140,32,114,91
M001B04P004L03_I_20,155,20,115,122
M001B04P004L03_I_21,143,40,114,147
M001B04P004L03_I_22,161,41,117,150
M001B04P004L03_I_23,135,34,113,128
M001B04P004L03_I_24,137,41,117,189
M001B04P004L03_J_01,124,23,77,73
M001B04P004L03_J_02,132,38,97,160
M001B04P004L03_J_03,132,32,138,154
M001B04P004L03_J_04,164,40,138,224
M001B04P004L03_J_05,57,36,107,99
M001B04P004L03_J_06,140,36,165,177
M001B04P004L03_J_07,129,36,157,155
M001B04P004L03_J_08,147,27,129,118
M001B04P004L03_J_09,161,23,106,140
M001B04P004L03_J_10,158,28,142,136
M001B04P004L03_J_11,135,32,144,157
M001B04P004L03_J_12,141,51,150,159
M001B04P004L03_J_13,89,4,242,64
M001B04P004L03_J_14,134,34,89,105
M001B04P004L03_J_15,147,50,106,154
M001B04P004L03_J_16,138,33,75,134
M001B04P004L03_J_17,99,31,129,149
M001B04P004L03_J_18,137,16,157,85
M001B04P004L03_J_19,57,49,98,55
M001B04P004L03_J_20,133,49,94,163
M001B04P004L03_J_21,68,44,77,87
M001B04P004L03_J_22,91,37,119,113
M001B04P004L03_J_23,145,53,90,157
M001B04P004L03_J_24,149,29,127,111
M001B04P004L03_K_01,28,36,55,56
M001B04P004L03_K_02,100,20,79,62
M001B04P004L03_K_03,115,34,149,122
M001B04P004L03_K_04,145,30,127,170
M001B04P004L03_K_05,131,17,148,167
M001B04P004L03_K_06,41,17,198,35
M001B04P004L03_K_07,56,23,82,81
M001B04P004L03_K_08,159,36,157,143
M001B04P004L03_K_09,101,39,136,107
M001B04P004L03_K_10,126,46,145,200
M001B04P004L03_K_11,149,30,125,140
M001B04P004L03_K_12,176,31,106,152
M001B04P004L03_K_13,53,6,173,24
M001B04P004L03_K_14,142,32,72,125
M001B04P004L03_K_15,169,48,109,202
M001B04P004L03_K_16,156,35,118,178
M001B04P004L03_K_17,53,11,122,54
M001B04P004L03_K_18,146,32,127,186
M001B04P004L03_K_19,132,35,182,184
M001B04P004L03_K_20,159,37,100,162
M001B04P004L03_K_21,111,30,181,106
M001B04P004L03_K_22,130,49,101,152
M001B04P004L03_K_23,158,35,90,125
M001B04P004L03_K_24,141,43,110,143
M001B04P004L03_L_01,135,29,106,111
M001B04P004L03_L_02,127,21,93,62
M001B04P004L03_L_03,124,54,127,202
M001B04P004L03_L_04,155,19,126,106
M001B04P004L03_L_05,153,29,155,189
M001B04P004L03_L_06,150,26,161,140
M001B04P004L03_L_07,118,17,119,74
M001B04P004L03_L_08,178,36,106,157
M001B04P004L03_L_09,62,25,107,57
M001B04P004L03_L_10,149,28,115,146
M001B04P004L03_L_11,123,15,113,80
M001B04P004L03_L_12,155,22,158,136
M001B04P004L03_L_13,119,57,142,316
M001B04P004L03_L_14,151,49,106,192
M001B04P004L03_L_15,130,23,153,85
M001B04P004L03_L_16,145,23,94,78
M001B04P004L03_L_17,128,35,109,154
M001B04P004L03_L_18,172,19,129,92
M001B04P004L03_L_19,137,30,147,166
M001B04P004L03_L_20,171,30,125,155
M001B04P004L03_L_21,156,51,105,166
M001B04P004L03_L_22,136,50,124,202
M001B04P004L03_L_23,146,32,83,149
M001B04P004L03_L_24,142,32,100,114
M001B04P004L03_M_01,77,26,120,106
M001B04P004L03_M_02,123,46,112,140
M001B04P004L03_M_03,2,0,32,12
M001B04P004L03_M_04,128,30,159,107
M001B04P004L03_M_05,36,1,238,38
M001B04P004L03_M_06,109,15,172,87
M001B04P004L03_M_07,101,26,139,130
M001B04P004L03_M_08,142,34,123,125
M001B04P004L03_M_09,147,19,131,118
M001B04P004L03_M_10,162,22,95,123
M001B04P004L03_M_11,43,10,102,20
M001B04P004L03_M_12,134,24,137,123
M001B04P004L03_M_13,132,38,175,120
M001B04P004L03_M_14,72,8,173,27
M001B04P004L03_M_15,141,37,147,157
M001B04P004L03_M_16,150,20,125,128
M001B04P004L03_M_17,85,20,139,69
M001B04P004L03_M_18,145,29,136,134
M001B04P004L03_M_19,73,24,157,100
M001B04P004L03_M_20,144,34,113,116
M001B04P004L03_M_21,160,37,107,163
M001B04P004L03_M_22,148,20,118,138
M001B04P004L03_M_23,148,37,85,158
M001B04P004L03_M_24,137,20,106,120
M001B04P004L03_N_01,96,47,54,105
M001B04P004L03_N_02,124,30,110,125
M001B04P004L03_N_03,128,20,87,127
M001B04P004L03_N_04,158,29,137,145
M001B04P004L03_N_05,112,28,170,110
M001B04P004L03_N_06,148,26,129,158
M001B04P004L03_N_07,119,28,113,129
M001B04P004L03_N_08,130,29,132,109
M001B04P004L03_N_09,135,26,141,115
M001B04P004L03_N_10,134,21,100,103
M001B04P004L03_N_11,131,22,125,112
M001B04P004L03_N_12,121,47,147,229
M001B04P004L03_N_13,182,16,67,91
M001B04P004L03_N_14,156,56,134,265
M001B04P004L03_N_15,150,23,136,137
M001B04P004L03_N_16,163,19,113,96
M001B04P004L03_N_17,125,42,145,162
M001B04P004L03_N_18,144,23,124,108
M001B04P004L03_N_19,144,22,139,147
M001B04P004L03_N_20,151,13,80,69
M001B04P004L03_N_21,87,29,123,124
M001B04P004L03_N_22,132,32,94,139
M001B04P004L03_N_23,160,34,115,173
M001B04P004L03_N_24,137,35,138,160
M001B04P004L03_O_01,47,15,135,59
M001B04P004L03_O_02,100,32,148,92
M001B04P004L03_O_03,95,22,100,120
M001B04P004L03_O_04,118,17,104,113
M001B04P004L03_O_05,107,44,114,97
M001B04P004L03_O_06,135,28,157,143
M001B04P004L03_O_07,91,21,138,78
M001B04P004L03_O_08,124,45,108,151
M001B04P004L03_O_09,194,29,121,100
M001B04P004L03_O_10,130,12,115,116
M001B04P004L03_O_11,93,21,160,80
M001B04P004L03_O_12,145,19,96,115
M001B04P004L03_O_13,117,37,123,103
M001B04P004L03_O_14,2,0,37,5
M001B04P004L03_O_15,110,52,123,223
M001B04P004L03_O_16,121,26,87,120
M001B04P004L03_O_17,134,38,93,133
M001B04P004L03_O_18,131,44,126,140
M001B04P004L03_O_19,137,31,126,126
M001B04P004L03_O_20,137,41,119,140
M001B04P004L03_O_21,151,51,140,205
M001B04P004L03_O_22,153,21,135,150
M001B04P004L03_O_23,126,21,117,96
M001B04P004L03_O_24,139,19,116,109
M001B04P004L03_P_01,142,30,138,141
M001B04P004L03_P_02,129,17,78,63
M001B04P004L03_P_03,118,34,113,158
M001B04P004L03_P_04,108,17,89,81
M001B04P004L03_P_05,139,42,126,221
M001B04P004L03_P_06,140,32,97,161
M001B04P004L03_P_07,111,34,157,118
M001B04P004L03_P_08,124,24,147,126
M001B04P004L03_P_09,95,40,104,149
M001B04P004L03_P_10,82,27,69,79
M001B04P004L03_P_11,85,29,96,89
M001B04P004L03_P_12,136,35,130,123
M001B04P004L03_P_13,83,33,89,146
M001B04P004L03_P_14,124,20,120,119
M001B04P004L03_P_15,107,23,70,71
M001B04P004L03_P_16,124,55,166,238
M001B04P004L03_P_17,115,26,104,111
M001B04P004L03_P_18,119,52,92,142
M001B04P004L03_P_19,143,20,137,107
M001B04P004L03_P_20,137,36,92,127
M001B04P004L03_P_21,143,60,61,160
M001B04P004L03_P_22,140,29,95,128
M001B04P004L03_P_23,139,36,98,119
M001B04P004L03_P_24,143,26,80,100
