,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001W01P010L03_G_07,20,10,1,8
M001W01P010L03_G_08,74,15,5,13
M001W01P010L03_G_09,54,23,3,10
M001W01P010L03_G_10,48,21,2,21
M001W01P010L03_G_11,104,6,3,19
M001W01P010L03_G_12,70,20,2,15
M001W01P010L03_G_13,77,11,3,23
M001W01P010L03_G_14,106,8,13,58
M001W01P010L03_G_15,51,19,4,20
M001W01P010L03_G_16,97,3,5,17
M001W01P010L03_G_17,77,4,9,28
M001W01P010L03_G_18,77,6,11,25
M001W01P010L03_G_19,66,10,7,15
M001W01P010L03_G_20,61,21,2,23
M001W01P010L03_G_21,60,17,2,13
M001W01P010L03_G_22,48,17,0,15
M001W01P010L03_G_23,36,19,3,11
M001W01P010L03_G_24,48,28,6,21
M001W01P010L03_H_01,45,28,7,18
M001W01P010L03_H_02,74,8,7,23
M001W01P010L03_H_03,44,14,3,31
M001W01P010L03_H_04,31,26,2,31
M001W01P010L03_H_05,84,6,3,23
M001W01P010L03_H_06,69,12,4,20
M001W01P010L03_H_07,109,9,8,18
M001W01P010L03_H_08,58,23,4,11
M001W01P010L03_H_09,43,22,3,18
M001W01P010L03_H_10,15,8,11,57
M001W01P010L03_H_11,64,16,5,22
M001W01P010L03_H_12,73,17,4,15
M001W01P010L03_H_13,43,17,4,66
M001W01P010L03_H_14,84,7,8,12
M001W01P010L03_H_15,60,18,4,22
M001W01P010L03_H_16,66,11,2,12
M001W01P010L03_H_17,46,18,10,14
M001W01P010L03_H_18,55,15,1,12
M001W01P010L03_H_19,35,17,2,21
M001W01P010L03_H_20,35,25,3,15
M001W01P010L03_H_21,39,25,2,27
M001W01P010L03_H_22,11,6,12,43
M001W01P010L03_H_23,54,21,0,18
M001W01P010L03_H_24,89,13,6,20
M001W01P010L03_I_01,25,9,19,147
M001W01P010L03_I_02,111,14,1,17
M001W01P010L03_I_03,49,10,11,84
M001W01P010L03_I_04,68,21,7,18
M001W01P010L03_I_05,83,10,6,18
M001W01P010L03_I_06,90,10,7,35
M001W01P010L03_I_07,90,10,4,15
M001W01P010L03_I_08,71,27,7,28
M001W01P010L03_I_09,41,14,12,37
M001W01P010L03_I_10,103,8,10,16
M001W01P010L03_I_11,101,9,2,24
M001W01P010L03_I_12,121,11,12,20
M001W01P010L03_I_13,100,7,7,26
M001W01P010L03_I_14,85,12,7,24
M001W01P010L03_I_15,87,19,10,37
M001W01P010L03_I_16,95,12,8,52
M001W01P010L03_I_17,82,13,6,19
M001W01P010L03_I_18,118,10,4,30
M001W01P010L03_I_19,67,9,31,57
M001W01P010L03_I_20,62,9,5,10
M001W01P010L03_I_21,49,15,3,21
M001W01P010L03_I_22,60,24,4,20
M001W01P010L03_I_23,96,15,6,30
M001W01P010L03_I_24,54,16,7,17
M001W01P010L03_J_01,81,19,6,14
M001W01P010L03_J_02,94,12,9,38
M001W01P010L03_J_03,50,24,4,11
M001W01P010L03_J_04,86,14,2,32
M001W01P010L03_J_05,21,14,6,16
M001W01P010L03_J_06,76,12,9,17
M001W01P010L03_J_07,104,7,8,22
M001W01P010L03_J_08,110,5,6,31
M001W01P010L03_J_09,89,10,5,41
M001W01P010L03_J_10,68,12,7,32
M001W01P010L03_J_11,88,22,2,23
M001W01P010L03_J_12,98,12,9,28
M001W01P010L03_J_13,45,6,26,88
M001W01P010L03_J_14,96,10,5,18
M001W01P010L03_J_15,73,9,15,46
M001W01P010L03_J_16,70,12,3,36
M001W01P010L03_J_17,36,14,10,27
M001W01P010L03_J_18,57,15,2,18
M001W01P010L03_J_19,44,11,7,30
M001W01P010L03_J_20,59,27,2,23
M001W01P010L03_J_21,52,10,4,28
M001W01P010L03_J_22,20,18,7,34
M001W01P010L03_J_23,45,22,2,20
M001W01P010L03_J_24,45,24,2,19
M001W01P010L03_K_01,34,10,11,107
M001W01P010L03_K_02,56,17,4,32
M001W01P010L03_K_03,44,7,3,29
M001W01P010L03_K_04,72,12,7,11
M001W01P010L03_K_05,70,15,4,19
M001W01P010L03_K_06,55,5,13,73
M001W01P010L03_K_07,42,7,2,25
M001W01P010L03_K_08,88,19,3,40
M001W01P010L03_K_09,47,2,11,20
M001W01P010L03_K_10,67,22,5,33
M001W01P010L03_K_11,109,12,6,23
M001W01P010L03_K_12,84,16,4,29
M001W01P010L03_K_13,41,3,25,103
M001W01P010L03_K_14,74,18,5,24
M001W01P010L03_K_15,76,11,4,17
M001W01P010L03_K_16,84,13,8,20
M001W01P010L03_K_17,26,11,5,41
M001W01P010L03_K_18,87,21,3,13
M001W01P010L03_K_19,49,16,2,6
M001W01P010L03_K_20,61,12,3,19
M001W01P010L03_K_21,49,8,13,21
M001W01P010L03_K_22,68,15,9,23
M001W01P010L03_K_23,53,18,2,12
M001W01P010L03_K_24,22,31,4,13
M001W01P010L03_L_01,59,17,2,20
M001W01P010L03_L_02,26,22,3,38
M001W01P010L03_L_03,48,28,5,28
M001W01P010L03_L_04,40,33,3,13
M001W01P010L03_L_05,48,29,3,23
M001W01P010L03_L_06,57,20,2,46
M001W01P010L03_L_07,42,20,7,42
M001W01P010L03_L_08,43,24,2,15
M001W01P010L03_L_09,36,15,11,222
M001W01P010L03_L_10,54,27,4,22
M001W01P010L03_L_11,81,7,4,29
M001W01P010L03_L_12,70,15,4,17
M001W01P010L03_L_13,59,16,2,16
M001W01P010L03_L_14,73,17,4,16
M001W01P010L03_L_15,65,21,2,24
M001W01P010L03_L_16,54,11,1,20
M001W01P010L03_L_17,78,9,5,20
M001W01P010L03_L_18,53,18,3,35
M001W01P010L03_L_19,62,14,5,32
M001W01P010L03_L_20,67,14,0,17
M001W01P010L03_L_21,51,17,1,26
M001W01P010L03_L_22,29,26,2,14
M001W01P010L03_L_23,61,23,5,21
M001W01P010L03_L_24,47,26,4,21
M001W01P010L03_M_01,53,7,4,27
M001W01P010L03_M_02,82,11,7,21
M001W01P010L03_M_03,29,2,9,21
M001W01P010L03_M_04,58,12,1,16
M001W01P010L03_M_05,17,12,11,79
M001W01P010L03_M_06,42,22,7,6
M001W01P010L03_M_07,66,24,10,54
M001W01P010L03_M_08,60,13,2,18
M001W01P010L03_M_09,71,13,4,25
M001W01P010L03_M_10,73,11,4,24
M001W01P010L03_M_11,37,1,20,48
M001W01P010L03_M_12,69,12,8,28
M001W01P010L03_M_13,38,20,1,23
M001W01P010L03_M_14,36,7,11,60
M001W01P010L03_M_15,63,14,7,19
M001W01P010L03_M_16,78,20,4,48
M001W01P010L03_M_17,31,7,13,50
M001W01P010L03_M_18,69,12,3,19
M001W01P010L03_M_19,34,10,6,9
M001W01P010L03_M_20,48,26,4,42
M001W01P010L03_M_21,35,27,0,14
M001W01P010L03_M_22,40,35,0,19
M001W01P010L03_M_23,33,31,2,7
M001W01P010L03_M_24,59,21,3,16
M001W01P010L03_N_01,37,28,0,18
M001W01P010L03_N_02,34,21,4,11
M001W01P010L03_N_03,55,21,4,14
M001W01P010L03_N_04,44,18,1,15
M001W01P010L03_N_05,29,12,2,12
M001W01P010L03_N_06,46,19,2,25
M001W01P010L03_N_07,51,16,6,20
M001W01P010L03_N_08,60,15,6,24
M001W01P010L03_N_09,43,22,3,24
M001W01P010L03_N_10,49,19,2,17
M001W01P010L03_N_11,59,18,0,16
M001W01P010L03_N_12,37,17,5,7
M001W01P010L03_N_13,39,9,4,7
M001W01P010L03_N_14,51,25,6,6
M001W01P010L03_N_15,42,20,3,17
M001W01P010L03_N_16,39,25,1,11
M001W01P010L03_N_17,38,24,5,35
M001W01P010L03_N_18,50,19,3,33
M001W01P010L03_N_19,67,19,5,24
M001W01P010L03_N_20,40,23,3,12
M001W01P010L03_N_21,42,13,7,19
M001W01P010L03_N_22,34,20,3,15
M001W01P010L03_N_23,47,24,2,13
M001W01P010L03_N_24,54,16,5,19
M001W01P010L03_O_01,20,6,26,114
M001W01P010L03_O_02,33,21,6,18
M001W01P010L03_O_03,34,29,0,10
M001W01P010L03_O_04,48,22,6,16
M001W01P010L03_O_05,60,19,3,14
M001W01P010L03_O_06,76,21,4,28
M001W01P010L03_O_07,41,13,4,17
M001W01P010L03_O_08,48,14,1,25
M001W01P010L03_O_09,35,29,2,24
M001W01P010L03_O_10,48,14,4,5
M001W01P010L03_O_11,26,18,4,13
M001W01P010L03_O_12,45,25,1,20
M001W01P010L03_O_13,67,16,5,19
M001W01P010L03_O_14,24,3,18,102
M001W01P010L03_O_15,55,22,3,22
M001W01P010L03_O_16,70,16,6,29
M001W01P010L03_O_17,45,22,1,10
M001W01P010L03_O_18,37,23,3,12
M001W01P010L03_O_19,60,23,5,34
M001W01P010L03_O_20,50,20,4,27
M001W01P010L03_O_21,75,22,6,14
M001W01P010L03_O_22,36,25,0,12
M001W01P010L03_O_23,69,28,4,21
M001W01P010L03_O_24,66,23,0,23
M001W01P010L03_P_01,57,19,4,19
M001W01P010L03_P_02,50,13,1,23
M001W01P010L03_P_03,84,16,5,36
M001W01P010L03_P_04,85,13,5,19
M001W01P010L03_P_05,111,10,7,28
M001W01P010L03_P_06,81,14,3,24
M001W01P010L03_P_07,73,27,13,153
M001W01P010L03_P_08,48,28,0,38
M001W01P010L03_P_09,80,23,3,16
M001W01P010L03_P_10,36,11,10,59
M001W01P010L03_P_11,43,17,2,12
M001W01P010L03_P_12,43,18,2,17
M001W01P010L03_P_13,24,17,0,18
M001W01P010L03_P_14,76,11,6,43
M001W01P010L03_P_15,90,18,4,59
M001W01P010L03_P_16,95,9,4,28
M001W01P010L03_P_17,69,12,4,23
M001W01P010L03_P_18,64,8,10,18
M001W01P010L03_P_19,63,21,2,16
M001W01P010L03_P_20,55,21,3,18
M001W01P010L03_P_21,71,10,5,28
M001W01P010L03_P_22,58,16,6,29
M001W01P010L03_P_23,59,15,6,19
M001W01P010L03_P_24,70,19,2,15
