,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D020T01P006L03_A_01,241,16,13,180
D020T01P006L03_A_02,229,19,8,140
D020T01P006L03_A_03,123,23,30,371
D020T01P006L03_A_04,198,16,11,132
D020T01P006L03_A_05,103,20,26,332
D020T01P006L03_A_06,110,16,32,245
D020T01P006L03_A_07,102,13,54,284
D020T01P006L03_A_08,217,8,16,163
D020T01P006L03_A_09,179,24,39,498
D020T01P006L03_A_10,213,13,16,169
D020T01P006L03_A_11,96,15,35,362
D020T01P006L03_A_12,226,17,12,169
D020T01P006L03_A_13,95,34,28,587
D020T01P006L03_A_14,219,13,15,143
D020T01P006L03_A_15,232,15,19,161
D020T01P006L03_A_16,201,21,10,133
D020T01P006L03_A_17,230,19,10,197
D020T01P006L03_A_18,223,20,8,153
D020T01P006L03_A_19,182,22,14,263
D020T01P006L03_A_20,257,26,15,211
D020T01P006L03_A_21,83,16,34,294
D020T01P006L03_A_22,214,16,16,169
D020T01P006L03_A_23,204,22,16,155
D020T01P006L03_A_24,203,12,10,156
D020T01P006L03_B_01,99,29,35,322
D020T01P006L03_B_02,192,11,16,152
D020T01P006L03_B_03,204,9,13,129
D020T01P006L03_B_04,213,12,26,162
D020T01P006L03_B_05,111,9,56,389
D020T01P006L03_B_06,221,13,15,138
D020T01P006L03_B_07,206,8,15,198
D020T01P006L03_B_08,238,21,12,152
D020T01P006L03_B_09,199,10,16,167
D020T01P006L03_B_10,260,20,20,174
D020T01P006L03_B_11,72,12,49,217
D020T01P006L03_B_12,112,13,21,296
D020T01P006L03_B_13,208,11,12,152
D020T01P006L03_B_14,201,17,13,135
D020T01P006L03_B_15,185,36,14,259
D020T01P006L03_B_16,245,14,13,171
D020T01P006L03_B_17,202,12,63,349
D020T01P006L03_B_18,227,20,15,163
D020T01P006L03_B_19,233,11,17,146
D020T01P006L03_B_20,194,19,11,128
D020T01P006L03_B_21,243,9,13,116
D020T01P006L03_B_22,214,25,19,180
D020T01P006L03_B_23,205,14,11,149
D020T01P006L03_B_24,214,18,9,130
D020T01P006L03_C_01,250,15,20,206
D020T01P006L03_C_02,225,22,13,178
D020T01P006L03_C_03,205,21,20,182
D020T01P006L03_C_04,209,18,22,143
D020T01P006L03_C_05,250,11,54,317
D020T01P006L03_C_06,216,21,12,202
D020T01P006L03_C_07,186,21,21,250
D020T01P006L03_C_08,240,28,22,209
D020T01P006L03_C_09,162,41,16,510
D020T01P006L03_C_10,196,10,20,151
