,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D019T01P002L03_A_01,556,22,98,313
D019T01P002L03_A_02,505,17,120,270
D019T01P002L03_A_03,492,12,273,430
D019T01P002L03_A_04,524,25,75,282
D019T01P002L03_A_05,273,24,281,303
D019T01P002L03_A_06,192,14,452,302
D019T01P002L03_A_07,176,0,717,276
D019T01P002L03_A_08,499,19,83,262
D019T01P002L03_A_09,548,20,172,392
D019T01P002L03_A_10,542,17,106,267
D019T01P002L03_A_11,290,11,714,443
D019T01P002L03_A_12,537,14,81,328
D019T01P002L03_A_13,303,26,484,687
D019T01P002L03_A_14,546,16,95,286
D019T01P002L03_A_15,545,33,70,322
D019T01P002L03_A_16,503,30,88,282
D019T01P002L03_A_17,532,44,98,375
D019T01P002L03_A_18,510,19,82,300
D019T01P002L03_A_19,524,12,260,458
D019T01P002L03_A_20,562,21,103,334
D019T01P002L03_A_21,157,1,1012,552
D019T01P002L03_A_22,562,15,93,256
D019T01P002L03_A_23,520,13,79,288
D019T01P002L03_A_24,555,19,84,279
D019T01P002L03_B_01,516,16,148,356
D019T01P002L03_B_02,544,8,81,299
D019T01P002L03_B_03,534,12,146,233
D019T01P002L03_B_04,575,16,87,299
D019T01P002L03_B_05,199,4,443,309
D019T01P002L03_B_06,555,11,109,244
D019T01P002L03_B_07,505,27,93,252
D019T01P002L03_B_08,291,28,609,589
D019T01P002L03_B_09,499,17,86,332
D019T01P002L03_B_10,537,29,101,270
D019T01P002L03_B_11,189,5,581,241
D019T01P002L03_B_12,466,16,426,584
D019T01P002L03_B_13,529,32,75,276
D019T01P002L03_B_14,565,14,74,279
D019T01P002L03_B_15,491,22,174,375
D019T01P002L03_B_16,513,14,107,245
D019T01P002L03_B_17,377,58,668,854
D019T01P002L03_B_18,564,17,113,248
D019T01P002L03_B_19,557,14,98,221
D019T01P002L03_B_20,493,13,101,277
D019T01P002L03_B_21,554,20,124,306
D019T01P002L03_B_22,542,8,150,266
D019T01P002L03_B_23,528,13,120,279
D019T01P002L03_B_24,515,41,83,302
D019T01P002L03_C_01,544,33,117,352
D019T01P002L03_C_02,513,15,121,287
D019T01P002L03_C_03,472,31,103,394
D019T01P002L03_C_04,620,43,150,374
D019T01P002L03_C_05,309,38,282,322
D019T01P002L03_C_06,631,40,142,365
D019T01P002L03_C_07,477,25,102,299
D019T01P002L03_C_08,573,40,94,384
D019T01P002L03_C_09,347,16,623,640
D019T01P002L03_C_10,556,19,100,264
D019T01P002L03_C_11,204,2,613,308
D019T01P002L03_C_12,612,56,87,389
D019T01P002L03_C_13,490,31,98,251
D019T01P002L03_C_14,458,61,143,393
D019T01P002L03_C_15,448,38,178,465
D019T01P002L03_C_16,507,14,111,245
D019T01P002L03_C_17,500,34,129,376
D019T01P002L03_C_18,526,25,94,281
D019T01P002L03_C_19,507,23,107,275
D019T01P002L03_C_20,516,17,97,293
D019T01P002L03_C_21,383,3,535,439
D019T01P002L03_C_22,504,12,109,254
D019T01P002L03_C_23,552,18,119,237
D019T01P002L03_C_24,539,17,106,234
D019T01P002L03_D_01,470,11,144,243
D019T01P002L03_D_02,449,57,92,321
D019T01P002L03_D_03,552,31,109,301
D019T01P002L03_D_04,544,11,145,302
D019T01P002L03_D_05,554,19,93,279
D019T01P002L03_D_06,541,9,95,256
D019T01P002L03_D_07,645,28,131,373
D019T01P002L03_D_08,661,61,118,435
D019T01P002L03_D_09,331,7,554,345
D019T01P002L03_D_10,520,22,88,257
D019T01P002L03_D_11,593,29,165,357
D019T01P002L03_D_12,564,17,120,258
D019T01P002L03_D_13,579,52,89,341
D019T01P002L03_D_14,519,15,89,308
D019T01P002L03_D_15,532,24,199,370
