,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D019T01P003L08_G_07,188,32,432,1022
D019T01P003L08_G_08,643,24,113,370
D019T01P003L08_G_09,268,18,627,800
D019T01P003L08_G_10,683,29,127,411
D019T01P003L08_G_11,667,36,120,427
D019T01P003L08_G_12,674,22,118,345
D019T01P003L08_G_13,641,30,111,443
D019T01P003L08_G_14,663,24,131,357
D019T01P003L08_G_15,662,23,141,418
D019T01P003L08_G_16,650,19,100,401
D019T01P003L08_G_17,712,22,192,424
D019T01P003L08_G_18,688,19,138,413
D019T01P003L08_G_19,711,35,151,465
D019T01P003L08_G_20,699,35,183,418
D019T01P003L08_G_21,640,47,135,515
D019T01P003L08_G_22,658,19,137,371
D019T01P003L08_G_23,576,9,300,436
D019T01P003L08_G_24,635,42,169,626
D019T01P003L08_H_01,597,23,97,385
D019T01P003L08_H_02,663,52,150,571
D019T01P003L08_H_03,643,21,97,406
D019T01P003L08_H_04,693,17,139,344
D019T01P003L08_H_05,241,10,583,722
D019T01P003L08_H_06,395,51,441,909
D019T01P003L08_H_07,624,24,111,370
D019T01P003L08_H_08,659,28,103,418
D019T01P003L08_H_09,678,31,126,406
D019T01P003L08_H_10,630,21,118,331
D019T01P003L08_H_11,669,20,168,421
D019T01P003L08_H_12,649,28,121,422
D019T01P003L08_H_13,639,22,118,391
D019T01P003L08_H_14,274,21,637,775
D019T01P003L08_H_15,617,19,232,725
D019T01P003L08_H_16,666,6,148,386
D019T01P003L08_H_17,664,17,125,470
D019T01P003L08_H_18,697,15,145,421
D019T01P003L08_H_19,448,49,417,1057
D019T01P003L08_H_20,694,37,129,416
D019T01P003L08_H_21,659,17,172,518
D019T01P003L08_H_22,615,32,174,501
D019T01P003L08_H_23,712,9,143,385
D019T01P003L08_H_24,433,11,297,608
D019T01P003L08_I_01,614,11,141,405
D019T01P003L08_I_02,619,28,113,401
D019T01P003L08_I_03,590,17,110,367
D019T01P003L08_I_04,645,14,132,294
D019T01P003L08_I_05,604,31,78,409
D019T01P003L08_I_06,661,9,122,310
D019T01P003L08_I_07,624,39,84,368
D019T01P003L08_I_08,636,19,110,385
D019T01P003L08_I_09,613,33,99,375
D019T01P003L08_I_10,569,14,323,655
D019T01P003L08_I_11,507,17,443,666
D019T01P003L08_I_12,548,38,95,481
D019T01P003L08_I_13,596,13,395,593
D019T01P003L08_I_14,625,14,138,391
D019T01P003L08_I_15,328,36,434,972
D019T01P003L08_I_16,670,29,149,478
D019T01P003L08_I_17,647,22,129,382
D019T01P003L08_I_18,485,38,239,748
D019T01P003L08_I_19,323,17,420,868
D019T01P003L08_I_20,644,17,161,450
D019T01P003L08_I_21,459,7,668,799
D019T01P003L08_I_22,478,35,544,955
D019T01P003L08_I_23,653,35,111,438
D019T01P003L08_I_24,621,22,114,351
D019T01P003L08_J_01,651,26,116,375
D019T01P003L08_J_02,594,25,108,394
D019T01P003L08_J_03,588,33,120,376
D019T01P003L08_J_04,632,20,241,470
D019T01P003L08_J_05,638,24,155,389
D019T01P003L08_J_06,637,37,122,379
D019T01P003L08_J_07,431,10,500,728
D019T01P003L08_J_08,685,27,98,396
D019T01P003L08_J_09,647,37,100,378
D019T01P003L08_J_10,97,27,390,933
D019T01P003L08_J_11,618,32,128,400
D019T01P003L08_J_12,662,30,97,360
D019T01P003L08_J_13,389,45,439,1187
D019T01P003L08_J_14,703,18,146,383
D019T01P003L08_J_15,670,22,130,436
D019T01P003L08_J_16,709,27,94,338
D019T01P003L08_J_17,642,20,120,364
D019T01P003L08_J_18,572,27,226,643
D019T01P003L08_J_19,261,53,526,1022
D019T01P003L08_J_20,384,42,554,1067
D019T01P003L08_J_21,249,1,519,497
D019T01P003L08_J_22,686,12,138,422
D019T01P003L08_J_23,653,27,246,577
D019T01P003L08_J_24,691,20,116,428
D019T01P003L08_K_01,634,28,124,417
D019T01P003L08_K_02,678,30,129,448
