,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001K02P011L04_A_01,111,30,121,615
M001K02P011L04_A_02,158,17,26,118
M001K02P011L04_A_03,92,16,17,36
M001K02P011L04_A_04,128,19,14,50
M001K02P011L04_A_05,115,25,39,192
M001K02P011L04_A_06,117,17,22,72
M001K02P011L04_A_07,131,23,9,26
M001K02P011L04_A_08,139,15,22,96
M001K02P011L04_A_09,138,24,28,165
M001K02P011L04_A_10,145,15,16,45
M001K02P011L04_A_11,40,9,28,76
M001K02P011L04_A_12,142,19,23,38
M001K02P011L04_A_13,115,19,21,43
M001K02P011L04_A_14,96,23,39,176
M001K02P011L04_A_15,129,12,14,27
M001K02P011L04_A_16,107,16,15,50
M001K02P011L04_A_17,128,11,24,62
M001K02P011L04_A_18,89,27,20,54
M001K02P011L04_A_19,128,9,18,48
M001K02P011L04_A_20,93,15,26,96
M001K02P011L04_A_21,107,19,17,34
M001K02P011L04_A_22,155,22,21,110
M001K02P011L04_A_23,140,7,16,34
M001K02P011L04_A_24,118,19,21,51
M001K02P011L04_B_01,106,17,19,133
M001K02P011L04_B_02,104,23,14,92
M001K02P011L04_B_03,85,38,51,341
M001K02P011L04_B_04,127,19,16,47
M001K02P011L04_B_05,138,13,22,25
M001K02P011L04_B_06,99,23,17,42
M001K02P011L04_B_07,67,34,18,173
M001K02P011L04_B_08,90,27,12,32
M001K02P011L04_B_09,97,13,19,39
M001K02P011L04_B_10,134,16,16,65
M001K02P011L04_B_11,92,29,15,30
M001K02P011L04_B_12,90,23,11,124
M001K02P011L04_B_13,108,17,23,120
M001K02P011L04_B_14,113,17,10,63
M001K02P011L04_B_15,109,17,17,64
M001K02P011L04_B_16,130,17,10,50
M001K02P011L04_B_17,119,18,12,66
M001K02P011L04_B_18,114,16,13,75
M001K02P011L04_B_19,55,22,14,48
M001K02P011L04_B_20,106,19,31,117
M001K02P011L04_B_21,100,16,15,45
M001K02P011L04_B_22,125,24,20,48
M001K02P011L04_B_23,121,16,12,37
M001K02P011L04_B_24,108,28,18,137
M001K02P011L04_C_01,119,19,20,98
M001K02P011L04_C_02,118,23,11,55
M001K02P011L04_C_03,52,3,62,104
M001K02P011L04_C_04,129,25,23,107
M001K02P011L04_C_05,143,18,12,58
M001K02P011L04_C_06,127,23,13,73
M001K02P011L04_C_07,120,16,16,39
M001K02P011L04_C_08,146,17,14,43
M001K02P011L04_C_09,121,28,10,35
M001K02P011L04_C_10,128,23,15,141
M001K02P011L04_C_11,103,38,7,158
M001K02P011L04_C_12,112,24,23,143
M001K02P011L04_C_13,107,27,13,43
M001K02P011L04_C_14,120,9,19,58
M001K02P011L04_C_15,109,28,10,53
M001K02P011L04_C_16,100,25,19,125
M001K02P011L04_C_17,118,23,17,71
M001K02P011L04_C_18,132,8,17,74
M001K02P011L04_C_19,109,28,21,105
M001K02P011L04_C_20,117,17,11,64
M001K02P011L04_C_21,102,22,5,54
M001K02P011L04_C_22,100,19,9,47
M001K02P011L04_C_23,105,20,17,163
M001K02P011L04_C_24,87,15,10,25
M001K02P011L04_D_01,121,20,18,122
M001K02P011L04_D_02,123,19,13,59
M001K02P011L04_D_03,112,17,14,82
M001K02P011L04_D_04,114,22,22,116
M001K02P011L04_D_05,139,23,15,56
M001K02P011L04_D_06,145,16,16,42
M001K02P011L04_D_07,112,30,16,86
M001K02P011L04_D_08,111,16,9,45
M001K02P011L04_D_09,110,28,13,106
M001K02P011L04_D_10,126,25,14,120
M001K02P011L04_D_11,91,24,14,47
M001K02P011L04_D_12,112,21,22,38
M001K02P011L04_D_13,103,13,7,82
M001K02P011L04_D_14,140,8,20,51
M001K02P011L04_D_15,119,24,10,43
M001K02P011L04_D_16,92,26,14,29
M001K02P011L04_D_17,107,29,18,85
M001K02P011L04_D_18,115,26,14,41
M001K02P011L04_D_19,92,28,8,63
M001K02P011L04_D_20,93,27,11,34
M001K02P011L04_D_21,107,24,14,50
M001K02P011L04_D_22,109,15,15,91
M001K02P011L04_D_23,112,31,15,43
M001K02P011L04_D_24,92,20,13,48
M001K02P011L04_E_01,125,9,17,44
M001K02P011L04_E_02,123,8,11,41
M001K02P011L04_E_03,108,22,22,179
M001K02P011L04_E_04,136,18,28,59
M001K02P011L04_E_05,113,19,14,53
M001K02P011L04_E_06,105,23,15,74
M001K02P011L04_E_07,106,15,18,24
M001K02P011L04_E_08,131,16,14,41
M001K02P011L04_E_09,121,8,16,32
M001K02P011L04_E_10,109,10,19,45
M001K02P011L04_E_11,115,21,7,40
M001K02P011L04_E_12,109,5,40,25
M001K02P011L04_E_13,131,17,34,171
M001K02P011L04_E_14,114,20,11,42
M001K02P011L04_E_15,73,6,54,93
M001K02P011L04_E_16,142,7,15,32
M001K02P011L04_E_17,97,18,6,26
M001K02P011L04_E_18,113,15,11,27
M001K02P011L04_E_19,100,18,9,32
M001K02P011L04_E_20,100,22,13,41
M001K02P011L04_E_21,94,22,7,27
M001K02P011L04_E_22,125,13,8,62
M001K02P011L04_E_23,87,27,12,31
M001K02P011L04_E_24,88,21,19,35
M001K02P011L04_F_01,113,12,5,35
M001K02P011L04_F_02,124,14,15,40
M001K02P011L04_F_03,79,8,43,104
M001K02P011L04_F_04,136,20,12,69
M001K02P011L04_F_05,186,11,12,55
M001K02P011L04_F_06,125,22,13,120
M001K02P011L04_F_07,121,16,16,53
M001K02P011L04_F_08,119,16,8,32
M001K02P011L04_F_09,112,30,21,150
M001K02P011L04_F_10,103,27,16,118
M001K02P011L04_F_11,106,19,6,39
M001K02P011L04_F_12,109,16,13,73
M001K02P011L04_F_13,123,16,10,62
M001K02P011L04_F_14,76,15,58,139
M001K02P011L04_F_15,124,17,6,36
M001K02P011L04_F_16,105,19,18,48
M001K02P011L04_F_17,77,18,30,91
M001K02P011L04_F_18,110,16,10,41
M001K02P011L04_F_19,94,9,12,31
M001K02P011L04_F_20,93,27,7,100
M001K02P011L04_F_21,98,16,16,53
M001K02P011L04_F_22,105,25,36,129
M001K02P011L04_F_23,122,30,32,195
M001K02P011L04_F_24,101,26,14,50
M001K02P011L04_G_01,124,19,7,21
M001K02P011L04_G_02,120,21,10,45
M001K02P011L04_G_03,86,15,9,43
M001K02P011L04_G_04,148,25,16,96
M001K02P011L04_G_05,21,11,5,29
M001K02P011L04_G_06,110,26,11,81
M001K02P011L04_G_07,100,20,7,42
M001K02P011L04_G_08,125,32,14,153
M001K02P011L04_G_09,101,20,8,45
M001K02P011L04_G_10,122,31,13,162
M001K02P011L04_G_11,94,31,10,73
