,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D020T01P005L02_A_01,248,13,17,158
D020T01P005L02_A_02,244,12,17,125
D020T01P005L02_A_03,247,18,9,153
D020T01P005L02_A_04,272,13,17,182
D020T01P005L02_A_05,251,22,10,117
D020T01P005L02_A_06,235,16,13,158
D020T01P005L02_A_07,215,21,22,174
D020T01P005L02_A_08,240,12,14,122
D020T01P005L02_A_09,269,22,15,158
D020T01P005L02_A_10,233,23,9,163
D020T01P005L02_A_11,272,16,9,143
D020T01P005L02_A_12,195,36,31,345
D020T01P005L02_A_13,243,17,19,128
D020T01P005L02_A_14,278,22,18,166
D020T01P005L02_A_15,193,20,45,292
D020T01P005L02_A_16,248,6,20,155
D020T01P005L02_A_17,81,25,95,308
D020T01P005L02_A_18,248,15,15,186
D020T01P005L02_A_19,199,17,9,113
D020T01P005L02_A_20,212,11,15,124
D020T01P005L02_A_21,221,10,25,155
D020T01P005L02_A_22,203,16,18,132
D020T01P005L02_A_23,242,6,22,140
D020T01P005L02_A_24,208,13,7,141
D020T01P005L02_B_01,191,32,11,164
D020T01P005L02_B_02,222,21,23,165
D020T01P005L02_B_03,145,28,19,264
D020T01P005L02_B_04,207,27,10,130
D020T01P005L02_B_05,142,24,20,313
D020T01P005L02_B_06,195,25,38,118
D020T01P005L02_B_07,188,19,31,181
D020T01P005L02_B_08,212,22,4,138
D020T01P005L02_B_09,199,31,21,192
D020T01P005L02_B_10,225,12,21,158
D020T01P005L02_B_11,265,21,12,152
D020T01P005L02_B_12,256,25,19,132
D020T01P005L02_B_13,221,20,11,129
D020T01P005L02_B_14,216,20,12,152
D020T01P005L02_B_15,177,10,61,179
D020T01P005L02_B_16,223,19,11,113
D020T01P005L02_B_17,135,37,65,522
D020T01P005L02_B_18,224,14,14,121
D020T01P005L02_B_19,192,9,65,377
D020T01P005L02_B_20,211,16,12,113
D020T01P005L02_B_21,224,11,16,203
D020T01P005L02_B_22,243,11,17,107
D020T01P005L02_B_23,254,10,17,139
D020T01P005L02_B_24,242,18,14,136
D020T01P005L02_C_01,280,28,12,185
D020T01P005L02_C_02,230,22,9,241
D020T01P005L02_C_03,230,16,32,242
D020T01P005L02_C_04,267,11,36,198
D020T01P005L02_C_05,254,10,14,167
D020T01P005L02_C_06,251,29,15,162
D020T01P005L02_C_07,232,24,19,134
D020T01P005L02_C_08,243,17,17,168
D020T01P005L02_C_09,117,19,46,265
D020T01P005L02_C_10,258,16,19,128
D020T01P005L02_C_11,246,26,12,177
D020T01P005L02_C_12,263,20,9,177
D020T01P005L02_C_13,246,22,20,131
D020T01P005L02_C_14,256,27,15,161
D020T01P005L02_C_15,260,10,28,168
D020T01P005L02_C_16,275,13,14,181
D020T01P005L02_C_17,248,20,10,161
D020T01P005L02_C_18,162,13,109,272
D020T01P005L02_C_19,234,13,13,137
D020T01P005L02_C_20,293,24,28,209
D020T01P005L02_C_21,135,18,43,307
D020T01P005L02_C_22,227,13,11,162
D020T01P005L02_C_23,205,15,12,148
D020T01P005L02_C_24,227,11,6,179
D020T01P005L02_D_01,257,9,7,145
D020T01P005L02_D_02,190,24,14,131
D020T01P005L02_D_03,225,15,14,125
D020T01P005L02_D_04,257,18,13,125
D020T01P005L02_D_05,233,19,28,315
D020T01P005L02_D_06,248,24,18,163
D020T01P005L02_D_07,140,34,71,503
D020T01P005L02_D_08,257,26,18,155
D020T01P005L02_D_09,195,21,33,146
D020T01P005L02_D_10,200,5,22,145
D020T01P005L02_D_11,303,27,10,211
D020T01P005L02_D_12,214,17,20,119
D020T01P005L02_D_13,234,12,12,134
D020T01P005L02_D_14,244,16,12,164
D020T01P005L02_D_15,117,16,42,203
D020T01P005L02_D_16,221,18,10,123
D020T01P005L02_D_17,224,14,12,158
D020T01P005L02_D_18,207,28,14,130
D020T01P005L02_D_19,183,30,22,137
D020T01P005L02_D_20,221,10,13,138
D020T01P005L02_D_21,266,21,11,147
D020T01P005L02_D_22,257,11,16,140
D020T01P005L02_D_23,235,24,15,138
D020T01P005L02_D_24,250,8,17,152
D020T01P005L02_E_01,219,15,19,152
D020T01P005L02_E_02,237,14,21,149
D020T01P005L02_E_03,256,17,14,121
D020T01P005L02_E_04,207,15,16,125
D020T01P005L02_E_05,127,6,57,220
D020T01P005L02_E_06,219,19,12,173
D020T01P005L02_E_07,170,25,36,308
D020T01P005L02_E_08,229,12,21,156
D020T01P005L02_E_09,218,17,16,129
D020T01P005L02_E_10,261,21,10,198
D020T01P005L02_E_11,252,6,81,232
D020T01P005L02_E_12,281,15,17,170
D020T01P005L02_E_13,199,27,22,272
D020T01P005L02_E_14,218,8,13,170
D020T01P005L02_E_15,250,10,11,149
D020T01P005L02_E_16,248,19,24,120
D020T01P005L02_E_17,252,13,22,174
D020T01P005L02_E_18,254,27,19,269
D020T01P005L02_E_19,211,22,17,122
D020T01P005L02_E_20,258,12,41,190
D020T01P005L02_E_21,93,27,70,346
D020T01P005L02_E_22,289,29,15,190
D020T01P005L02_E_23,229,17,11,131
D020T01P005L02_E_24,263,14,13,181
D020T01P005L02_F_01,160,27,42,388
D020T01P005L02_F_02,261,15,15,150
D020T01P005L02_F_03,234,25,13,169
D020T01P005L02_F_04,224,17,9,146
D020T01P005L02_F_05,250,18,7,114
D020T01P005L02_F_06,266,13,19,166
D020T01P005L02_F_07,221,16,35,230
D020T01P005L02_F_08,220,9,13,142
D020T01P005L02_F_09,283,23,12,132
D020T01P005L02_F_10,250,12,48,236
D020T01P005L02_F_11,195,12,24,136
D020T01P005L02_F_12,258,24,14,144
