,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D019T01P006L03_A_01,392,19,59,198
D019T01P006L03_A_02,382,33,56,209
D019T01P006L03_A_03,200,88,42,273
D019T01P006L03_A_04,374,27,60,193
D019T01P006L03_A_05,132,86,61,268
D019T01P006L03_A_06,99,34,86,238
D019T01P006L03_A_07,68,22,84,180
D019T01P006L03_A_08,399,54,51,234
D019T01P006L03_A_09,291,65,56,386
D019T01P006L03_A_10,383,31,75,212
D019T01P006L03_A_11,84,49,160,254
D019T01P006L03_A_12,395,31,34,218
D019T01P006L03_A_13,134,65,283,596
D019T01P006L03_A_14,428,30,48,203
D019T01P006L03_A_15,401,25,38,186
D019T01P006L03_A_16,428,29,52,177
D019T01P006L03_A_17,402,24,68,232
D019T01P006L03_A_18,436,31,46,201
D019T01P006L03_A_19,230,103,56,286
D019T01P006L03_A_20,404,21,52,193
D019T01P006L03_A_21,99,63,131,388
D019T01P006L03_A_22,319,70,41,220
D019T01P006L03_A_23,385,28,40,198
D019T01P006L03_A_24,412,16,52,183
D019T01P006L03_B_01,281,57,57,302
D019T01P006L03_B_02,340,27,56,176
D019T01P006L03_B_03,333,52,52,232
D019T01P006L03_B_04,437,20,75,162
D019T01P006L03_B_05,65,61,57,229
D019T01P006L03_B_06,321,54,42,235
D019T01P006L03_B_07,425,25,55,165
D019T01P006L03_B_08,125,87,202,419
D019T01P006L03_B_09,393,17,57,238
D019T01P006L03_B_10,414,18,55,219
D019T01P006L03_B_11,86,34,105,133
D019T01P006L03_B_12,295,51,71,644
D019T01P006L03_B_13,421,45,49,225
D019T01P006L03_B_14,443,12,79,218
D019T01P006L03_B_15,264,82,55,258
D019T01P006L03_B_16,389,15,76,168
D019T01P006L03_B_17,169,91,111,404
D019T01P006L03_B_18,400,18,97,214
D019T01P006L03_B_19,403,25,47,158
D019T01P006L03_B_20,340,37,62,191
D019T01P006L03_B_21,333,36,45,182
D019T01P006L03_B_22,370,35,54,223
D019T01P006L03_B_23,316,56,46,214
D019T01P006L03_B_24,341,45,44,170
D019T01P006L03_C_01,342,34,54,202
D019T01P006L03_C_02,295,51,46,220
D019T01P006L03_C_03,243,37,51,179
D019T01P006L03_C_04,315,35,48,156
D019T01P006L03_C_05,81,50,94,203
D019T01P006L03_C_06,377,33,80,273
D019T01P006L03_C_07,183,127,41,210
D019T01P006L03_C_08,413,20,63,197
D019T01P006L03_C_09,189,64,291,663
D019T01P006L03_C_10,415,13,59,219
D019T01P006L03_C_11,62,28,102,149
D019T01P006L03_C_12,348,57,53,180
D019T01P006L03_C_13,419,14,75,216
D019T01P006L03_C_14,160,121,34,179
D019T01P006L03_C_15,163,118,22,183
D019T01P006L03_C_16,388,31,58,209
D019T01P006L03_C_17,360,60,45,222
D019T01P006L03_C_18,394,16,66,179
D019T01P006L03_C_19,345,44,44,186
D019T01P006L03_C_20,341,48,54,201
D019T01P006L03_C_21,92,108,64,248
