,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D004T01P003L02_A_01,185,11,71,51
D004T01P003L02_A_02,187,4,56,46
D004T01P003L02_A_03,184,7,69,70
D004T01P003L02_A_04,200,5,49,33
D004T01P003L02_A_05,190,6,58,43
D004T01P003L02_A_06,188,10,52,55
D004T01P003L02_A_07,200,14,35,48
D004T01P003L02_A_08,159,10,139,137
D004T01P003L02_A_09,202,5,74,54
D004T01P003L02_A_10,189,11,39,54
D004T01P003L02_A_11,190,8,52,46
D004T01P003L02_A_12,161,15,132,235
D004T01P003L02_A_13,195,9,62,32
D004T01P003L02_A_14,175,3,57,53
D004T01P003L02_A_15,126,17,157,129
D004T01P003L02_A_16,209,4,70,47
D004T01P003L02_A_17,155,16,218,269
D004T01P003L02_A_18,177,12,63,63
D004T01P003L02_A_19,194,10,39,66
D004T01P003L02_A_20,208,6,53,42
D004T01P003L02_A_21,186,10,38,46
D004T01P003L02_A_22,162,20,59,69
D004T01P003L02_A_23,160,13,43,39
D004T01P003L02_A_24,183,15,41,51
D004T01P003L02_B_01,193,9,54,67
D004T01P003L02_B_02,225,6,59,74
D004T01P003L02_B_03,161,14,131,131
D004T01P003L02_B_04,213,5,62,59
D004T01P003L02_B_05,204,13,55,72
D004T01P003L02_B_06,143,2,211,220
D004T01P003L02_B_07,102,15,447,291
D004T01P003L02_B_08,180,17,63,50
D004T01P003L02_B_09,206,6,49,64
D004T01P003L02_B_10,186,5,38,64
D004T01P003L02_B_11,207,10,54,54
D004T01P003L02_B_12,185,11,60,50
D004T01P003L02_B_13,195,10,34,47
D004T01P003L02_B_14,195,13,54,64
D004T01P003L02_B_15,97,18,315,272
D004T01P003L02_B_16,163,10,84,151
D004T01P003L02_B_17,111,27,307,301
D004T01P003L02_B_18,178,13,95,120
D004T01P003L02_B_19,123,10,151,145
D004T01P003L02_B_20,182,13,95,113
D004T01P003L02_B_21,166,3,81,121
D004T01P003L02_B_22,160,12,96,102
D004T01P003L02_B_23,161,15,71,103
D004T01P003L02_B_24,191,7,41,39
D004T01P003L02_C_01,203,12,76,73
D004T01P003L02_C_02,191,18,57,95
D004T01P003L02_C_03,195,4,69,66
D004T01P003L02_C_04,186,2,59,47
D004T01P003L02_C_05,210,4,44,67
D004T01P003L02_C_06,191,3,46,71
D004T01P003L02_C_07,197,17,44,45
D004T01P003L02_C_08,196,6,55,65
D004T01P003L02_C_09,112,18,137,179
D004T01P003L02_C_10,215,14,99,160
D004T01P003L02_C_11,165,7,125,163
D004T01P003L02_C_12,201,7,61,69
D004T01P003L02_C_13,206,3,117,115
D004T01P003L02_C_14,182,10,89,159
D004T01P003L02_C_15,155,10,78,132
D004T01P003L02_C_16,162,4,91,168
D004T01P003L02_C_17,159,15,82,153
D004T01P003L02_C_18,137,10,111,128
D004T01P003L02_C_19,167,9,112,167
D004T01P003L02_C_20,163,9,118,163
D004T01P003L02_C_21,137,13,284,215
D004T01P003L02_C_22,168,14,100,178
D004T01P003L02_C_23,150,15,76,136
D004T01P003L02_C_24,194,12,64,75
D004T01P003L02_D_01,192,5,69,110
D004T01P003L02_D_02,191,5,58,75
D004T01P003L02_D_03,195,3,52,64
D004T01P003L02_D_04,208,6,82,72
