,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001K02P005L04_A_01,109,5,67,172
M001K02P005L04_A_02,94,31,13,42
M001K02P005L04_A_03,50,23,24,23
M001K02P005L04_A_04,136,21,17,40
M001K02P005L04_A_05,110,22,19,62
M001K02P005L04_A_06,108,19,25,26
M001K02P005L04_A_07,92,20,30,22
M001K02P005L04_A_08,97,35,13,44
M001K02P005L04_A_09,102,18,52,146
M001K02P005L04_A_10,85,40,11,41
M001K02P005L04_A_11,30,2,28,37
M001K02P005L04_A_12,119,31,19,63
M001K02P005L04_A_13,119,22,25,38
M001K02P005L04_A_14,85,19,54,147
M001K02P005L04_A_15,97,28,20,50
M001K02P005L04_A_16,97,24,18,40
M001K02P005L04_A_17,127,26,25,81
M001K02P005L04_A_18,74,20,55,132
M001K02P005L04_A_19,100,28,40,113
M001K02P005L04_A_20,94,23,17,55
M001K02P005L04_A_21,112,19,18,46
M001K02P005L04_A_22,95,26,23,81
M001K02P005L04_A_23,89,29,15,64
M001K02P005L04_A_24,108,39,22,74
M001K02P005L04_B_01,80,32,14,32
M001K02P005L04_B_02,125,26,17,58
M001K02P005L04_B_03,109,25,73,201
M001K02P005L04_B_04,111,23,19,46
M001K02P005L04_B_05,112,24,24,52
M001K02P005L04_B_06,107,22,20,50
M001K02P005L04_B_07,86,18,32,71
M001K02P005L04_B_08,149,12,31,38
M001K02P005L04_B_09,118,11,29,46
M001K02P005L04_B_10,109,29,17,51
M001K02P005L04_B_11,125,18,18,75
M001K02P005L04_B_12,138,20,17,46
M001K02P005L04_B_13,97,22,21,46
M001K02P005L04_B_14,113,27,10,25
M001K02P005L04_B_15,111,19,15,53
M001K02P005L04_B_16,111,34,10,55
M001K02P005L04_B_17,113,38,12,71
M001K02P005L04_B_18,125,14,23,62
M001K02P005L04_B_19,79,25,12,39
M001K02P005L04_B_20,123,24,14,48
M001K02P005L04_B_21,123,18,21,38
M001K02P005L04_B_22,107,20,40,119
M001K02P005L04_B_23,107,25,12,56
M001K02P005L04_B_24,109,28,11,40
M001K02P005L04_C_01,118,23,37,137
M001K02P005L04_C_02,128,17,18,42
M001K02P005L04_C_03,58,7,37,98
M001K02P005L04_C_04,127,29,23,60
M001K02P005L04_C_05,130,24,10,37
M001K02P005L04_C_06,132,19,8,49
M001K02P005L04_C_07,91,25,15,47
M001K02P005L04_C_08,124,29,34,90
M001K02P005L04_C_09,112,18,20,60
M001K02P005L04_C_10,143,16,21,46
M001K02P005L04_C_11,122,20,19,47
M001K02P005L04_C_12,109,26,40,175
M001K02P005L04_C_13,86,26,13,46
M001K02P005L04_C_14,96,23,23,34
M001K02P005L04_C_15,109,21,15,48
M001K02P005L04_C_16,108,21,14,35
M001K02P005L04_C_17,123,27,25,38
M001K02P005L04_C_18,114,17,28,38
M001K02P005L04_C_19,99,17,9,43
M001K02P005L04_C_20,119,24,17,50
M001K02P005L04_C_21,139,18,14,44
M001K02P005L04_C_22,108,23,9,41
M001K02P005L04_C_23,108,21,29,37
M001K02P005L04_C_24,123,12,12,30
M001K02P005L04_D_01,70,33,10,32
M001K02P005L04_D_02,130,21,19,47
M001K02P005L04_D_03,138,24,28,77
M001K02P005L04_D_04,128,20,15,44
M001K02P005L04_D_05,119,29,22,111
M001K02P005L04_D_06,112,21,22,55
M001K02P005L04_D_07,106,23,13,45
M001K02P005L04_D_08,122,20,15,40
M001K02P005L04_D_09,104,34,17,55
M001K02P005L04_D_10,113,17,10,50
M001K02P005L04_D_11,98,25,18,31
M001K02P005L04_D_12,126,20,19,41
M001K02P005L04_D_13,122,33,42,147
M001K02P005L04_D_14,128,31,17,51
M001K02P005L04_D_15,134,25,17,56
M001K02P005L04_D_16,109,33,19,95
M001K02P005L04_D_17,124,19,18,48
M001K02P005L04_D_18,142,21,17,39
M001K02P005L04_D_19,87,25,15,89
M001K02P005L04_D_20,168,6,15,63
M001K02P005L04_D_21,98,32,26,39
M001K02P005L04_D_22,98,36,13,90
M001K02P005L04_D_23,117,20,14,53
M001K02P005L04_D_24,104,31,13,34
M001K02P005L04_E_01,127,18,23,42
M001K02P005L04_E_02,138,24,12,88
M001K02P005L04_E_03,152,12,23,82
M001K02P005L04_E_04,155,30,7,59
M001K02P005L04_E_05,141,20,16,93
M001K02P005L04_E_06,122,29,11,68
M001K02P005L04_E_07,94,35,18,36
M001K02P005L04_E_08,139,22,7,97
M001K02P005L04_E_09,110,41,14,77
M001K02P005L04_E_10,125,23,30,114
M001K02P005L04_E_11,123,33,18,98
M001K02P005L04_E_12,73,30,18,30
M001K02P005L04_E_13,79,29,30,44
M001K02P005L04_E_14,114,25,18,54
M001K02P005L04_E_15,59,5,49,109
M001K02P005L04_E_16,112,26,30,75
M001K02P005L04_E_17,150,22,18,43
M001K02P005L04_E_18,122,19,19,44
M001K02P005L04_E_19,125,16,23,55
M001K02P005L04_E_20,122,19,26,59
M001K02P005L04_E_21,111,16,18,60
M001K02P005L04_E_22,131,5,25,57
M001K02P005L04_E_23,135,15,19,50
M001K02P005L04_E_24,122,15,32,68
M001K02P005L04_F_01,125,7,17,54
M001K02P005L04_F_02,154,17,22,67
M001K02P005L04_F_03,27,2,34,60
M001K02P005L04_F_04,112,24,14,39
M001K02P005L04_F_05,148,12,32,61
M001K02P005L04_F_06,144,25,28,135
M001K02P005L04_F_07,141,18,28,72
M001K02P005L04_F_08,112,24,22,78
M001K02P005L04_F_09,108,18,20,38
M001K02P005L04_F_10,118,31,20,35
M001K02P005L04_F_11,107,23,14,61
M001K02P005L04_F_12,113,26,17,40
M001K02P005L04_F_13,122,15,20,51
M001K02P005L04_F_14,60,33,42,105
M001K02P005L04_F_15,91,32,11,63
M001K02P005L04_F_16,110,23,10,47
M001K02P005L04_F_17,89,20,25,83
M001K02P005L04_F_18,146,19,17,55
M001K02P005L04_F_19,131,11,39,60
M001K02P005L04_F_20,132,18,19,94
M001K02P005L04_F_21,125,19,17,48
M001K02P005L04_F_22,159,18,22,95
M001K02P005L04_F_23,99,33,11,58
M001K02P005L04_F_24,94,28,26,51
M001K02P005L04_G_01,161,20,24,47
M001K02P005L04_G_02,164,20,20,95
M001K02P005L04_G_03,138,10,53,103
M001K02P005L04_G_04,151,13,11,49
M001K02P005L04_G_05,60,3,35,43
M001K02P005L04_G_06,141,7,34,58
M001K02P005L04_G_07,141,7,40,70
M001K02P005L04_G_08,126,19,52,214
M001K02P005L04_G_09,138,15,27,89
M001K02P005L04_G_10,109,26,23,95
M001K02P005L04_G_11,134,27,15,46
M001K02P005L04_G_12,134,42,12,111
M001K02P005L04_G_13,95,16,28,40
M001K02P005L04_G_14,114,24,10,29
M001K02P005L04_G_15,64,1,78,152
M001K02P005L04_G_16,147,22,19,38
M001K02P005L04_G_17,105,36,10,41
M001K02P005L04_G_18,147,32,12,56
M001K02P005L04_G_19,122,19,19,65
M001K02P005L04_G_20,117,21,57,134
M001K02P005L04_G_21,82,9,43,60
M001K02P005L04_G_22,156,24,26,60
M001K02P005L04_G_23,102,22,17,33
M001K02P005L04_G_24,84,24,16,40
M001K02P005L04_H_01,104,18,12,40
M001K02P005L04_H_02,122,21,26,72
M001K02P005L04_H_03,68,17,23,32
M001K02P005L04_H_04,127,11,17,35
M001K02P005L04_H_05,101,25,17,45
M001K02P005L04_H_06,124,26,19,42
M001K02P005L04_H_07,116,21,22,64
M001K02P005L04_H_08,120,31,12,45
M001K02P005L04_H_09,132,24,41,135
M001K02P005L04_H_10,154,21,25,60
M001K02P005L04_H_11,104,23,46,126
M001K02P005L04_H_12,110,23,19,49
M001K02P005L04_H_13,103,17,27,43
M001K02P005L04_H_14,128,14,11,40
M001K02P005L04_H_15,113,27,17,41
M001K02P005L04_H_16,133,21,22,39
M001K02P005L04_H_17,111,29,13,42
M001K02P005L04_H_18,117,17,13,53
M001K02P005L04_H_19,143,6,24,85
M001K02P005L04_H_20,118,16,31,106
M001K02P005L04_H_21,149,8,27,48
M001K02P005L04_H_22,118,15,24,49
M001K02P005L04_H_23,108,21,20,27
M001K02P005L04_H_24,122,31,19,56
M001K02P005L04_I_01,141,9,19,61
M001K02P005L04_I_02,167,6,26,42
M001K02P005L04_I_03,155,18,31,88
M001K02P005L04_I_04,137,12,14,45
M001K02P005L04_I_05,165,12,23,73
M001K02P005L04_I_06,176,6,36,61
