,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D010T01P013L02_A_01,182,28,18,123
D010T01P013L02_A_02,190,10,11,82
D010T01P013L02_A_03,248,13,16,86
D010T01P013L02_A_04,168,22,27,177
D010T01P013L02_A_05,155,20,24,153
D010T01P013L02_A_06,202,18,19,89
D010T01P013L02_A_07,200,12,32,117
D010T01P013L02_A_08,157,63,16,159
D010T01P013L02_A_09,236,14,15,71
D010T01P013L02_A_10,175,20,37,172
D010T01P013L02_A_11,134,13,18,98
D010T01P013L02_A_12,261,13,188,541
D010T01P013L02_A_13,161,11,27,139
D010T01P013L02_A_14,197,11,17,91
D010T01P013L02_A_15,204,28,23,159
D010T01P013L02_A_16,127,10,26,134
D010T01P013L02_A_17,237,28,467,437
D010T01P013L02_A_18,166,21,27,152
D010T01P013L02_A_19,166,9,11,85
D010T01P013L02_A_20,256,8,15,81
D010T01P013L02_A_21,223,30,14,78
D010T01P013L02_A_22,139,8,31,164
D010T01P013L02_A_23,173,15,24,71
D010T01P013L02_A_24,182,6,8,95
D010T01P013L02_B_01,231,36,28,110
D010T01P013L02_B_02,179,26,25,147
D010T01P013L02_B_03,173,18,38,154
D010T01P013L02_B_04,183,16,16,86
D010T01P013L02_B_05,175,13,25,121
D010T01P013L02_B_06,302,10,43,135
D010T01P013L02_B_07,300,9,128,214
D010T01P013L02_B_08,193,10,31,112
D010T01P013L02_B_09,169,16,70,187
D010T01P013L02_B_10,217,11,15,105
D010T01P013L02_B_11,186,15,22,109
D010T01P013L02_B_12,207,19,5,80
D010T01P013L02_B_13,195,15,21,104
D010T01P013L02_B_14,194,9,17,113
D010T01P013L02_B_15,301,19,91,178
D010T01P013L02_B_16,197,15,20,100
D010T01P013L02_B_17,118,19,185,397
D010T01P013L02_B_18,214,13,26,79
D010T01P013L02_B_19,281,37,46,142
D010T01P013L02_B_20,184,18,21,94
D010T01P013L02_B_21,190,13,21,106
D010T01P013L02_B_22,200,18,13,110
D010T01P013L02_B_23,189,18,13,96
D010T01P013L02_B_24,194,15,15,79
D010T01P013L02_C_01,161,23,14,106
D010T01P013L02_C_02,152,104,26,205
D010T01P013L02_C_03,214,4,53,162
D010T01P013L02_C_04,170,19,20,174
D010T01P013L02_C_05,170,12,18,112
D010T01P013L02_C_06,187,22,28,218
D010T01P013L02_C_07,203,21,32,135
D010T01P013L02_C_08,189,17,31,204
D010T01P013L02_C_09,193,23,33,169
D010T01P013L02_C_10,212,15,17,92
D010T01P013L02_C_11,193,12,18,96
D010T01P013L02_C_12,223,14,22,87
D010T01P013L02_C_13,274,12,26,85
D010T01P013L02_C_14,171,14,20,139
D010T01P013L02_C_15,251,9,50,204
D010T01P013L02_C_16,167,8,25,121
D010T01P013L02_C_17,187,8,22,79
D010T01P013L02_C_18,278,17,75,255
D010T01P013L02_C_19,240,12,19,99
D010T01P013L02_C_20,235,21,24,119
D010T01P013L02_C_21,300,26,19,134
D010T01P013L02_C_22,178,19,21,106
D010T01P013L02_C_23,194,11,23,95
D010T01P013L02_C_24,205,11,19,118
D010T01P013L02_D_01,240,24,29,160
D010T01P013L02_D_02,178,13,24,133
D010T01P013L02_D_03,199,12,32,95
D010T01P013L02_D_04,195,15,29,115
D010T01P013L02_D_05,203,21,32,142
D010T01P013L02_D_06,247,16,16,101
D010T01P013L02_D_07,185,20,30,178
D010T01P013L02_D_08,193,14,29,93
D010T01P013L02_D_09,268,37,46,236
D010T01P013L02_D_10,279,11,26,90
D010T01P013L02_D_11,192,14,28,113
D010T01P013L02_D_12,210,12,21,126
D010T01P013L02_D_13,164,16,25,105
D010T01P013L02_D_14,181,20,24,154
D010T01P013L02_D_15,192,14,30,135
D010T01P013L02_D_16,191,24,13,114
D010T01P013L02_D_17,195,20,25,148
D010T01P013L02_D_18,206,21,18,117
D010T01P013L02_D_19,301,14,76,124
D010T01P013L02_D_20,205,11,18,117
D010T01P013L02_D_21,198,15,22,109
D010T01P013L02_D_22,196,25,11,101
D010T01P013L02_D_23,182,21,19,89
D010T01P013L02_D_24,174,14,23,109
D010T01P013L02_E_01,357,28,64,162
D010T01P013L02_E_02,193,20,13,139
D010T01P013L02_E_03,288,18,26,83
D010T01P013L02_E_04,210,9,9,58
D010T01P013L02_E_05,171,13,39,190
D010T01P013L02_E_06,212,16,12,105
D010T01P013L02_E_07,183,29,14,132
D010T01P013L02_E_08,201,13,16,110
D010T01P013L02_E_09,159,17,23,156
D010T01P013L02_E_10,233,7,30,94
D010T01P013L02_E_11,314,19,53,213
D010T01P013L02_E_12,184,11,10,98
D010T01P013L02_E_13,182,20,26,125
D010T01P013L02_E_14,201,7,23,108
D010T01P013L02_E_15,187,12,19,104
D010T01P013L02_E_16,186,14,15,111
D010T01P013L02_E_17,195,17,13,88
D010T01P013L02_E_18,259,12,23,130
D010T01P013L02_E_19,151,14,28,110
D010T01P013L02_E_20,271,67,30,151
D010T01P013L02_E_21,236,1,184,171
D010T01P013L02_E_22,189,14,20,93
D010T01P013L02_E_23,192,12,20,103
D010T01P013L02_E_24,187,9,20,113
D010T01P013L02_F_01,234,8,73,177
D010T01P013L02_F_02,188,12,12,126
D010T01P013L02_F_03,192,19,22,112
D010T01P013L02_F_04,203,10,13,80
D010T01P013L02_F_05,223,8,23,111
D010T01P013L02_F_06,197,12,16,102
D010T01P013L02_F_07,274,8,68,108
D010T01P013L02_F_08,202,9,25,92
D010T01P013L02_F_09,213,12,17,79
D010T01P013L02_F_10,246,25,42,132
D010T01P013L02_F_11,169,9,22,52
