,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D015T01P003L08_A_01,157,43,12,80
D015T01P003L08_A_02,160,29,8,68
D015T01P003L08_A_03,156,18,4,85
D015T01P003L08_A_04,122,17,8,122
D015T01P003L08_A_05,106,39,13,177
D015T01P003L08_A_06,136,11,11,100
D015T01P003L08_A_07,127,15,6,94
D015T01P003L08_A_08,123,112,2,122
D015T01P003L08_A_09,137,7,13,122
D015T01P003L08_A_10,154,12,14,66
D015T01P003L08_A_11,162,10,12,86
D015T01P003L08_A_12,156,63,7,117
D015T01P003L08_A_13,139,21,5,75
D015T01P003L08_A_14,96,27,12,215
D015T01P003L08_A_15,191,10,24,182
D015T01P003L08_A_16,238,22,10,70
D015T01P003L08_A_17,163,11,6,60
D015T01P003L08_A_18,130,30,6,65
D015T01P003L08_A_19,143,7,13,207
D015T01P003L08_A_20,136,21,9,85
D015T01P003L08_A_21,188,17,5,42
D015T01P003L08_A_22,138,13,9,74
D015T01P003L08_A_23,160,11,11,68
D015T01P003L08_A_24,183,7,8,48
D015T01P003L08_B_01,135,24,7,63
D015T01P003L08_B_02,183,38,6,98
D015T01P003L08_B_03,150,23,4,66
D015T01P003L08_B_04,99,33,3,80
D015T01P003L08_B_05,188,19,39,344
D015T01P003L08_B_06,154,13,9,76
D015T01P003L08_B_07,164,16,6,84
D015T01P003L08_B_08,174,12,9,78
D015T01P003L08_B_09,164,26,6,85
D015T01P003L08_B_10,153,14,15,67
D015T01P003L08_B_11,163,11,10,79
D015T01P003L08_B_12,131,20,2,57
D015T01P003L08_B_13,175,21,6,63
D015T01P003L08_B_14,151,33,7,64
D015T01P003L08_B_15,119,19,11,69
D015T01P003L08_B_16,131,23,7,89
D015T01P003L08_B_17,145,22,8,73
D015T01P003L08_B_18,124,28,8,117
D015T01P003L08_B_19,158,11,22,261
D015T01P003L08_B_20,215,10,17,117
D015T01P003L08_B_21,213,15,13,92
D015T01P003L08_B_22,152,31,11,85
D015T01P003L08_B_23,173,19,10,63
D015T01P003L08_B_24,190,11,3,55
D015T01P003L08_C_01,171,24,7,64
D015T01P003L08_C_02,134,3,24,105
D015T01P003L08_C_03,174,11,7,78
D015T01P003L08_C_04,163,25,4,65
D015T01P003L08_C_05,142,18,9,69
D015T01P003L08_C_06,169,15,7,61
D015T01P003L08_C_07,181,14,9,51
D015T01P003L08_C_08,148,22,7,116
D015T01P003L08_C_09,170,15,7,54
D015T01P003L08_C_10,131,14,14,80
D015T01P003L08_C_11,148,17,10,60
D015T01P003L08_C_12,130,53,5,99
D015T01P003L08_C_13,171,22,10,66
D015T01P003L08_C_14,183,12,8,54
D015T01P003L08_C_15,196,54,30,467
D015T01P003L08_C_16,170,10,6,47
D015T01P003L08_C_17,125,36,5,86
D015T01P003L08_C_18,168,12,7,56
D015T01P003L08_C_19,139,16,11,86
D015T01P003L08_C_20,137,9,6,68
D015T01P003L08_C_21,134,29,10,106
D015T01P003L08_C_22,151,24,3,52
D015T01P003L08_C_23,128,18,3,69
D015T01P003L08_C_24,160,13,5,54
D015T01P003L08_D_01,67,147,0,141
D015T01P003L08_D_02,153,12,10,66
