,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D021T01P907L08_A_01,78,54,36,161
D021T01P907L08_A_02,204,54,64,189
D021T01P907L08_A_03,166,18,52,234
D021T01P907L08_A_04,202,30,60,154
D021T01P907L08_A_05,117,25,139,734
D021T01P907L08_A_06,163,29,77,235
D021T01P907L08_A_07,195,38,42,191
D021T01P907L08_A_08,131,18,97,207
D021T01P907L08_A_09,80,22,52,183
D021T01P907L08_A_10,232,33,36,179
D021T01P907L08_A_11,123,50,93,417
D021T01P907L08_A_12,110,41,67,311
D021T01P907L08_A_13,219,26,54,188
D021T01P907L08_A_14,73,54,65,150
D021T01P907L08_A_15,71,15,107,236
D021T01P907L08_A_16,177,12,159,543
D021T01P907L08_A_17,219,38,52,184
D021T01P907L08_A_18,247,35,53,144
D021T01P907L08_A_19,203,21,82,221
D021T01P907L08_A_20,241,17,77,240
D021T01P907L08_A_21,233,15,65,167
D021T01P907L08_A_22,217,23,43,201
D021T01P907L08_A_23,227,15,96,220
D021T01P907L08_A_24,231,16,84,180
D021T01P907L08_B_01,279,8,106,178
D021T01P907L08_B_02,116,25,123,428
D021T01P907L08_B_03,244,14,57,167
D021T01P907L08_B_04,222,9,76,154
D021T01P907L08_B_05,170,33,92,244
D021T01P907L08_B_06,218,43,61,231
D021T01P907L08_B_07,237,28,49,171
D021T01P907L08_B_08,243,12,48,145
D021T01P907L08_B_09,171,26,87,284
D021T01P907L08_B_10,236,32,34,144
D021T01P907L08_B_11,236,19,68,161
D021T01P907L08_B_12,210,62,53,168
D021T01P907L08_B_13,204,37,57,185
D021T01P907L08_B_14,232,45,37,152
D021T01P907L08_B_15,264,5,76,214
D021T01P907L08_B_16,132,46,87,441
D021T01P907L08_B_17,262,17,75,207
D021T01P907L08_B_18,187,22,46,190
D021T01P907L08_B_19,64,45,55,222
D021T01P907L08_B_20,110,24,125,662
D021T01P907L08_B_21,154,28,78,340
D021T01P907L08_B_22,114,62,98,449
D021T01P907L08_B_23,197,62,32,185
D021T01P907L08_B_24,211,29,59,204
D021T01P907L08_C_01,185,47,63,189
D021T01P907L08_C_02,240,12,83,260
D021T01P907L08_C_03,263,22,83,232
D021T01P907L08_C_04,254,17,55,168
D021T01P907L08_C_05,187,30,69,198
D021T01P907L08_C_06,271,12,56,172
D021T01P907L08_C_07,230,29,32,214
D021T01P907L08_C_08,246,14,87,213
D021T01P907L08_C_09,220,21,87,196
D021T01P907L08_C_10,252,28,52,170
D021T01P907L08_C_11,236,29,49,155
D021T01P907L08_C_12,138,42,79,478
D021T01P907L08_C_13,221,25,43,174
D021T01P907L08_C_14,270,12,72,159
D021T01P907L08_C_15,120,20,157,379
D021T01P907L08_C_16,257,37,43,182
D021T01P907L08_C_17,212,21,35,97
D021T01P907L08_C_18,206,40,44,152
D021T01P907L08_C_19,241,25,51,181
D021T01P907L08_C_20,190,47,54,179
D021T01P907L08_C_21,155,61,41,153
D021T01P907L08_C_22,218,54,37,151
D021T01P907L08_C_23,204,36,51,187
D021T01P907L08_C_24,201,46,35,172
D021T01P907L08_D_01,219,13,83,367
D021T01P907L08_D_02,248,17,56,201
D021T01P907L08_D_03,234,12,81,176
D021T01P907L08_D_04,201,39,62,147
D021T01P907L08_D_05,197,50,49,137
D021T01P907L08_D_06,224,15,116,202
D021T01P907L08_D_07,198,73,25,157
D021T01P907L08_D_08,218,44,42,161
D021T01P907L08_D_09,191,42,31,196
D021T01P907L08_D_10,195,54,45,141
D021T01P907L08_D_11,204,35,43,151
D021T01P907L08_D_12,221,11,115,269
D021T01P907L08_D_13,264,14,79,180
