,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D027T01P905L02_A_01,140,21,12,177
D027T01P905L02_A_02,184,21,14,155
D027T01P905L02_A_03,178,22,13,168
D027T01P905L02_A_04,152,25,3,158
D027T01P905L02_A_05,166,21,8,179
D027T01P905L02_A_06,166,34,3,152
D027T01P905L02_A_07,174,26,15,150
D027T01P905L02_A_08,185,14,9,154
D027T01P905L02_A_09,191,18,9,138
D027T01P905L02_A_10,201,17,13,181
D027T01P905L02_A_11,169,19,4,155
D027T01P905L02_A_12,137,53,23,475
D027T01P905L02_A_13,150,20,11,159
D027T01P905L02_A_14,179,29,11,173
D027T01P905L02_A_15,167,33,16,195
D027T01P905L02_A_16,181,12,10,170
D027T01P905L02_A_17,156,47,38,523
D027T01P905L02_A_18,170,22,15,225
D027T01P905L02_A_19,173,7,14,157
D027T01P905L02_A_20,171,18,9,156
D027T01P905L02_A_21,180,34,10,158
D027T01P905L02_A_22,158,20,6,189
D027T01P905L02_A_23,182,21,8,155
D027T01P905L02_A_24,175,22,3,144
D027T01P905L02_B_01,153,12,7,148
D027T01P905L02_B_02,150,18,5,196
D027T01P905L02_B_03,180,23,8,180
D027T01P905L02_B_04,174,20,9,134
D027T01P905L02_B_05,155,19,14,205
D027T01P905L02_B_06,160,22,24,234
D027T01P905L02_B_07,134,19,29,250
D027T01P905L02_B_08,152,17,9,175
D027T01P905L02_B_09,142,17,19,296
D027T01P905L02_B_10,195,17,8,176
D027T01P905L02_B_11,188,18,8,147
D027T01P905L02_B_12,182,19,5,159
D027T01P905L02_B_13,182,19,11,136
D027T01P905L02_B_14,168,16,8,165
D027T01P905L02_B_15,153,32,21,327
D027T01P905L02_B_16,173,23,10,139
D027T01P905L02_B_17,119,17,22,249
D027T01P905L02_B_18,177,13,9,154
D027T01P905L02_B_19,198,15,30,279
D027T01P905L02_B_20,168,21,6,150
D027T01P905L02_B_21,182,11,18,162
D027T01P905L02_B_22,182,14,10,156
D027T01P905L02_B_23,164,17,3,120
D027T01P905L02_B_24,165,21,9,158
D027T01P905L02_C_01,169,34,12,196
D027T01P905L02_C_02,185,15,16,188
D027T01P905L02_C_03,130,26,10,335
D027T01P905L02_C_04,156,23,7,162
D027T01P905L02_C_05,171,23,5,160
D027T01P905L02_C_06,176,25,3,174
D027T01P905L02_C_07,179,16,11,146
D027T01P905L02_C_08,180,15,10,174
D027T01P905L02_C_09,123,12,25,347
D027T01P905L02_C_10,201,21,11,144
D027T01P905L02_C_11,170,25,11,172
D027T01P905L02_C_12,162,16,2,145
D027T01P905L02_C_13,200,20,15,192
D027T01P905L02_C_14,168,20,15,161
D027T01P905L02_C_15,180,19,7,162
D027T01P905L02_C_16,160,17,12,154
D027T01P905L02_C_17,177,8,10,144
D027T01P905L02_C_18,214,15,31,238
D027T01P905L02_C_19,171,28,13,179
D027T01P905L02_C_20,180,18,14,198
D027T01P905L02_C_21,178,29,26,289
D027T01P905L02_C_22,179,14,4,178
D027T01P905L02_C_23,158,13,12,155
D027T01P905L02_C_24,185,12,10,152
D027T01P905L02_D_01,167,18,13,146
D027T01P905L02_D_02,161,10,15,180
D027T01P905L02_D_03,168,19,11,147
D027T01P905L02_D_04,177,12,10,163
D027T01P905L02_D_05,174,18,13,227
D027T01P905L02_D_06,174,17,9,138
D027T01P905L02_D_07,147,21,19,253
D027T01P905L02_D_08,169,20,5,147
D027T01P905L02_D_09,148,4,31,175
D027T01P905L02_D_10,150,35,9,170
D027T01P905L02_D_11,162,20,10,164
D027T01P905L02_D_12,162,13,11,146
D027T01P905L02_D_13,184,17,13,170
D027T01P905L02_D_14,182,14,12,175
D027T01P905L02_D_15,172,17,19,147
D027T01P905L02_D_16,168,15,14,168
D027T01P905L02_D_17,198,19,5,176
D027T01P905L02_D_18,156,13,8,188
D027T01P905L02_D_19,177,12,28,132
D027T01P905L02_D_20,165,14,8,166
D027T01P905L02_D_21,167,14,5,178
D027T01P905L02_D_22,150,18,9,179
D027T01P905L02_D_23,170,17,12,207
D027T01P905L02_D_24,162,15,10,174
D027T01P905L02_E_01,119,27,24,221
D027T01P905L02_E_02,175,18,3,169
D027T01P905L02_E_03,166,6,20,192
D027T01P905L02_E_04,169,15,12,147
D027T01P905L02_E_05,157,7,62,268
D027T01P905L02_E_06,181,19,8,174
D027T01P905L02_E_07,164,15,14,216
D027T01P905L02_E_08,185,23,6,137
D027T01P905L02_E_09,177,13,8,161
D027T01P905L02_E_10,163,21,9,137
D027T01P905L02_E_11,140,37,28,250
D027T01P905L02_E_12,152,12,10,176
D027T01P905L02_E_13,177,11,19,197
D027T01P905L02_E_14,180,12,13,152
D027T01P905L02_E_15,165,14,13,195
D027T01P905L02_E_16,175,16,14,149
D027T01P905L02_E_17,183,11,10,152
D027T01P905L02_E_18,188,21,10,181
D027T01P905L02_E_19,177,18,13,185
D027T01P905L02_E_20,183,17,18,223
D027T01P905L02_E_21,91,29,46,242
D027T01P905L02_E_22,191,17,10,153
D027T01P905L02_E_23,167,12,7,169
D027T01P905L02_E_24,174,22,7,184
D027T01P905L02_F_01,168,27,11,287
D027T01P905L02_F_02,176,16,15,145
D027T01P905L02_F_03,182,20,13,168
D027T01P905L02_F_04,179,22,10,156
D027T01P905L02_F_05,193,18,7,145
D027T01P905L02_F_06,181,19,16,175
D027T01P905L02_F_07,139,12,38,462
D027T01P905L02_F_08,184,17,10,145
D027T01P905L02_F_09,178,22,9,149
D027T01P905L02_F_10,148,14,24,231
D027T01P905L02_F_11,189,19,18,161
D027T01P905L02_F_12,171,19,6,177
D027T01P905L02_F_13,179,24,4,158
D027T01P905L02_F_14,181,12,19,162
D027T01P905L02_F_15,132,10,59,427
D027T01P905L02_F_16,165,24,9,159
D027T01P905L02_F_17,142,8,14,186
D027T01P905L02_F_18,166,16,5,167
D027T01P905L02_F_19,182,21,11,161
D027T01P905L02_F_20,196,16,6,186
D027T01P905L02_F_21,159,35,10,192
D027T01P905L02_F_22,173,21,12,165
D027T01P905L02_F_23,168,10,14,157
D027T01P905L02_F_24,188,14,3,157
D027T01P905L02_G_01,168,16,23,202
D027T01P905L02_G_02,195,14,15,186
D027T01P905L02_G_03,167,31,14,350
D027T01P905L02_G_04,190,17,7,160
D027T01P905L02_G_05,174,12,14,219
D027T01P905L02_G_06,166,16,7,148
D027T01P905L02_G_07,204,18,10,138
D027T01P905L02_G_08,184,20,16,163
D027T01P905L02_G_09,179,14,12,167
D027T01P905L02_G_10,154,20,22,336
D027T01P905L02_G_11,144,27,20,167
D027T01P905L02_G_12,185,22,9,170
D027T01P905L02_G_13,182,19,16,185
D027T01P905L02_G_14,180,21,12,206
D027T01P905L02_G_15,131,18,28,246
D027T01P905L02_G_16,175,19,12,172
D027T01P905L02_G_17,175,15,43,267
D027T01P905L02_G_18,183,15,11,225
D027T01P905L02_G_19,184,15,9,148
D027T01P905L02_G_20,162,19,5,197
D027T01P905L02_G_21,169,14,16,178
D027T01P905L02_G_22,96,18,44,316
D027T01P905L02_G_23,206,19,9,178
D027T01P905L02_G_24,178,18,7,136
D027T01P905L02_H_01,139,47,21,287
D027T01P905L02_H_02,124,11,14,262
D027T01P905L02_H_03,188,11,10,131
D027T01P905L02_H_04,187,14,5,160
D027T01P905L02_H_05,177,29,9,160
D027T01P905L02_H_06,182,16,15,197
D027T01P905L02_H_07,153,18,17,201
D027T01P905L02_H_08,181,31,19,170
D027T01P905L02_H_09,178,10,12,123
D027T01P905L02_H_10,176,15,12,175
D027T01P905L02_H_11,156,22,2,148
D027T01P905L02_H_12,186,16,13,183
D027T01P905L02_H_13,181,11,13,157
D027T01P905L02_H_14,184,9,8,116
D027T01P905L02_H_15,167,12,16,246
D027T01P905L02_H_16,201,10,16,172
D027T01P905L02_H_17,181,19,9,173
D027T01P905L02_H_18,197,11,16,165
D027T01P905L02_H_19,195,13,7,144
D027T01P905L02_H_20,169,23,9,185
D027T01P905L02_H_21,156,11,44,314
D027T01P905L02_H_22,200,14,17,169
D027T01P905L02_H_23,190,13,13,192
D027T01P905L02_H_24,178,23,11,173
D027T01P905L02_I_01,182,16,7,150
D027T01P905L02_I_02,153,16,9,160
D027T01P905L02_I_03,191,9,13,167
D027T01P905L02_I_04,176,18,17,198
