,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001K02P012L05_A_01,123,16,5,35
M001K02P012L05_A_02,127,11,8,47
M001K02P012L05_A_03,144,14,32,98
M001K02P012L05_A_04,130,15,18,127
M001K02P012L05_A_05,113,21,20,131
M001K02P012L05_A_06,156,9,14,89
M001K02P012L05_A_07,133,13,9,38
M001K02P012L05_A_08,126,8,17,47
M001K02P012L05_A_09,137,24,12,60
M001K02P012L05_A_10,119,32,14,115
M001K02P012L05_A_11,127,16,14,58
M001K02P012L05_A_12,147,7,5,54
M001K02P012L05_A_13,117,20,9,55
M001K02P012L05_A_14,122,22,15,45
M001K02P012L05_A_15,93,28,8,87
M001K02P012L05_A_16,114,15,9,29
M001K02P012L05_A_17,106,25,5,47
M001K02P012L05_A_18,102,16,21,62
M001K02P012L05_A_19,149,19,5,42
M001K02P012L05_A_20,126,21,15,137
M001K02P012L05_A_21,126,16,18,63
M001K02P012L05_A_22,111,15,11,41
M001K02P012L05_A_23,119,19,3,51
M001K02P012L05_A_24,41,9,36,164
M001K02P012L05_B_01,99,21,11,43
M001K02P012L05_B_02,142,19,15,70
M001K02P012L05_B_03,128,15,21,33
M001K02P012L05_B_04,109,20,10,56
M001K02P012L05_B_05,97,35,26,242
M001K02P012L05_B_06,124,29,10,104
M001K02P012L05_B_07,118,17,19,42
M001K02P012L05_B_08,104,21,9,50
M001K02P012L05_B_09,105,31,13,76
M001K02P012L05_B_10,98,25,10,51
M001K02P012L05_B_11,125,7,9,33
M001K02P012L05_B_12,114,20,5,57
M001K02P012L05_B_13,114,20,13,32
M001K02P012L05_B_14,113,12,9,85
M001K02P012L05_B_15,125,17,15,64
M001K02P012L05_B_16,113,13,11,45
M001K02P012L05_B_17,117,14,17,57
M001K02P012L05_B_18,121,22,7,114
M001K02P012L05_B_19,127,19,13,57
M001K02P012L05_B_20,136,23,17,74
M001K02P012L05_B_21,148,14,15,75
M001K02P012L05_B_22,99,23,12,42
M001K02P012L05_B_23,137,21,14,98
M001K02P012L05_B_24,76,26,32,71
M001K02P012L05_C_01,114,19,12,51
M001K02P012L05_C_02,115,16,6,64
M001K02P012L05_C_03,119,15,18,67
