,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001A03P008L07_A_01,146,70,36,148
M001A03P008L07_A_02,144,98,39,151
M001A03P008L07_A_03,151,84,76,154
M001A03P008L07_A_04,166,61,100,143
M001A03P008L07_A_05,147,102,99,158
M001A03P008L07_A_06,126,70,61,145
M001A03P008L07_A_07,174,65,59,140
M001A03P008L07_A_08,168,72,86,134
M001A03P008L07_A_09,152,126,65,636
M001A03P008L07_A_10,171,80,66,147
M001A03P008L07_A_11,118,71,42,108
M001A03P008L07_A_12,189,54,58,116
M001A03P008L07_A_13,149,89,69,153
M001A03P008L07_A_14,162,166,53,859
M001A03P008L07_A_15,160,98,60,272
M001A03P008L07_A_16,163,70,60,111
M001A03P008L07_A_17,184,74,92,133
M001A03P008L07_A_18,175,80,81,123
M001A03P008L07_A_19,167,104,78,365
M001A03P008L07_A_20,136,84,116,159
M001A03P008L07_A_21,142,73,83,130
M001A03P008L07_A_22,147,71,87,139
M001A03P008L07_A_23,172,78,94,152
M001A03P008L07_A_24,156,85,60,144
M001A03P008L07_B_01,151,106,45,376
M001A03P008L07_B_02,163,84,43,149
M001A03P008L07_B_03,184,102,69,165
M001A03P008L07_B_04,170,78,63,165
M001A03P008L07_B_05,172,57,82,157
M001A03P008L07_B_06,157,68,63,142
M001A03P008L07_B_07,178,73,76,131
M001A03P008L07_B_08,190,58,80,115
M001A03P008L07_B_09,192,105,69,317
M001A03P008L07_B_10,173,80,72,155
M001A03P008L07_B_11,167,106,57,360
M001A03P008L07_B_12,166,73,94,144
M001A03P008L07_B_13,200,89,45,146
M001A03P008L07_B_14,172,122,63,187
M001A03P008L07_B_15,174,69,51,152
M001A03P008L07_B_16,168,95,71,154
M001A03P008L07_B_17,154,89,58,177
M001A03P008L07_B_18,184,111,107,292
M001A03P008L07_B_19,196,81,54,186
M001A03P008L07_B_20,183,56,85,154
M001A03P008L07_B_21,155,67,67,166
M001A03P008L07_B_22,179,81,79,147
M001A03P008L07_B_23,187,100,71,141
M001A03P008L07_B_24,195,77,57,179
M001A03P008L07_C_01,122,106,38,153
M001A03P008L07_C_02,143,114,52,178
M001A03P008L07_C_03,182,95,74,170
M001A03P008L07_C_04,181,89,61,178
M001A03P008L07_C_05,197,58,69,153
M001A03P008L07_C_06,162,71,56,143
M001A03P008L07_C_07,150,92,48,189
M001A03P008L07_C_08,231,80,79,176
M001A03P008L07_C_09,147,111,36,155
M001A03P008L07_C_10,190,90,74,186
M001A03P008L07_C_11,176,82,69,165
M001A03P008L07_C_12,197,83,78,171
M001A03P008L07_C_13,185,91,67,160
M001A03P008L07_C_14,156,78,90,150
M001A03P008L07_C_15,199,99,61,164
M001A03P008L07_C_16,93,0,502,533
M001A03P008L07_C_17,122,142,253,1233
M001A03P008L07_C_18,101,161,693,1433
M001A03P008L07_C_19,51,0,458,602
M001A03P008L07_C_20,251,8,877,1219
M001A03P008L07_C_21,37,2,301,564
M001A03P008L07_C_22,53,1,394,478
M001A03P008L07_C_23,180,224,57,1587
M001A03P008L07_C_24,129,100,43,171
M001A03P008L07_D_01,143,104,69,193
M001A03P008L07_D_02,166,89,34,158
M001A03P008L07_D_03,204,65,104,180
M001A03P008L07_D_04,155,75,49,145
M001A03P008L07_D_05,174,59,70,157
M001A03P008L07_D_06,204,76,63,239
M001A03P008L07_D_07,211,74,92,211
M001A03P008L07_D_08,196,57,75,196
M001A03P008L07_D_09,201,74,70,148
M001A03P008L07_D_10,183,86,66,179
M001A03P008L07_D_11,194,89,72,174
M001A03P008L07_D_12,171,89,52,152
M001A03P008L07_D_13,205,52,101,140
M001A03P008L07_D_14,272,61,99,169
M001A03P008L07_D_15,188,64,65,132
M001A03P008L07_D_16,194,76,57,155
M001A03P008L07_D_17,186,94,79,184
M001A03P008L07_D_18,193,99,60,173
M001A03P008L07_D_19,216,73,72,168
M001A03P008L07_D_20,216,53,101,175
M001A03P008L07_D_21,149,83,47,170
M001A03P008L07_D_22,66,0,646,777
M001A03P008L07_D_23,150,126,44,183
M001A03P008L07_D_24,170,92,43,178
M001A03P008L07_E_01,185,175,57,960
M001A03P008L07_E_02,220,77,85,182
M001A03P008L07_E_03,214,68,69,152
M001A03P008L07_E_04,214,55,78,233
M001A03P008L07_E_05,200,53,60,155
M001A03P008L07_E_06,168,76,43,169
M001A03P008L07_E_07,244,58,57,183
M001A03P008L07_E_08,182,104,37,180
M001A03P008L07_E_09,184,108,57,166
M001A03P008L07_E_10,189,85,47,187
M001A03P008L07_E_11,180,67,70,171
M001A03P008L07_E_12,191,85,68,197
M001A03P008L07_E_13,194,59,70,177
M001A03P008L07_E_14,175,73,65,149
M001A03P008L07_E_15,189,79,50,200
M001A03P008L07_E_16,195,90,46,183
M001A03P008L07_E_17,141,188,21,577
M001A03P008L07_E_18,181,74,71,151
M001A03P008L07_E_19,158,96,58,169
M001A03P008L07_E_20,158,80,29,110
M001A03P008L07_E_21,189,83,58,158
M001A03P008L07_E_22,48,0,294,376
M001A03P008L07_E_23,175,119,48,122
M001A03P008L07_E_24,159,108,61,151
M001A03P008L07_F_01,167,97,80,189
M001A03P008L07_F_02,160,88,37,182
M001A03P008L07_F_03,181,105,36,174
M001A03P008L07_F_04,251,70,51,180
M001A03P008L07_F_05,185,92,45,129
M001A03P008L07_F_06,216,80,35,189
