,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D015T01P906L03_A_01,101,9,32,192
D015T01P906L03_A_02,118,9,31,239
D015T01P906L03_A_03,67,5,27,157
D015T01P906L03_A_04,103,7,30,220
D015T01P906L03_A_05,152,13,56,397
D015T01P906L03_A_06,117,4,109,445
D015T01P906L03_A_07,116,10,119,370
D015T01P906L03_A_08,105,3,19,190
D015T01P906L03_A_09,166,15,35,239
D015T01P906L03_A_10,144,2,35,175
D015T01P906L03_A_11,119,8,58,240
D015T01P906L03_A_12,125,5,27,216
D015T01P906L03_A_13,102,8,36,212
D015T01P906L03_A_14,106,12,30,159
D015T01P906L03_A_15,118,8,17,196
D015T01P906L03_A_16,123,7,25,190
D015T01P906L03_A_17,155,10,52,293
D015T01P906L03_A_18,98,9,27,175
D015T01P906L03_A_19,159,6,27,191
D015T01P906L03_A_20,109,14,22,161
D015T01P906L03_A_21,77,9,81,270
D015T01P906L03_A_22,113,8,38,195
D015T01P906L03_A_23,116,6,26,224
D015T01P906L03_A_24,120,7,17,205
D015T01P906L03_B_01,83,8,49,272
D015T01P906L03_B_02,130,6,36,244
D015T01P906L03_B_03,114,5,44,211
D015T01P906L03_B_04,123,6,36,304
D015T01P906L03_B_05,118,10,72,276
D015T01P906L03_B_06,145,6,26,309
D015T01P906L03_B_07,101,0,37,185
D015T01P906L03_B_08,166,7,44,260
D015T01P906L03_B_09,123,14,28,263
D015T01P906L03_B_10,125,5,29,252
D015T01P906L03_B_11,119,10,49,201
D015T01P906L03_B_12,168,11,48,375
D015T01P906L03_B_13,98,6,24,158
D015T01P906L03_B_14,118,6,25,213
D015T01P906L03_B_15,182,7,35,223
D015T01P906L03_B_16,106,5,23,201
D015T01P906L03_B_17,113,3,24,161
D015T01P906L03_B_18,155,18,20,193
D015T01P906L03_B_19,125,5,30,202
D015T01P906L03_B_20,155,16,27,213
D015T01P906L03_B_21,115,9,27,163
D015T01P906L03_B_22,112,4,23,217
D015T01P906L03_B_23,121,9,24,236
D015T01P906L03_B_24,106,13,28,225
D015T01P906L03_C_01,128,7,26,159
D015T01P906L03_C_02,117,7,26,278
D015T01P906L03_C_03,203,21,62,354
D015T01P906L03_C_04,121,10,35,235
D015T01P906L03_C_05,148,2,44,337
D015T01P906L03_C_06,121,11,34,287
D015T01P906L03_C_07,174,9,52,239
D015T01P906L03_C_08,123,10,39,259
D015T01P906L03_C_09,114,7,31,221
D015T01P906L03_C_10,141,3,40,244
D015T01P906L03_C_11,146,3,167,468
D015T01P906L03_C_12,132,7,28,221
D015T01P906L03_C_13,152,5,39,190
D015T01P906L03_C_14,172,7,46,191
D015T01P906L03_C_15,174,11,52,255
D015T01P906L03_C_16,111,8,26,188
D015T01P906L03_C_17,143,5,65,221
D015T01P906L03_C_18,118,7,25,225
D015T01P906L03_C_19,119,5,50,215
D015T01P906L03_C_20,122,5,33,261
D015T01P906L03_C_21,138,19,61,298
D015T01P906L03_C_22,115,9,31,234
D015T01P906L03_C_23,133,10,31,251
D015T01P906L03_C_24,112,10,20,198
D015T01P906L03_D_01,182,11,36,199
D015T01P906L03_D_02,151,10,27,220
D015T01P906L03_D_03,126,2,48,257
D015T01P906L03_D_04,109,9,30,155
D015T01P906L03_D_05,117,6,39,246
D015T01P906L03_D_06,130,7,41,315
D015T01P906L03_D_07,119,5,40,217
D015T01P906L03_D_08,131,4,53,295
D015T01P906L03_D_09,134,5,36,194
D015T01P906L03_D_10,112,6,35,248
D015T01P906L03_D_11,117,4,28,207
D015T01P906L03_D_12,131,6,31,147
D015T01P906L03_D_13,131,11,31,223
D015T01P906L03_D_14,111,8,21,243
D015T01P906L03_D_15,143,4,41,219
D015T01P906L03_D_16,118,8,14,220
D015T01P906L03_D_17,115,9,30,184
D015T01P906L03_D_18,157,13,138,366
D015T01P906L03_D_19,144,8,36,162
D015T01P906L03_D_20,154,9,27,171
D015T01P906L03_D_21,105,7,36,229
D015T01P906L03_D_22,109,10,24,210
D015T01P906L03_D_23,126,6,34,251
D015T01P906L03_D_24,108,7,35,194
D015T01P906L03_E_01,110,9,33,283
D015T01P906L03_E_02,179,6,33,223
D015T01P906L03_E_03,128,5,48,192
D015T01P906L03_E_04,112,7,30,217
D015T01P906L03_E_05,99,6,114,398
D015T01P906L03_E_06,123,3,43,177
D015T01P906L03_E_07,153,10,79,351
D015T01P906L03_E_08,111,5,37,186
D015T01P906L03_E_09,108,4,18,236
D015T01P906L03_E_10,133,19,37,210
D015T01P906L03_E_11,160,3,140,432
D015T01P906L03_E_12,110,6,34,212
D015T01P906L03_E_13,112,1,37,172
D015T01P906L03_E_14,163,7,52,213
D015T01P906L03_E_15,116,4,37,186
D015T01P906L03_E_16,120,8,30,222
D015T01P906L03_E_17,196,9,51,209
D015T01P906L03_E_18,125,3,33,250
D015T01P906L03_E_19,115,7,21,217
D015T01P906L03_E_20,120,7,26,227
D015T01P906L03_E_21,112,7,18,211
D015T01P906L03_E_22,100,8,29,247
D015T01P906L03_E_23,120,4,22,170
D015T01P906L03_E_24,125,10,25,230
D015T01P906L03_F_01,117,9,33,260
D015T01P906L03_F_02,131,7,27,220
D015T01P906L03_F_03,145,5,36,284
D015T01P906L03_F_04,132,2,27,189
