,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
M001W01P006L05_A_01,28,14,8,9
M001W01P006L05_A_02,48,14,2,12
M001W01P006L05_A_03,40,23,12,19
M001W01P006L05_A_04,62,9,15,46
M001W01P006L05_A_05,20,27,1,11
M001W01P006L05_A_06,18,8,8,18
M001W01P006L05_A_07,35,14,6,21
M001W01P006L05_A_08,33,28,5,17
M001W01P006L05_A_09,41,18,3,15
M001W01P006L05_A_10,63,12,4,25
M001W01P006L05_A_11,34,10,10,12
M001W01P006L05_A_12,57,10,8,19
M001W01P006L05_A_13,50,7,8,16
M001W01P006L05_A_14,59,5,9,20
M001W01P006L05_A_15,19,13,2,13
M001W01P006L05_A_16,31,11,7,14
M001W01P006L05_A_17,68,13,14,30
M001W01P006L05_A_18,59,15,8,9
M001W01P006L05_A_19,40,16,3,14
M001W01P006L05_A_20,29,22,3,19
M001W01P006L05_A_21,52,13,8,37
M001W01P006L05_A_22,36,5,12,18
M001W01P006L05_A_23,29,14,6,26
M001W01P006L05_A_24,23,13,3,21
M001W01P006L05_B_01,29,17,2,29
M001W01P006L05_B_02,20,14,2,10
M001W01P006L05_B_03,49,13,5,16
M001W01P006L05_B_04,28,21,1,10
M001W01P006L05_B_05,31,12,13,41
M001W01P006L05_B_06,40,20,3,14
M001W01P006L05_B_07,39,17,8,13
M001W01P006L05_B_08,23,14,3,12
M001W01P006L05_B_09,19,21,3,11
M001W01P006L05_B_10,31,10,6,26
M001W01P006L05_B_11,49,16,10,45
M001W01P006L05_B_12,45,19,1,26
M001W01P006L05_B_13,39,15,7,24
M001W01P006L05_B_14,37,20,3,35
M001W01P006L05_B_15,30,24,8,42
M001W01P006L05_B_16,42,20,6,24
M001W01P006L05_B_17,25,21,3,8
M001W01P006L05_B_18,40,20,5,22
M001W01P006L05_B_19,61,10,7,22
M001W01P006L05_B_20,20,13,3,34
M001W01P006L05_B_21,19,18,4,17
M001W01P006L05_B_22,34,20,11,19
M001W01P006L05_B_23,32,15,2,20
M001W01P006L05_B_24,20,14,8,29
M001W01P006L05_C_01,42,19,0,35
M001W01P006L05_C_02,62,12,9,39
M001W01P006L05_C_03,51,17,6,24
M001W01P006L05_C_04,49,15,4,18
M001W01P006L05_C_05,58,15,9,19
M001W01P006L05_C_06,52,12,2,13
M001W01P006L05_C_07,42,15,13,17
M001W01P006L05_C_08,30,19,5,25
M001W01P006L05_C_09,37,16,5,20
M001W01P006L05_C_10,58,17,5,25
M001W01P006L05_C_11,37,16,3,13
M001W01P006L05_C_12,69,11,6,12
M001W01P006L05_C_13,34,19,7,10
M001W01P006L05_C_14,11,31,0,57
M001W01P006L05_C_15,12,27,0,23
M001W01P006L05_C_16,12,11,1,23
M001W01P006L05_C_17,48,16,11,31
M001W01P006L05_C_18,12,33,1,34
M001W01P006L05_C_19,13,14,1,17
M001W01P006L05_C_20,18,15,0,9
M001W01P006L05_C_21,8,15,0,10
M001W01P006L05_C_22,13,15,0,13
M001W01P006L05_C_23,36,11,8,19
M001W01P006L05_C_24,37,17,4,10
M001W01P006L05_D_01,33,31,3,19
M001W01P006L05_D_02,26,17,6,42
M001W01P006L05_D_03,32,13,27,74
M001W01P006L05_D_04,46,11,4,14
M001W01P006L05_D_05,36,14,6,20
M001W01P006L05_D_06,27,23,3,22
M001W01P006L05_D_07,25,20,2,20
M001W01P006L05_D_08,31,22,4,15
M001W01P006L05_D_09,36,18,2,11
M001W01P006L05_D_10,36,28,4,16
M001W01P006L05_D_11,63,12,4,42
M001W01P006L05_D_12,21,21,6,22
M001W01P006L05_D_13,23,34,0,14
M001W01P006L05_D_14,15,27,1,31
M001W01P006L05_D_15,14,18,0,12
M001W01P006L05_D_16,7,16,0,14
M001W01P006L05_D_17,10,22,0,11
M001W01P006L05_D_18,8,26,0,12
M001W01P006L05_D_19,11,21,1,23
M001W01P006L05_D_20,14,18,0,8
M001W01P006L05_D_21,8,16,0,14
M001W01P006L05_D_22,11,16,1,13
M001W01P006L05_D_23,38,9,8,18
M001W01P006L05_D_24,21,28,8,30
M001W01P006L05_E_01,19,24,4,20
M001W01P006L05_E_02,74,22,9,69
M001W01P006L05_E_03,42,19,0,13
M001W01P006L05_E_04,42,17,7,49
M001W01P006L05_E_05,22,14,18,51
M001W01P006L05_E_06,43,19,12,21
M001W01P006L05_E_07,40,18,5,19
M001W01P006L05_E_08,75,15,16,72
M001W01P006L05_E_09,89,8,16,58
M001W01P006L05_E_10,54,22,3,17
M001W01P006L05_E_11,48,16,6,29
M001W01P006L05_E_12,41,7,36,66
M001W01P006L05_E_13,36,24,4,11
M001W01P006L05_E_14,13,30,0,52
M001W01P006L05_E_15,9,17,2,15
M001W01P006L05_E_16,15,29,2,8
M001W01P006L05_E_17,14,18,2,14
M001W01P006L05_E_18,10,29,0,16
M001W01P006L05_E_19,7,17,0,10
M001W01P006L05_E_20,11,18,0,20
M001W01P006L05_E_21,14,17,0,10
M001W01P006L05_E_22,15,23,1,9
M001W01P006L05_E_23,29,22,7,20
M001W01P006L05_E_24,44,4,17,18
M001W01P006L05_F_01,27,13,2,10
M001W01P006L05_F_02,25,28,2,31
M001W01P006L05_F_03,36,21,3,28
M001W01P006L05_F_04,49,10,8,23
M001W01P006L05_F_05,41,29,4,34
M001W01P006L05_F_06,24,13,2,10
M001W01P006L05_F_07,52,21,5,23
M001W01P006L05_F_08,31,21,6,16
M001W01P006L05_F_09,34,18,3,19
M001W01P006L05_F_10,34,19,5,14
M001W01P006L05_F_11,28,17,5,12
M001W01P006L05_F_12,21,16,3,13
M001W01P006L05_F_13,30,30,2,26
M001W01P006L05_F_14,16,27,2,9
M001W01P006L05_F_15,10,25,2,6
M001W01P006L05_F_16,10,15,1,17
M001W01P006L05_F_17,14,25,0,30
M001W01P006L05_F_18,9,19,0,24
M001W01P006L05_F_19,15,23,0,12
M001W01P006L05_F_20,19,22,1,2
M001W01P006L05_F_21,9,24,0,6
M001W01P006L05_F_22,7,29,0,16
M001W01P006L05_F_23,21,8,7,52
M001W01P006L05_F_24,16,7,17,24
M001W01P006L05_G_01,37,25,3,17
M001W01P006L05_G_02,44,5,6,22
M001W01P006L05_G_03,51,11,11,21
M001W01P006L05_G_04,54,13,6,20
M001W01P006L05_G_05,50,20,2,24
M001W01P006L05_G_06,50,15,11,55
M001W01P006L05_G_07,62,13,4,25
M001W01P006L05_G_08,45,21,8,56
M001W01P006L05_G_09,40,29,6,19
M001W01P006L05_G_10,62,9,8,18
M001W01P006L05_G_11,54,15,5,21
M001W01P006L05_G_12,42,17,4,16
M001W01P006L05_G_13,29,23,6,41
M001W01P006L05_G_14,26,7,16,58
M001W01P006L05_G_15,16,33,1,12
M001W01P006L05_G_16,20,28,0,23
M001W01P006L05_G_17,13,18,0,12
M001W01P006L05_G_18,12,30,2,27
M001W01P006L05_G_19,6,22,0,13
M001W01P006L05_G_20,12,18,0,11
M001W01P006L05_G_21,8,28,0,7
M001W01P006L05_G_22,16,31,0,8
M001W01P006L05_G_23,28,28,3,8
M001W01P006L05_G_24,46,19,5,18
M001W01P006L05_H_01,34,20,5,13
