,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D013T01P001L02_A_04,209,15,144,160
D013T01P001L02_A_05,235,36,134,249
D013T01P001L02_A_08,220,41,199,306
D013T01P001L02_A_09,229,23,134,176
D013T01P001L02_A_11,238,40,134,179
D013T01P001L02_A_13,234,47,160,241
D013T01P001L02_A_14,220,32,158,231
D013T01P001L02_A_16,241,22,162,180
D013T01P001L02_A_17,58,8,315,96
D013T01P001L02_A_19,188,49,118,230
D013T01P001L02_A_20,259,31,212,231
D013T01P001L02_B_01,185,17,141,110
D013T01P001L02_B_02,221,32,166,260
D013T01P001L02_B_03,170,26,310,205
D013T01P001L02_B_06,165,45,175,222
D013T01P001L02_B_08,258,27,184,227
D013T01P001L02_B_09,197,21,250,160
D013T01P001L02_B_10,216,13,167,175
D013T01P001L02_B_11,204,31,142,156
D013T01P001L02_B_12,243,22,150,208
D013T01P001L02_B_13,242,17,137,145
D013T01P001L02_B_15,138,21,208,108
D013T01P001L02_B_16,274,19,203,210
D013T01P001L02_B_17,101,17,272,156
D013T01P001L02_B_18,228,27,169,174
D013T01P001L02_B_19,169,10,99,94
D013T01P001L02_B_20,231,42,178,244
D013T01P001L02_B_21,224,29,160,164
D013T01P001L02_B_22,239,24,195,172
D013T01P001L02_B_23,210,28,169,201
D013T01P001L02_B_24,207,31,136,149
D013T01P001L02_C_01,226,20,199,252
D013T01P001L02_C_02,98,139,179,613
D013T01P001L02_C_03,202,33,236,227
D013T01P001L02_C_04,248,19,160,192
D013T01P001L02_C_05,217,34,240,281
D013T01P001L02_C_06,209,19,135,118
D013T01P001L02_C_07,233,58,197,279
D013T01P001L02_C_08,230,9,142,111
D013T01P001L02_C_09,64,26,277,138
D013T01P001L02_C_10,212,46,146,193
D013T01P001L02_C_11,231,27,151,176
D013T01P001L02_C_12,250,38,213,216
D013T01P001L02_C_13,231,22,176,205
D013T01P001L02_C_14,252,28,183,248
D013T01P001L02_C_15,205,55,293,435
D013T01P001L02_C_16,216,25,122,181
D013T01P001L02_C_17,235,22,144,171
D013T01P001L02_C_18,161,5,210,106
D013T01P001L02_C_19,192,35,149,168
D013T01P001L02_C_20,223,23,128,136
D013T01P001L02_C_21,114,30,368,122
D013T01P001L02_C_22,210,27,112,166
D013T01P001L02_C_23,198,24,108,157
D013T01P001L02_C_24,232,32,145,232
D013T01P001L02_D_01,227,38,163,242
D013T01P001L02_D_02,247,25,176,211
D013T01P001L02_D_03,228,10,127,152
D013T01P001L02_D_04,221,26,184,185
D013T01P001L02_D_05,196,7,284,139
D013T01P001L02_D_06,238,37,234,304
D013T01P001L02_D_07,131,14,346,123
D013T01P001L02_D_08,248,38,145,224
D013T01P001L02_D_09,77,6,263,74
D013T01P001L02_D_10,211,45,289,339
D013T01P001L02_D_11,203,26,153,224
