,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D015T01P901L02_A_01,103,13,1,98
D015T01P901L02_A_02,144,15,3,130
D015T01P901L02_A_03,161,14,6,142
D015T01P901L02_A_04,127,17,3,177
D015T01P901L02_A_05,101,28,3,153
D015T01P901L02_A_06,159,13,4,110
D015T01P901L02_A_07,121,22,5,197
D015T01P901L02_A_08,165,15,2,134
D015T01P901L02_A_09,154,13,2,107
D015T01P901L02_A_10,137,12,3,153
D015T01P901L02_A_11,118,21,4,156
D015T01P901L02_A_12,157,36,1,260
D015T01P901L02_A_13,103,22,2,149
D015T01P901L02_A_14,123,21,3,125
D015T01P901L02_A_15,123,45,4,219
D015T01P901L02_A_16,109,27,0,148
D015T01P901L02_A_17,180,30,2,324
D015T01P901L02_A_18,131,22,2,130
D015T01P901L02_A_19,144,11,6,129
D015T01P901L02_A_20,120,36,1,88
D015T01P901L02_A_21,153,15,1,94
D015T01P901L02_A_22,138,15,0,135
D015T01P901L02_A_23,137,12,2,99
D015T01P901L02_A_24,117,7,1,113
D015T01P901L02_B_01,152,26,6,112
D015T01P901L02_B_02,103,22,2,149
D015T01P901L02_B_03,94,42,3,206
D015T01P901L02_B_04,127,22,2,116
D015T01P901L02_B_05,102,24,2,127
D015T01P901L02_B_06,146,11,6,147
D015T01P901L02_B_07,216,20,12,135
D015T01P901L02_B_08,132,15,5,103
D015T01P901L02_B_09,96,28,2,196
D015T01P901L02_B_10,127,14,4,144
D015T01P901L02_B_11,135,15,5,121
D015T01P901L02_B_12,130,17,0,133
D015T01P901L02_B_13,128,22,4,161
D015T01P901L02_B_14,131,15,2,115
D015T01P901L02_B_15,198,21,9,230
D015T01P901L02_B_16,135,16,4,176
D015T01P901L02_B_17,61,36,1,307
D015T01P901L02_B_18,119,20,1,94
D015T01P901L02_B_19,169,45,2,125
D015T01P901L02_B_20,132,26,3,123
D015T01P901L02_B_21,116,16,0,114
D015T01P901L02_B_22,124,32,1,128
D015T01P901L02_B_23,120,29,3,109
D015T01P901L02_B_24,121,32,2,142
D015T01P901L02_C_01,126,21,2,152
D015T01P901L02_C_02,190,26,4,121
D015T01P901L02_C_03,117,23,4,210
D015T01P901L02_C_04,127,18,2,130
D015T01P901L02_C_05,119,24,1,128
D015T01P901L02_C_06,131,22,3,179
D015T01P901L02_C_07,167,21,0,99
D015T01P901L02_C_08,141,9,2,200
D015T01P901L02_C_09,151,15,5,128
D015T01P901L02_C_10,150,18,3,142
D015T01P901L02_C_11,137,9,2,128
D015T01P901L02_C_12,142,17,5,142
D015T01P901L02_C_13,153,14,3,122
D015T01P901L02_C_14,117,26,4,170
D015T01P901L02_C_15,159,26,2,167
D015T01P901L02_C_16,126,29,3,134
D015T01P901L02_C_17,108,18,0,105
D015T01P901L02_C_18,174,12,8,170
D015T01P901L02_C_19,131,11,5,125
D015T01P901L02_C_20,144,13,4,108
D015T01P901L02_C_21,224,17,6,148
D015T01P901L02_C_22,121,24,3,161
D015T01P901L02_C_23,134,26,1,137
D015T01P901L02_C_24,118,16,3,101
D015T01P901L02_D_01,129,52,1,102
D015T01P901L02_D_02,120,22,3,113
D015T01P901L02_D_03,137,18,3,125
D015T01P901L02_D_04,119,19,3,120
D015T01P901L02_D_05,126,44,1,152
D015T01P901L02_D_06,150,11,5,118
D015T01P901L02_D_07,131,23,2,129
D015T01P901L02_D_08,127,23,0,129
D015T01P901L02_D_09,138,38,8,195
D015T01P901L02_D_10,147,20,3,126
D015T01P901L02_D_11,119,16,3,171
D015T01P901L02_D_12,143,15,3,146
D015T01P901L02_D_13,122,19,5,135
D015T01P901L02_D_14,123,27,3,131
D015T01P901L02_D_15,114,33,2,208
D015T01P901L02_D_16,122,28,3,111
D015T01P901L02_D_17,134,25,0,140
D015T01P901L02_D_18,130,19,1,157
D015T01P901L02_D_19,216,28,4,161
D015T01P901L02_D_20,129,24,2,158
D015T01P901L02_D_21,129,22,1,136
D015T01P901L02_D_22,120,24,3,131
D015T01P901L02_D_23,134,27,4,121
D015T01P901L02_D_24,132,20,1,117
D015T01P901L02_E_01,215,30,5,141
D015T01P901L02_E_02,109,12,2,116
D015T01P901L02_E_03,154,9,5,113
D015T01P901L02_E_04,155,11,7,86
D015T01P901L02_E_05,113,21,6,195
D015T01P901L02_E_06,134,12,3,90
D015T01P901L02_E_07,166,16,2,121
D015T01P901L02_E_08,153,20,5,134
D015T01P901L02_E_09,85,32,4,235
D015T01P901L02_E_10,172,19,3,130
D015T01P901L02_E_11,196,19,7,197
D015T01P901L02_E_12,135,21,1,140
D015T01P901L02_E_13,122,26,1,132
D015T01P901L02_E_14,137,26,2,151
D015T01P901L02_E_15,123,22,1,135
D015T01P901L02_E_16,125,20,4,169
D015T01P901L02_E_17,133,16,0,114
