id
FN1
PLA2G2A
HDGFL3
RAB34
CPVL
IGDCC4
PEG10
PNMA8A
GSDME
APOA2
TM4SF18
F5
SRPX
MLLT11
GCNT2
ZNF334
COL18A1
TUB
LNCAROD
TRIM71
IRX3
ANKRD1
SGCE
AMY1A
NAALAD2
GPR87
IGFBP7
PLK2
IGFL2
ITGB2-AS1
GAMT
OBSL1
SLC1A3
ZBED2
DKK1
NFKBIZ
PRKAA2
RAI14
SATB1
FZD2
ASB4
BEX2
MEGF6
COL27A1
PRSS1
SLC44A5
DKK3
CYP2E1
MYO5A
CCDC88A
TTC30A
ABCC2
HECW2-AS1
DTX3
GJA3
UST
EMP3
F2R
LOXL1-AS1
OLFML3
PCYT1B
MED6
GIHCG
KRT15
EPHB6
RPAIN
CYP1B1
SMARCA1
KRTAP2-3
VGLL1
GNAI1
NANOS1
HERC5
C20orf194
CCN1
PROS1
SYTL1
CAP2
UBASH3B
FUS
TNFRSF19
PABPC1
NME5
RBMS1
MBNL3
NRG1
L1CAM
VTCN1
CHST15
TRPC1
TRIM6
TLCD4
CAVIN2
FBXO2
FOXA1
NPIPB15
FRAS1
PPP1R9A
EIF1
TMPRSS11E
