id
FZD10
MAEL
SLFN13
NXF2
TEX15
ZNF415
HUNK
POU6F2-AS2
GABRR1
ADH1C
UCHL1
PROM2
GZMB
ACSL6
ZNF793
PCDHB16
ZSCAN18
CT83
SPIRE2
RGN
C12orf56
RNF182
FAM155A
TSPYL5
PCDHB4
PCDH8
RASA3
DPEP1
MAGEE1
METTL7A
CYP2B6
ZNF492
ZNF506
PCDHA9
ZNF793-AS1
PAH
ZNF331
TMEM63C
GLDC
FAM3B
ZNF439
ELF5
ZNF813
ZNF43
HSD3B1
UGT1A7
SPINK1
CARD16
LINC00540
ZNF304
SCG3
COX10
DNAH10
PAX7
FOLR1
ESRRG
LINC01694
SNAP25
FUT10
CES1
ZNF625
PCDH20
RIMS2
SLFN12
C10orf82
DEF6
ZNF880
PHYHIPL
AXDND1
PCDHB10
CHGB
NRN1
ZNF354C
FOXG1
SLC35G2
SMTNL2
CADM1
ZNF85
ARHGAP4
CDHR1
SLC38A4
GBGT1
ERP27
TTC9
VAV3
BISPR
ZNF347
XG
AKAIN1
LINC02562
PLAG1
LRRC2
ISX
NRXN3
ZNF606
FAM13C
RNF217
ZNF594
SGK2
INPP5D
