,0
0,134.48654163298238
1,81.75893383732635
2,49.70060418411359
3,29.49746194200284
4,19.32421316024265
5,13.125335671141436
6,12.04452986703462
7,10.488324699994012
8,8.409532189229429
9,7.528718272737804
10,7.314571342920672
11,7.05729506095733
12,6.744704172625224
13,6.3822553430896445
14,6.058791699970941
15,5.207183986497584
16,4.48350666345024
17,4.251653719879741
18,3.9678719200160373
19,3.9060878962802414
20,3.414503908289127
21,2.9678248895625097
22,2.790982053391885
23,2.7375741269479636
24,2.5056641620944187
25,2.405739711806252
26,2.1438373079199717
27,1.9515315572620433
28,1.935384070574432
29,1.9273573099538288
30,1.814118537946853
31,1.7813873068712256
32,1.755417728444327
33,1.6814082035862934
34,1.5486179070492962
35,1.5439697750672439
36,1.527018407767977
37,1.4807527052703522
38,1.4123756855221874
39,1.389552963690912
40,1.3358136587311493
41,1.286471044080517
42,1.2331676581685829
43,1.202869152766356
44,1.1985178078414795
45,1.1732596488962077
46,1.1565202434137927
47,1.152933918189498
48,1.0994406527711162
49,1.0839788272638309
50,1.0718855517425072
51,1.0127288532684688
52,0.999448351633455
53,0.9898589421259872
54,0.9594291541283225
55,0.9408774163584748
56,0.8936680792431961
57,0.8728379599309692
58,0.8632098575052947
59,0.7805021721728711
60,0.7636184994916098
61,0.7572997499735125
62,0.745775468292493
63,0.7250691388227364
64,0.7136354935655345
65,0.7123167226911542
66,0.7089337019240345
67,0.6852101181149782
68,0.6696378697494657
69,0.6591525351337708
70,0.651757321684166
71,0.6415499780116012
72,0.6382115542704174
73,0.6266163782125697
74,0.6042007286034028
75,0.5858748945515898
76,0.5638962423668175
77,0.5597411160380595
78,0.5483590973471474
79,0.5398496141020204
80,0.5372106708698675
81,0.5330206337580639
82,0.517210861778158
83,0.4928036193702974
84,0.48258838254640807
85,0.47765919474702473
86,0.4720837102900158
87,0.46064006687040293
88,0.4570632042520753
89,0.44422696935176437
90,0.43837947696091034
91,0.4344940754212971
92,0.42320651578888463
93,0.420748998332527
94,0.4201505862781115
95,0.4182676377589553
96,0.4103123588406163
97,0.40343900712393443
98,0.3987916287113505
99,0.3892214328253569
100,0.38347315211039235
101,0.3753585211805671
102,0.36991667591646155
103,0.36133156506533204
104,0.347565119217738
105,0.3394923309914397
106,0.3305068186590182
107,0.32537456308564894
108,0.3233305915589471
109,0.311975767395931
110,0.3070311760720015
111,0.29817124504020937
112,0.2914810315367249
113,0.28785212183157954
114,0.2816394693980959
115,0.2785168556084234
116,0.2751983298564828
117,0.2702533507668903
118,0.25615321525113216
119,0.2557403932796236
120,0.24603503688703482
121,0.23920420022455882
122,0.23548293307404067
123,0.23030038700968566
124,0.22703021511450483
125,0.2254935058633851
126,0.22406982133766143
127,0.21974563169655278
128,0.21541276863616962
129,0.20977173943732522
130,0.20606699684347593
131,0.20435360503893107
132,0.2024422961840096
133,0.19863209405958715
134,0.19682451734617784
135,0.19496480030335442
136,0.1925549315560685
137,0.18979927823399645
138,0.18868054071504514
139,0.1805611439216876
140,0.180082809164686
141,0.17562295586862717
142,0.17435847695832202
143,0.17142008139775583
144,0.16664084973175095
145,0.16322732175594315
146,0.1615203420430821
147,0.15965761864356698
148,0.15713292437515422
149,0.15551685775452803
150,0.15393577624006732
151,0.15057255271376352
152,0.14880191346747806
153,0.1475690883175755
154,0.14558606207414493
155,0.1426024525944793
156,0.13965015021406177
157,0.1374870963127247
158,0.1366177645116509
159,0.13322550138374004
160,0.1308729785028339
161,0.1299222832602958
162,0.12700763479360602
163,0.1264582259659599
164,0.12498700710128366
165,0.12247878794199941
166,0.12021585075847957
167,0.11939677772637323
168,0.11491904308808633
169,0.11216769545440346
170,0.11128159088318068
171,0.10942664453075664
172,0.10714634188682468
173,0.10607383048071237
174,0.10229137644622054
175,0.10070222039444704
176,0.09839490158602368
177,0.09830802387859447
178,0.0975228461962807
179,0.09475795472243183
180,0.09333100047305024
181,0.09292967396893512
182,0.09202530779062645
183,0.0907530786719758
184,0.08961512729284028
185,0.08616999288945612
186,0.08601165270935958
187,0.08450424218823901
188,0.08233047658619268
189,0.08115505305973629
190,0.07932151696798231
191,0.07762249208417585
192,0.07584204354256951
193,0.07406938387044133
194,0.07346145044647051
195,0.0723069340880049
196,0.07100305778340724
197,0.07002511888572295
198,0.06884134227659526
199,0.06813155247997708
200,0.06786989232319757
201,0.06656646365859814
202,0.06582735657049824
203,0.06422634980331664
204,0.06302806231463653
205,0.0622441091963823
206,0.06089031865918232
207,0.06065960930637997
208,0.0584552288123141
209,0.05816592215536732
210,0.057876869811586185
